Frame,Time,SMPTE,bar_right_foot_x,bar_right_foot_y,bar_right_foot_z
1,0.0,02:45:25:03,-122.7793,31.6233,1074.8673
2,0.01,02:45:25:03,-122.7887,31.623,1074.8683
3,0.02,02:45:25:03,-122.791,31.635,1074.8753
4,0.03,02:45:25:04,-122.7787,31.629,1074.883
5,0.04,02:45:25:04,-122.9947,31.840999999999998,1074.867
6,0.05,02:45:25:04,-123.005,31.8657,1074.8857
7,0.06,02:45:25:04,-123.024,31.8763,1074.8813
8,0.07,02:45:25:05,-123.0363,31.881999999999998,1074.8777
9,0.08,02:45:25:05,-123.035,31.8893,1074.886
10,0.09,02:45:25:05,-123.0457,31.8713,1074.8883
11,0.1,02:45:25:05,-123.042,31.8883,1074.8807
12,0.11,02:45:25:06,-123.0383,31.869,1074.8597
13,0.12,02:45:25:06,-123.0313,31.881,1074.883
14,0.13,02:45:25:06,-123.0247,31.8847,1074.875
15,0.14,02:45:25:06,-123.0253,31.8807,1074.8753
16,0.15,02:45:25:07,-123.0257,31.8957,1074.8843
17,0.16,02:45:25:07,-123.0197,31.877,1074.867
18,0.17,02:45:25:07,-123.01,31.8867,1074.8773
19,0.18,02:45:25:07,-123.016,31.885,1074.8787
20,0.19,02:45:25:08,-123.0163,31.8777,1074.8683
21,0.2,02:45:25:08,-123.0183,31.8893,1074.8833
22,0.21,02:45:25:08,-123.0277,31.899,1074.8867
23,0.22,02:45:25:08,-123.031,31.8823,1074.8783
24,0.23,02:45:25:09,-123.01799999999999,31.8813,1074.8747
25,0.24,02:45:25:09,-123.0023,31.8727,1074.8803
26,0.25,02:45:25:09,-123.0,31.8793,1074.8917
27,0.26,02:45:25:09,-122.9983,31.8817,1074.8827
28,0.27,02:45:25:10,-122.9763,31.863000000000003,1074.8897
29,0.28,02:45:25:10,-123.0,31.8703,1074.882
30,0.29,02:45:25:10,-122.999,31.8713,1074.8767
31,0.3,02:45:25:10,-122.986,31.875999999999998,1074.8703
32,0.31,02:45:25:11,-122.9873,31.8627,1074.872
33,0.32,02:45:25:11,-122.9877,31.866999999999997,1074.868
34,0.33,02:45:25:11,-122.9927,31.877,1074.872
35,0.34,02:45:25:11,-122.99799999999999,31.88,1074.8693
36,0.35,02:45:25:12,-122.9817,31.8613,1074.872
37,0.36,02:45:25:12,-122.9863,31.871,1074.8713
38,0.37,02:45:25:12,-122.9813,31.8763,1074.8727
39,0.38,02:45:25:12,-122.98700000000001,31.8643,1074.8737
40,0.39,02:45:25:13,-122.999,31.8677,1074.869
41,0.4,02:45:25:13,-122.9843,31.8657,1074.879
42,0.41,02:45:25:13,-122.9897,31.8757,1074.8993
43,0.42,02:45:25:13,-122.9967,31.8617,1074.9033
44,0.43,02:45:25:14,-122.9897,31.859,1074.9133
45,0.44,02:45:25:14,-122.993,31.869,1074.9033
46,0.45,02:45:25:14,-122.99,31.863000000000003,1074.91
47,0.46,02:45:25:14,-122.99,31.863000000000003,1074.913
48,0.47,02:45:25:15,-122.9773,31.8533,1074.9267
49,0.48,02:45:25:15,-122.979,31.8667,1074.9343
50,0.49,02:45:25:15,-122.99700000000001,31.8497,1074.9307
51,0.5,02:45:25:15,-122.98100000000001,31.8483,1074.9389999999999
52,0.51,02:45:25:16,-122.985,31.8527,1074.9513
53,0.52,02:45:25:16,-122.9903,31.85,1074.9569999999999
54,0.53,02:45:25:16,-123.00399999999999,31.8453,1074.9489999999998
55,0.54,02:45:25:16,-122.9913,31.857,1074.9697
56,0.55,02:45:25:17,-123.0187,31.8257,1074.9783
57,0.56,02:45:25:17,-123.009,31.861,1074.981
58,0.57,02:45:25:17,-123.0077,31.8653,1074.9827
59,0.58,02:45:25:17,-123.00299999999999,31.8357,1074.9887
60,0.59,02:45:25:18,-123.0167,31.842,1074.9933
61,0.6,02:45:25:18,-123.0113,31.8527,1074.9943
62,0.61,02:45:25:18,-123.0063,31.8387,1074.9913
63,0.62,02:45:25:18,-122.99,31.8467,1074.9967
64,0.63,02:45:25:19,-123.0087,31.8343,1075.0143
65,0.64,02:45:25:19,-122.9977,31.8447,1075.0183
66,0.65,02:45:25:19,-122.9983,31.8547,1075.028
67,0.66,02:45:25:19,-123.0093,31.8317,1075.0293
68,0.67,02:45:25:20,-123.0257,31.8227,1075.0277
69,0.68,02:45:25:20,-123.0207,31.8193,1075.0233
70,0.69,02:45:25:20,-123.029,31.82,1075.045
71,0.7,02:45:25:20,-123.0243,31.8223,1075.0513
72,0.71,02:45:25:21,-123.014,31.8187,1075.0573
73,0.72,02:45:25:21,-123.0227,31.8373,1075.0677
74,0.73,02:45:25:21,-123.0177,31.8023,1075.0773
75,0.74,02:45:25:21,-123.0303,31.8187,1075.0653
76,0.75,02:45:25:22,-123.01899999999999,31.804000000000002,1075.0927
77,0.76,02:45:25:22,-123.0257,31.7927,1075.0777
78,0.77,02:45:25:22,-123.0153,31.796,1075.0937
79,0.78,02:45:25:22,-123.015,31.7873,1075.1067
80,0.79,02:45:25:23,-123.022,31.7963,1075.111
81,0.8,02:45:25:23,-123.01299999999999,31.768,1075.1037
82,0.81,02:45:25:23,-123.0477,31.7753,1075.098
