Frame,Time,SMPTE,bar_right_hand_x,bar_right_hand_y,bar_right_hand_z
1,0.0,02:45:25:03,18.5827,720.3835,996.383
2,0.01,02:45:25:03,18.1695,720.2548,996.3389999999999
3,0.02,02:45:25:03,17.8292,720.1565,996.3058
4,0.03,02:45:25:04,17.230999999999998,719.9613,996.3235
5,0.04,02:45:25:04,16.8538,719.987,996.3635
6,0.05,02:45:25:04,16.5955,719.9215,996.3112
7,0.06,02:45:25:04,16.3802,719.873,996.2202
8,0.07,02:45:25:05,16.195,719.8405,996.1210000000001
9,0.08,02:45:25:05,16.0495,719.8085,995.9983
10,0.09,02:45:25:05,15.9565,719.81,995.8758
11,0.1,02:45:25:05,15.8855,719.8022,995.7515
12,0.11,02:45:25:06,15.9358,719.7955,995.6855
13,0.12,02:45:25:06,15.8712,719.8648,995.466
14,0.13,02:45:25:06,15.9155,719.9028,995.3205
15,0.14,02:45:25:06,15.9975,719.9625,995.1895
16,0.15,02:45:25:07,16.0945,720.0115,995.0805
17,0.16,02:45:25:07,16.2363,720.0782,994.9555
18,0.17,02:45:25:07,16.399,720.1365,994.8652
19,0.18,02:45:25:07,16.6085,720.2172,994.7842
20,0.19,02:45:25:08,16.852999999999998,720.3132,994.7095
21,0.2,02:45:25:08,17.0848,720.3762,994.6718
22,0.21,02:45:25:08,17.3305,720.455,994.6212
23,0.22,02:45:25:08,17.5737,720.5025,994.5892
24,0.23,02:45:25:09,17.8198,720.5345,994.5632
25,0.24,02:45:25:09,18.0853,720.5792,994.5522
26,0.25,02:45:25:09,18.3785,720.6142,994.5618
27,0.26,02:45:25:09,18.6957,720.6792,994.575
28,0.27,02:45:25:10,19.0015,720.7307,994.5918
29,0.28,02:45:25:10,19.268,720.7695,994.6222
30,0.29,02:45:25:10,19.5292,720.8202,994.6375
31,0.3,02:45:25:10,19.7438,720.8642,994.6778
32,0.31,02:45:25:11,19.953,720.9145,994.6968
33,0.32,02:45:25:11,20.125999999999998,720.9639999999999,994.7339999999999
34,0.33,02:45:25:11,20.2957,721.0345,994.7788
35,0.34,02:45:25:11,20.4398,721.1102,994.8430000000001
36,0.35,02:45:25:12,20.554000000000002,721.1828,994.9008
37,0.36,02:45:25:12,20.6422,721.2672,994.9675
38,0.37,02:45:25:12,20.6722,721.355,995.043
39,0.38,02:45:25:12,20.682,721.436,995.1222
