Frame,Time,SMPTE,bar_right_hip_x,bar_right_hip_y,bar_right_hip_z
1,0.0,02:45:25:03,-45.096000000000004,949.541,1127.145
2,0.01,02:45:25:03,-45.1255,949.4905,1127.162
3,0.02,02:45:25:03,-45.1315,949.4810000000001,1127.219
4,0.03,02:45:25:04,-45.2575,949.455,1127.2265
5,0.04,02:45:25:04,-45.2675,949.4895,1127.056
6,0.05,02:45:25:04,-45.2915,949.4975,1127.0275
7,0.06,02:45:25:04,-45.283,949.4965,1127.02
8,0.07,02:45:25:05,-45.277,949.493,1127.032
9,0.08,02:45:25:05,-45.281000000000006,949.4975,1126.995
10,0.09,02:45:25:05,-45.245,949.4995,1127.0705
11,0.1,02:45:25:05,-45.239,949.5010000000001,1127.06
12,0.11,02:45:25:06,-45.2165,949.528,1127.121
13,0.12,02:45:25:06,-45.18899999999999,949.5485,1127.1645
14,0.13,02:45:25:06,-45.1665,949.558,1127.1525
15,0.14,02:45:25:06,-45.151,949.561,1127.127
16,0.15,02:45:25:07,-45.1,949.58,1127.188
17,0.16,02:45:25:07,-45.0685,949.6095,1127.1515
18,0.17,02:45:25:07,-45.0375,949.6210000000001,1127.1595
19,0.18,02:45:25:07,-44.9895,949.6665,1127.125
20,0.19,02:45:25:08,-44.9635,949.6855,1127.076
21,0.2,02:45:25:08,-44.919,949.7230000000001,1127.088
22,0.21,02:45:25:08,-44.88,949.7489999999999,1127.1
23,0.22,02:45:25:08,-44.8335,949.762,1127.0655
24,0.23,02:45:25:09,-44.8215,949.7735,1127.0095
25,0.24,02:45:25:09,-44.7875,949.794,1127.002
26,0.25,02:45:25:09,-44.7465,949.812,1127.0255
27,0.26,02:45:25:09,-44.706,949.824,1127.0415
28,0.27,02:45:25:10,-44.667,949.8455,1127.0065
29,0.28,02:45:25:10,-44.63,949.8425,1127.062
30,0.29,02:45:25:10,-44.6285,949.8505,1127.0230000000001
31,0.3,02:45:25:10,-44.5725,949.8545,1127.1085
32,0.31,02:45:25:11,-44.5425,949.8795,1127.1525
33,0.32,02:45:25:11,-44.5375,949.863,1127.1680000000001
34,0.33,02:45:25:11,-44.528999999999996,949.8985,1127.2685
35,0.34,02:45:25:11,-44.503,949.916,1127.371
36,0.35,02:45:25:12,-44.476000000000006,949.9765,1127.5365
37,0.36,02:45:25:12,-44.46,949.9780000000001,1127.5785
38,0.37,02:45:25:12,-44.458999999999996,950.0065,1127.66
39,0.38,02:45:25:12,-44.456,950.039,1127.764
40,0.39,02:45:25:13,-44.4495,950.079,1127.922
41,0.4,02:45:25:13,-44.434,950.0855,1128.072
42,0.41,02:45:25:13,-44.4515,950.1060000000001,1128.181
43,0.42,02:45:25:13,-44.4745,950.1165,1128.239
44,0.43,02:45:25:14,-44.458,950.133,1128.4465
45,0.44,02:45:25:14,-44.485,950.1275,1128.5865
46,0.45,02:45:25:14,-44.5145,950.158,1128.677
47,0.46,02:45:25:14,-44.544,950.1725,1128.7745
48,0.47,02:45:25:15,-44.522,950.1885,1128.9355
49,0.48,02:45:25:15,-44.562,950.2165,1129.0235
50,0.49,02:45:25:15,-44.575,950.237,1129.1235
51,0.5,02:45:25:15,-44.599,950.2439999999999,1129.2295
52,0.51,02:45:25:16,-44.606,950.247,1129.3665
53,0.52,02:45:25:16,-44.6325,950.2775,1129.484
54,0.53,02:45:25:16,-44.6245,950.2845,1129.5819999999999
55,0.54,02:45:25:16,-44.6295,950.3,1129.712
56,0.55,02:45:25:17,-44.6445,950.3255,1129.865
57,0.56,02:45:25:17,-44.7045,950.3565,1129.9669999999999
58,0.57,02:45:25:17,-44.732,950.414,1130.083
59,0.58,02:45:25:17,-44.751000000000005,950.427,1130.24
60,0.59,02:45:25:18,-44.794,950.4405,1130.421
61,0.6,02:45:25:18,-44.788000000000004,950.4635,1130.6145
62,0.61,02:45:25:18,-44.817,950.482,1130.7795
63,0.62,02:45:25:18,-44.846000000000004,950.4985,1130.9255
64,0.63,02:45:25:19,-44.898,950.53,1131.0635
65,0.64,02:45:25:19,-44.9165,950.543,1131.257
66,0.65,02:45:25:19,-44.943000000000005,950.584,1131.423
67,0.66,02:45:25:19,-44.958,950.6139999999999,1131.5985
68,0.67,02:45:25:20,-45.0145,950.6469999999999,1131.6865
69,0.68,02:45:25:20,-45.06,950.6815,1131.8039999999999
70,0.69,02:45:25:20,-45.111000000000004,950.697,1131.905
71,0.7,02:45:25:20,-45.148,950.707,1132.0125
72,0.71,02:45:25:21,-45.1895,950.716,1132.119
73,0.72,02:45:25:21,-45.218999999999994,950.725,1132.2475
74,0.73,02:45:25:21,-45.2665,950.717,1132.414
75,0.74,02:45:25:21,-45.303999999999995,950.7125,1132.4655
76,0.75,02:45:25:22,-45.3515,950.722,1132.621
77,0.76,02:45:25:22,-45.3985,950.7035,1132.7645
78,0.77,02:45:25:22,-45.437,950.701,1132.8395
79,0.78,02:45:25:22,-45.481,950.711,1132.9845
80,0.79,02:45:25:23,-45.521,950.7355,1133.113
81,0.8,02:45:25:23,-45.5765,950.7155,1133.1975
82,0.81,02:45:25:23,-45.6375,950.7455,1133.327
83,0.82,02:45:25:23,-45.6775,950.7375,1133.4375
84,0.83,02:45:25:24,-45.7275,950.735,1133.527
85,0.84,02:45:25:24,-45.7465,950.7330000000001,1133.637
86,0.85,02:45:25:24,-45.805,950.7189999999999,1133.721
87,0.86,02:45:25:24,-45.8385,950.7189999999999,1133.81
88,0.87,02:45:26:00,-45.8735,950.6835,1133.863
89,0.88,02:45:26:00,-45.923,950.6239999999999,1133.9645
90,0.89,02:45:26:00,-45.949,950.602,1134.0615
91,0.9,02:45:26:00,-46.0075,950.533,1134.1019999999999
92,0.91,02:45:26:01,-46.045,950.49,1134.2145
93,0.92,02:45:26:01,-46.0695,950.447,1134.369
94,0.93,02:45:26:01,-46.148,950.3955,1134.383
95,0.94,02:45:26:01,-46.1875,950.3545,1134.4995
96,0.95,02:45:26:02,-46.2495,950.2945,1134.586
97,0.96,02:45:26:02,-46.273999999999994,950.2610000000001,1134.7335
98,0.97,02:45:26:02,-46.3105,950.1965,1134.8355
