Frame,Time,SMPTE,bar_right_knee_x,bar_right_knee_y,bar_right_knee_z
1,0.0,02:45:25:03,-126.508,430.5755,1097.272
2,0.01,02:45:25:03,-126.5195,430.5735,1097.3375
3,0.02,02:45:25:03,-126.5155,430.5725,1097.428
4,0.03,02:45:25:04,-126.5305,430.5685,1097.497
5,0.04,02:45:25:04,-126.5845,430.61,1097.5045
6,0.05,02:45:25:04,-126.59899999999999,430.6095,1097.5535
7,0.06,02:45:25:04,-126.5995,430.625,1097.583
8,0.07,02:45:25:05,-126.604,430.6495,1097.6175
9,0.08,02:45:25:05,-126.596,430.6565,1097.6245
10,0.09,02:45:25:05,-126.5735,430.6475,1097.6575
11,0.1,02:45:25:05,-126.551,430.6605,1097.6635
12,0.11,02:45:25:06,-126.48200000000001,430.6615,1097.7055
13,0.12,02:45:25:06,-126.476,430.656,1097.665
14,0.13,02:45:25:06,-126.431,430.654,1097.6860000000001
15,0.14,02:45:25:06,-126.40299999999999,430.644,1097.6735
16,0.15,02:45:25:07,-126.37,430.6395,1097.7215
17,0.16,02:45:25:07,-126.3475,430.6375,1097.7135
18,0.17,02:45:25:07,-126.333,430.63800000000003,1097.751
19,0.18,02:45:25:07,-126.3105,430.6395,1097.7615
20,0.19,02:45:25:08,-126.29799999999999,430.657,1097.7685
21,0.2,02:45:25:08,-126.296,430.659,1097.8185
22,0.21,02:45:25:08,-126.28399999999999,430.655,1097.8339999999998
23,0.22,02:45:25:08,-126.2805,430.6515,1097.8615
24,0.23,02:45:25:09,-126.25399999999999,430.642,1097.8905
25,0.24,02:45:25:09,-126.236,430.6385,1097.9180000000001
26,0.25,02:45:25:09,-126.22,430.6245,1097.9535
27,0.26,02:45:25:09,-126.181,430.6295,1097.979
28,0.27,02:45:25:10,-126.1675,430.62800000000004,1097.994
29,0.28,02:45:25:10,-126.1435,430.626,1097.982
30,0.29,02:45:25:10,-126.1275,430.6285,1098.004
31,0.3,02:45:25:10,-126.12299999999999,430.61699999999996,1098.007
32,0.31,02:45:25:11,-126.0985,430.6255,1098.0125
33,0.32,02:45:25:11,-126.0915,430.6135,1097.9955
34,0.33,02:45:25:11,-126.0815,430.6275,1098.0055
35,0.34,02:45:25:11,-126.06299999999999,430.63800000000003,1097.9995
36,0.35,02:45:25:12,-126.0565,430.6305,1098.006
37,0.36,02:45:25:12,-126.03299999999999,430.624,1098.0245
38,0.37,02:45:25:12,-126.0345,430.6315,1098.06
39,0.38,02:45:25:12,-126.02799999999999,430.6315,1098.0615
40,0.39,02:45:25:13,-126.0165,430.6225,1098.0885
41,0.4,02:45:25:13,-125.99700000000001,430.63699999999994,1098.142
42,0.41,02:45:25:13,-125.98899999999999,430.64599999999996,1098.1695
43,0.42,02:45:25:13,-125.98299999999999,430.647,1098.2165
44,0.43,02:45:25:14,-125.971,430.662,1098.2315
45,0.44,02:45:25:14,-125.9585,430.6515,1098.296
46,0.45,02:45:25:14,-125.9545,430.655,1098.323
47,0.46,02:45:25:14,-125.9595,430.6605,1098.374
48,0.47,02:45:25:15,-125.946,430.664,1098.402
49,0.48,02:45:25:15,-125.959,430.6895,1098.4185
50,0.49,02:45:25:15,-125.96700000000001,430.69,1098.4515
51,0.5,02:45:25:15,-125.973,430.702,1098.4985
52,0.51,02:45:25:16,-125.9655,430.727,1098.5439999999999
53,0.52,02:45:25:16,-125.9625,430.7385,1098.5705
54,0.53,02:45:25:16,-125.979,430.746,1098.6135
55,0.54,02:45:25:16,-125.995,430.75300000000004,1098.6715
56,0.55,02:45:25:17,-125.98700000000001,430.76199999999994,1098.713
57,0.56,02:45:25:17,-126.0,430.7715,1098.767
58,0.57,02:45:25:17,-126.0015,430.7835,1098.8225
59,0.58,02:45:25:17,-126.0075,430.787,1098.862
60,0.59,02:45:25:18,-126.008,430.8155,1098.8895
61,0.6,02:45:25:18,-126.009,430.825,1098.9715
62,0.61,02:45:25:18,-126.001,430.8255,1099.0315
63,0.62,02:45:25:18,-126.01100000000001,430.824,1099.1005
64,0.63,02:45:25:19,-126.0285,430.8395,1099.178
65,0.64,02:45:25:19,-126.02600000000001,430.865,1099.2585
66,0.65,02:45:25:19,-126.044,430.8625,1099.312
67,0.66,02:45:25:19,-126.0685,430.8895,1099.372
68,0.67,02:45:25:20,-126.0605,430.902,1099.4815
69,0.68,02:45:25:20,-126.068,430.9055,1099.562
70,0.69,02:45:25:20,-126.0735,430.9255,1099.6845
71,0.7,02:45:25:20,-126.0715,430.9415,1099.7755
72,0.71,02:45:25:21,-126.071,430.94800000000004,1099.8685
73,0.72,02:45:25:21,-126.081,430.959,1099.9905
74,0.73,02:45:25:21,-126.101,430.957,1100.079
75,0.74,02:45:25:21,-126.1355,430.9455,1100.178
76,0.75,02:45:25:22,-126.15100000000001,430.9545,1100.243
77,0.76,02:45:25:22,-126.17399999999999,430.965,1100.3075
78,0.77,02:45:25:22,-126.206,430.966,1100.3855
79,0.78,02:45:25:22,-126.2435,430.9795,1100.4495
