Frame,Time,SMPTE,bar_right_shoulder_x,bar_right_shoulder_y,bar_right_shoulder_z
1,0.0,02:45:25:03,-19.34,1324.3229999999999,1128.358
2,0.01,02:45:25:03,-19.159000000000002,1324.3120000000001,1128.222
3,0.02,02:45:25:03,-18.997,1324.29,1128.097
4,0.03,02:45:25:04,-18.857,1324.259,1127.991
5,0.04,02:45:25:04,-18.744,1324.3239999999998,1127.907
6,0.05,02:45:25:04,-18.598,1324.274,1127.874
7,0.06,02:45:25:04,-18.498,1324.256,1127.8139999999999
8,0.07,02:45:25:05,-18.416,1324.237,1127.754
9,0.08,02:45:25:05,-18.352,1324.223,1127.73
10,0.09,02:45:25:05,-18.326,1324.203,1127.695
11,0.1,02:45:25:05,-18.311,1324.1970000000001,1127.7089999999998
12,0.11,02:45:25:06,-18.31,1324.192,1127.7160000000001
13,0.12,02:45:25:06,-18.334,1324.191,1127.722
14,0.13,02:45:25:06,-18.374000000000002,1324.201,1127.763
15,0.14,02:45:25:06,-18.427,1324.2079999999999,1127.79
16,0.15,02:45:25:07,-18.506,1324.207,1127.838
17,0.16,02:45:25:07,-18.590999999999998,1324.237,1127.894
18,0.17,02:45:25:07,-18.678,1324.25,1127.958
19,0.18,02:45:25:07,-18.772000000000002,1324.2879999999998,1128.025
20,0.19,02:45:25:08,-18.855999999999998,1324.325,1128.124
21,0.2,02:45:25:08,-18.957,1324.3529999999998,1128.201
22,0.21,02:45:25:08,-19.04,1324.381,1128.309
23,0.22,02:45:25:08,-19.149,1324.411,1128.448
24,0.23,02:45:25:09,-19.225,1324.434,1128.583
25,0.24,02:45:25:09,-19.336,1324.455,1128.733
26,0.25,02:45:25:09,-19.395,1324.486,1128.899
27,0.26,02:45:25:09,-19.486,1324.505,1129.078
28,0.27,02:45:25:10,-19.56,1324.517,1129.234
29,0.28,02:45:25:10,-19.662,1324.517,1129.386
30,0.29,02:45:25:10,-19.737000000000002,1324.526,1129.5610000000001
31,0.3,02:45:25:10,-19.823,1324.5539999999999,1129.721
32,0.31,02:45:25:11,-19.917,1324.5710000000001,1129.907
33,0.32,02:45:25:11,-19.980999999999998,1324.5929999999998,1130.095
34,0.33,02:45:25:11,-20.019000000000002,1324.642,1130.258
35,0.34,02:45:25:11,-20.076,1324.6879999999999,1130.4
36,0.35,02:45:25:12,-20.113,1324.73,1130.56
37,0.36,02:45:25:12,-20.143,1324.789,1130.713
38,0.37,02:45:25:12,-20.156,1324.84,1130.873
39,0.38,02:45:25:12,-20.192999999999998,1324.8929999999998,1131.036
40,0.39,02:45:25:13,-20.215,1324.96,1131.2169999999999
41,0.4,02:45:25:13,-20.257,1325.0020000000002,1131.37
42,0.41,02:45:25:13,-20.250999999999998,1325.0610000000001,1131.537
43,0.42,02:45:25:13,-20.256,1325.094,1131.697
44,0.43,02:45:25:14,-20.273,1325.158,1131.859
45,0.44,02:45:25:14,-20.277,1325.205,1131.99
46,0.45,02:45:25:14,-20.264,1325.2160000000001,1132.123
47,0.46,02:45:25:14,-20.266,1325.251,1132.243
48,0.47,02:45:25:15,-20.285999999999998,1325.276,1132.366
49,0.48,02:45:25:15,-20.284000000000002,1325.317,1132.463
50,0.49,02:45:25:15,-20.313,1325.361,1132.569
51,0.5,02:45:25:15,-20.313,1325.3770000000002,1132.652
52,0.51,02:45:25:16,-20.336,1325.4389999999999,1132.749
53,0.52,02:45:25:16,-20.385,1325.4779999999998,1132.847
54,0.53,02:45:25:16,-20.403,1325.5279999999998,1132.923
55,0.54,02:45:25:16,-20.430999999999997,1325.588,1133.008
56,0.55,02:45:25:17,-20.47,1325.635,1133.0910000000001
57,0.56,02:45:25:17,-20.505,1325.693,1133.149
58,0.57,02:45:25:17,-20.546,1325.729,1133.185
59,0.58,02:45:25:17,-20.587,1325.8039999999999,1133.235
60,0.59,02:45:25:18,-20.61,1325.8529999999998,1133.251
61,0.6,02:45:25:18,-20.66,1325.885,1133.265
62,0.61,02:45:25:18,-20.693,1325.9260000000002,1133.259
63,0.62,02:45:25:18,-20.741999999999997,1325.953,1133.272
64,0.63,02:45:25:19,-20.755,1325.994,1133.251
65,0.64,02:45:25:19,-20.785999999999998,1326.0520000000001,1133.231
66,0.65,02:45:25:19,-20.803,1326.099,1133.234
67,0.66,02:45:25:19,-20.811999999999998,1326.185,1133.237
68,0.67,02:45:25:20,-20.820999999999998,1326.223,1133.225
69,0.68,02:45:25:20,-20.826999999999998,1326.263,1133.234
70,0.69,02:45:25:20,-20.813000000000002,1326.308,1133.215
71,0.7,02:45:25:20,-20.816999999999997,1326.359,1133.198
72,0.71,02:45:25:21,-20.811,1326.4029999999998,1133.187
73,0.72,02:45:25:21,-20.803,1326.3929999999998,1133.135
74,0.73,02:45:25:21,-20.787,1326.457,1133.135
75,0.74,02:45:25:21,-20.756,1326.4520000000002,1133.115
76,0.75,02:45:25:22,-20.745,1326.424,1133.087
77,0.76,02:45:25:22,-20.706999999999997,1326.421,1133.078
78,0.77,02:45:25:22,-20.675,1326.4189999999999,1133.08
79,0.78,02:45:25:22,-20.643,1326.4279999999999,1133.09
80,0.79,02:45:25:23,-20.595,1326.444,1133.121
81,0.8,02:45:25:23,-20.561,1326.444,1133.145
82,0.81,02:45:25:23,-20.495,1326.418,1133.175
83,0.82,02:45:25:23,-20.444000000000003,1326.4070000000002,1133.224
84,0.83,02:45:25:24,-20.352999999999998,1326.388,1133.269
85,0.84,02:45:25:24,-20.272000000000002,1326.355,1133.34
86,0.85,02:45:25:24,-20.186,1326.3,1133.423
87,0.86,02:45:25:24,-20.067,1326.214,1133.529
88,0.87,02:45:26:00,-19.958,1326.131,1133.633
89,0.88,02:45:26:00,-19.833,1326.005,1133.751
90,0.89,02:45:26:00,-19.709,1325.87,1133.874
91,0.9,02:45:26:00,-19.545,1325.724,1134.009
92,0.91,02:45:26:01,-19.369,1325.526,1134.1689999999999
93,0.92,02:45:26:01,-19.178,1325.319,1134.358
94,0.93,02:45:26:01,-18.934,1325.128,1134.5839999999998
95,0.94,02:45:26:01,-18.691,1324.9029999999998,1134.822
96,0.95,02:45:26:02,-18.454,1324.651,1135.031
97,0.96,02:45:26:02,-18.191,1324.408,1135.249
98,0.97,02:45:26:02,-17.962,1324.1729999999998,1135.461
99,0.98,02:45:26:02,-17.76,1323.9479999999999,1135.6480000000001
100,0.99,02:45:26:03,-17.567999999999998,1323.739,1135.822
101,1.0,02:45:26:03,-17.382,1323.5810000000001,1136.013
102,1.01,02:45:26:03,-17.244,1323.4660000000001,1136.208
103,1.02,02:45:26:03,-17.177,1323.3770000000002,1136.351
