Frame,Time,SMPTE,bar_right_wrist_x,bar_right_wrist_y,bar_right_wrist_z
1,0.0,02:45:25:03,9.7725,828.073,1039.114
2,0.01,02:45:25:03,9.4995,827.9565,1039.053
3,0.02,02:45:25:03,9.2645,827.8710000000001,1038.984
4,0.03,02:45:25:04,9.0775,827.819,1038.9385
5,0.04,02:45:25:04,8.7025,827.7410000000001,1038.8285
6,0.05,02:45:25:04,8.538,827.7,1038.7505
7,0.06,02:45:25:04,8.4,827.643,1038.6285
8,0.07,02:45:25:05,8.2785,827.6145,1038.5375
9,0.08,02:45:25:05,8.189,827.592,1038.431
10,0.09,02:45:25:05,8.1365,827.595,1038.3445
11,0.1,02:45:25:05,8.082,827.5785,1038.2475
12,0.11,02:45:25:06,8.072000000000001,827.6265,1038.149
13,0.12,02:45:25:06,8.0675,827.6510000000001,1038.0785
14,0.13,02:45:25:06,8.0975,827.6935,1037.9765
15,0.14,02:45:25:06,8.1325,827.7225,1037.9095
16,0.15,02:45:25:07,8.381,827.8005,1037.942
17,0.16,02:45:25:07,8.45,827.8575,1037.874
18,0.17,02:45:25:07,8.556000000000001,827.9205,1037.8125
19,0.18,02:45:25:07,8.683,827.9830000000001,1037.7655
20,0.19,02:45:25:08,8.806000000000001,828.0375,1037.7269999999999
21,0.2,02:45:25:08,8.94,828.0715,1037.684
22,0.21,02:45:25:08,9.0835,828.133,1037.6515
23,0.22,02:45:25:08,9.2515,828.1695,1037.6375
24,0.23,02:45:25:09,9.43,828.2125,1037.598
25,0.24,02:45:25:09,9.6055,828.2485,1037.6
26,0.25,02:45:25:09,9.787,828.305,1037.601
27,0.26,02:45:25:09,9.977,828.3265,1037.5855
28,0.27,02:45:25:10,9.9515,828.3235,1037.483
29,0.28,02:45:25:10,10.368,828.432,1037.6085
30,0.29,02:45:25:10,10.522,828.4655,1037.6335
31,0.3,02:45:25:10,10.674000000000001,828.529,1037.66
32,0.31,02:45:25:11,10.818,828.5815,1037.7285
33,0.32,02:45:25:11,10.9255,828.6225,1037.77
34,0.33,02:45:25:11,11.037,828.69,1037.8375
35,0.34,02:45:25:11,11.185,828.748,1037.963
