Frame,Time,SMPTE,bar_shoulder_centre_x,bar_shoulder_centre_y,bar_shoulder_centre_z
1,0.0,02:45:25:03,-195.2425,1326.037,1121.6635
2,0.01,02:45:25:03,-195.062,1326.0529999999999,1121.558
3,0.02,02:45:25:03,-194.9115,1326.0720000000001,1121.46
4,0.03,02:45:25:04,-194.768,1326.078,1121.4015
5,0.04,02:45:25:04,-194.637,1326.1545,1121.3755
6,0.05,02:45:25:04,-194.548,1326.1925,1121.3519999999999
7,0.06,02:45:25:04,-194.452,1326.2185,1121.3445
8,0.07,02:45:25:05,-194.3815,1326.2420000000002,1121.3485
9,0.08,02:45:25:05,-194.3195,1326.2665,1121.371
10,0.09,02:45:25:05,-194.28799999999998,1326.2855,1121.4005
11,0.1,02:45:25:05,-194.2705,1326.3029999999999,1121.452
12,0.11,02:45:25:06,-194.2705,1326.3265,1121.5025
13,0.12,02:45:25:06,-194.298,1326.3429999999998,1121.562
14,0.13,02:45:25:06,-194.3385,1326.361,1121.6385
15,0.14,02:45:25:06,-194.3945,1326.38,1121.7089999999998
16,0.15,02:45:25:07,-194.47099999999998,1326.399,1121.782
17,0.16,02:45:25:07,-194.56400000000002,1326.43,1121.872
18,0.17,02:45:25:07,-194.6525,1326.4565,1121.953
19,0.18,02:45:25:07,-194.748,1326.4855,1122.046
20,0.19,02:45:25:08,-194.83900000000003,1326.5085,1122.1425
21,0.2,02:45:25:08,-194.945,1326.526,1122.233
22,0.21,02:45:25:08,-195.0415,1326.5405,1122.3485
23,0.22,02:45:25:08,-195.1505,1326.5455,1122.48
24,0.23,02:45:25:09,-195.247,1326.5495,1122.6115
25,0.24,02:45:25:09,-195.356,1326.5445,1122.757
26,0.25,02:45:25:09,-195.44400000000002,1326.5539999999999,1122.912
27,0.26,02:45:25:09,-195.5425,1326.5495,1123.07
28,0.27,02:45:25:10,-195.63400000000001,1326.545,1123.1985
29,0.28,02:45:25:10,-195.7375,1326.5379999999998,1123.3455
30,0.29,02:45:25:10,-195.8205,1326.5420000000001,1123.5005
31,0.3,02:45:25:10,-195.9065,1326.559,1123.6475
32,0.31,02:45:25:11,-195.9845,1326.5739999999998,1123.808
33,0.32,02:45:25:11,-196.045,1326.5775,1123.9685
34,0.33,02:45:25:11,-196.0895,1326.6165,1124.123
35,0.34,02:45:25:11,-196.13,1326.6445,1124.248
36,0.35,02:45:25:12,-196.1685,1326.661,1124.3985
37,0.36,02:45:25:12,-196.2025,1326.6865,1124.5385
38,0.37,02:45:25:12,-196.2265,1326.7125,1124.688
39,0.38,02:45:25:12,-196.2605,1326.7285,1124.846
40,0.39,02:45:25:13,-196.2895,1326.764,1125.0205
41,0.4,02:45:25:13,-196.3225,1326.769,1125.1605
42,0.41,02:45:25:13,-196.3335,1326.7985,1125.3195
43,0.42,02:45:25:13,-196.34799999999998,1326.7995,1125.4575
44,0.43,02:45:25:14,-196.3615,1326.83,1125.5845
45,0.44,02:45:25:14,-196.3675,1326.8475,1125.695
46,0.45,02:45:25:14,-196.3755,1326.8565,1125.7895
47,0.46,02:45:25:14,-196.3825,1326.8855,1125.8835
48,0.47,02:45:25:15,-196.398,1326.9029999999998,1125.9589999999998
49,0.48,02:45:25:15,-196.41,1326.9289999999999,1126.029
50,0.49,02:45:25:15,-196.4275,1326.9555,1126.09
51,0.5,02:45:25:15,-196.4375,1326.975,1126.134
52,0.51,02:45:25:16,-196.4675,1327.0175,1126.184
53,0.52,02:45:25:16,-196.502,1327.0505,1126.228
54,0.53,02:45:25:16,-196.5315,1327.092,1126.2575
55,0.54,02:45:25:16,-196.558,1327.138,1126.2830000000001
56,0.55,02:45:25:17,-196.59400000000002,1327.1795,1126.306
57,0.56,02:45:25:17,-196.632,1327.224,1126.3075
58,0.57,02:45:25:17,-196.6725,1327.255,1126.29
