Frame,Time,SMPTE,bar_hip_centre_x,bar_hip_centre_y,bar_hip_centre_z
1,0.0,02:45:25:03,-195.4573,964.1092,1116.228
2,0.01,02:45:25:03,-195.472,964.1005,1116.2705
3,0.02,02:45:25:03,-195.4675,964.0980000000001,1116.3585
4,0.03,02:45:25:04,-195.9193,964.34,1116.6038
5,0.04,02:45:25:04,-195.9092,964.37,1116.5317
6,0.05,02:45:25:04,-195.7108,964.3767,1116.4998
7,0.06,02:45:25:04,-195.69299999999998,964.4015,1116.5205
8,0.07,02:45:25:05,-195.665,964.3942,1116.5738
9,0.08,02:45:25:05,-195.6672,964.3628,1116.5365
10,0.09,02:45:25:05,-195.6395,964.3745,1116.5968
11,0.1,02:45:25:05,-195.61,964.3665,1116.644
12,0.11,02:45:25:06,-195.5885,964.378,1116.702
13,0.12,02:45:25:06,-195.5498,964.3895,1116.7798
14,0.13,02:45:25:06,-195.514,964.3855,1116.835
15,0.14,02:45:25:06,-195.4778,964.3910000000001,1116.8625
16,0.15,02:45:25:07,-195.4248,964.3989999999999,1116.9475
17,0.16,02:45:25:07,-195.3772,964.4122,1116.9872
18,0.17,02:45:25:07,-195.3328,964.42,1117.0335
19,0.18,02:45:25:07,-195.2795,964.4408,1117.0507
20,0.19,02:45:25:08,-195.2315,964.444,1117.0512
21,0.2,02:45:25:08,-195.1995,964.4652,1117.095
22,0.21,02:45:25:08,-195.1578,964.4780000000001,1117.125
23,0.22,02:45:25:08,-195.1135,964.4722,1117.1263
24,0.23,02:45:25:09,-195.097,964.4778,1117.1218
25,0.24,02:45:25:09,-195.0555,964.4889999999999,1117.1580000000001
26,0.25,02:45:25:09,-195.012,964.4915,1117.1889999999999
27,0.26,02:45:25:09,-194.947,964.5307,1117.2752
28,0.27,02:45:25:10,-194.8975,964.535,1117.2928
29,0.28,02:45:25:10,-194.8788,964.4898,1117.3198
30,0.29,02:45:25:10,-194.8425,964.5338,1117.351
31,0.3,02:45:25:10,-194.7865,964.5415,1117.4338
32,0.31,02:45:25:11,-194.7562,964.5465,1117.4818
33,0.32,02:45:25:11,-194.7358,964.5418,1117.5082
34,0.33,02:45:25:11,-194.7212,964.5615,1117.5812
35,0.34,02:45:25:11,-194.6885,964.5908,1117.6502
36,0.35,02:45:25:12,-194.6555,964.6112,1117.7402
37,0.36,02:45:25:12,-194.628,964.6268,1117.7585
38,0.37,02:45:25:12,-194.614,964.6425,1117.8255
39,0.38,02:45:25:12,-194.5967,964.6675,1117.8832
40,0.39,02:45:25:13,-194.567,964.6945,1117.9802
41,0.4,02:45:25:13,-194.5428,964.7035,1118.0668
42,0.41,02:45:25:13,-194.5525,964.7112,1118.1555
43,0.42,02:45:25:13,-194.5543,964.7078,1118.2125
44,0.43,02:45:25:14,-194.55200000000002,964.7098,1118.3232
45,0.44,02:45:25:14,-194.553,964.7048,1118.4285
46,0.45,02:45:25:14,-194.5607,964.7242,1118.4898
47,0.46,02:45:25:14,-194.5838,964.7308,1118.5639999999999
48,0.47,02:45:25:15,-194.5705,964.7368,1118.6698
49,0.48,02:45:25:15,-194.5815,964.7588,1118.77
50,0.49,02:45:25:15,-194.6005,964.7762,1118.8578
51,0.5,02:45:25:15,-194.602,964.7725,1118.938
52,0.51,02:45:25:16,-194.6045,964.7735,1119.0548
53,0.52,02:45:25:16,-194.613,964.7858,1119.136
54,0.53,02:45:25:16,-194.6025,964.7922,1119.2269999999999
55,0.54,02:45:25:16,-194.6092,964.8022,1119.328
56,0.55,02:45:25:17,-194.6105,964.8195,1119.445
