Frame,Time,SMPTE,bar_spine_x,bar_spine_y,bar_spine_z
1,0.0,02:45:25:03,-196.4165,1150.1785,1213.7475
2,0.01,02:45:25:03,-196.3035,1150.2032,1213.7402
3,0.02,02:45:25:03,-196.2078,1150.2598,1213.744
4,0.03,02:45:25:04,-196.195,1150.2955,1213.8718
5,0.04,02:45:25:04,-196.0692,1150.2862,1213.91
6,0.05,02:45:25:04,-196.0395,1150.3778,1213.9289999999999
7,0.06,02:45:25:04,-195.9965,1150.3915,1213.9705
8,0.07,02:45:25:05,-195.8998,1150.4288,1214.0188
9,0.08,02:45:25:05,-195.8668,1150.4515,1214.0772
10,0.09,02:45:25:05,-195.7825,1150.4485,1214.1562
11,0.1,02:45:25:05,-195.7668,1150.4642,1214.2448
12,0.11,02:45:25:06,-195.7235,1150.4589999999998,1214.3007
13,0.12,02:45:25:06,-195.7242,1150.4852,1214.3885
14,0.13,02:45:25:06,-195.7142,1150.4888,1214.4355
15,0.14,02:45:25:06,-195.713,1150.4738,1214.4935
16,0.15,02:45:25:07,-195.6935,1150.4665,1214.5558
17,0.16,02:45:25:07,-195.71099999999998,1150.4858,1214.6158
18,0.17,02:45:25:07,-195.7015,1150.5230000000001,1214.6762
19,0.18,02:45:25:07,-195.715,1150.5215,1214.7455
20,0.19,02:45:25:08,-195.72799999999998,1150.4902,1214.8317
21,0.2,02:45:25:08,-195.7328,1150.4912,1214.9180000000001
22,0.21,02:45:25:08,-195.7828,1150.4732,1214.9958
23,0.22,02:45:25:08,-195.8323,1150.4678,1215.0855
24,0.23,02:45:25:09,-195.8438,1150.4412,1215.183
25,0.24,02:45:25:09,-195.8778,1150.4708,1215.2775
26,0.25,02:45:25:09,-195.9242,1150.4468,1215.3588
27,0.26,02:45:25:09,-195.94799999999998,1150.4382,1215.4625
28,0.27,02:45:25:10,-195.935,1150.4055,1215.5515
29,0.28,02:45:25:10,-196.0012,1150.4215,1215.6745
30,0.29,02:45:25:10,-195.97,1150.3832,1215.7785
31,0.3,02:45:25:10,-196.0268,1150.3592,1215.8903
32,0.31,02:45:25:11,-196.0735,1150.37,1216.0138
33,0.32,02:45:25:11,-196.1105,1150.3585,1216.1292
