Frame,Time,SMPTE,bar_left_ankle_x,bar_left_ankle_y,bar_left_ankle_z
1,0.0,02:45:25:03,-293.262,118.333,1107.851
2,0.01,02:45:25:03,-293.251,118.34,1107.862
3,0.02,02:45:25:03,-293.248,118.34200000000001,1107.866
4,0.03,02:45:25:04,-293.219,118.243,1107.853
5,0.04,02:45:25:04,-293.328,118.389,1107.97
6,0.05,02:45:25:04,-293.339,118.42200000000001,1107.978
7,0.06,02:45:25:04,-293.325,118.429,1107.988
8,0.07,02:45:25:05,-293.322,118.43,1107.991
9,0.08,02:45:25:05,-293.345,118.435,1108.011
10,0.09,02:45:25:05,-293.34,118.445,1108.019
11,0.1,02:45:25:05,-293.345,118.455,1108.024
12,0.11,02:45:25:06,-293.36400000000003,118.447,1108.028
13,0.12,02:45:25:06,-293.347,118.458,1108.015
14,0.13,02:45:25:06,-293.342,118.46600000000001,1108.02
15,0.14,02:45:25:06,-293.311,118.447,1108.017
16,0.15,02:45:25:07,-293.29,118.454,1108.019
17,0.16,02:45:25:07,-293.284,118.45200000000001,1108.0330000000001
18,0.17,02:45:25:07,-293.264,118.45100000000001,1108.0330000000001
19,0.18,02:45:25:07,-293.259,118.477,1108.048
20,0.19,02:45:25:08,-293.25,118.492,1108.072
21,0.2,02:45:25:08,-293.249,118.493,1108.077
22,0.21,02:45:25:08,-293.24,118.48899999999999,1108.0910000000001
23,0.22,02:45:25:08,-293.248,118.51799999999999,1108.097
24,0.23,02:45:25:09,-293.27,118.51299999999999,1108.121
25,0.24,02:45:25:09,-293.259,118.508,1108.13
26,0.25,02:45:25:09,-293.278,118.52600000000001,1108.1589999999999
27,0.26,02:45:25:09,-293.301,118.525,1108.164
28,0.27,02:45:25:10,-293.297,118.51,1108.185
29,0.28,02:45:25:10,-293.3,118.51700000000001,1108.178
30,0.29,02:45:25:10,-293.282,118.52,1108.174
31,0.3,02:45:25:10,-293.277,118.521,1108.167
32,0.31,02:45:25:11,-293.262,118.52799999999999,1108.163
33,0.32,02:45:25:11,-293.25,118.539,1108.164
34,0.33,02:45:25:11,-293.232,118.51700000000001,1108.191
35,0.34,02:45:25:11,-293.249,118.531,1108.175
36,0.35,02:45:25:12,-293.23,118.536,1108.17
37,0.36,02:45:25:12,-293.232,118.531,1108.183
38,0.37,02:45:25:12,-293.23900000000003,118.541,1108.194
39,0.38,02:45:25:12,-293.22900000000004,118.544,1108.185
40,0.39,02:45:25:13,-293.211,118.54,1108.187
41,0.4,02:45:25:13,-293.217,118.54,1108.171
42,0.41,02:45:25:13,-293.193,118.535,1108.17
43,0.42,02:45:25:13,-293.205,118.54,1108.172
44,0.43,02:45:25:14,-293.197,118.52799999999999,1108.192
45,0.44,02:45:25:14,-293.198,118.545,1108.17
46,0.45,02:45:25:14,-293.17,118.51100000000001,1108.156
47,0.46,02:45:25:14,-293.156,118.529,1108.16
48,0.47,02:45:25:15,-293.173,118.507,1108.183
49,0.48,02:45:25:15,-293.165,118.524,1108.1789999999999
50,0.49,02:45:25:15,-293.156,118.53299999999999,1108.174
51,0.5,02:45:25:15,-293.168,118.52799999999999,1108.2
52,0.51,02:45:25:16,-293.16200000000003,118.52,1108.2089999999998
53,0.52,02:45:25:16,-293.181,118.527,1108.221
54,0.53,02:45:25:16,-293.165,118.52799999999999,1108.231
55,0.54,02:45:25:16,-293.16200000000003,118.527,1108.235
56,0.55,02:45:25:17,-293.156,118.521,1108.238
57,0.56,02:45:25:17,-293.177,118.509,1108.272
58,0.57,02:45:25:17,-293.19,118.524,1108.289
59,0.58,02:45:25:17,-293.216,118.52799999999999,1108.312
60,0.59,02:45:25:18,-293.209,118.515,1108.32
61,0.6,02:45:25:18,-293.207,118.52600000000001,1108.3310000000001
62,0.61,02:45:25:18,-293.205,118.545,1108.339
63,0.62,02:45:25:18,-293.203,118.546,1108.356
64,0.63,02:45:25:19,-293.20599999999996,118.561,1108.379
65,0.64,02:45:25:19,-293.217,118.569,1108.404
66,0.65,02:45:25:19,-293.22900000000004,118.589,1108.424
67,0.66,02:45:25:19,-293.238,118.6,1108.458
68,0.67,02:45:25:20,-293.252,118.62200000000001,1108.475
69,0.68,02:45:25:20,-293.257,118.62700000000001,1108.491
70,0.69,02:45:25:20,-293.27299999999997,118.615,1108.506
71,0.7,02:45:25:20,-293.288,118.616,1108.538
72,0.71,02:45:25:21,-293.288,118.641,1108.548
73,0.72,02:45:25:21,-293.311,118.637,1108.578
74,0.73,02:45:25:21,-293.313,118.635,1108.577
75,0.74,02:45:25:21,-293.332,118.645,1108.598
76,0.75,02:45:25:22,-293.33299999999997,118.639,1108.604
77,0.76,02:45:25:22,-293.336,118.634,1108.627
78,0.77,02:45:25:22,-293.355,118.654,1108.635
79,0.78,02:45:25:22,-293.37,118.665,1108.642
80,0.79,02:45:25:23,-293.381,118.663,1108.6760000000002
81,0.8,02:45:25:23,-293.389,118.655,1108.6989999999998
82,0.81,02:45:25:23,-293.411,118.682,1108.704
83,0.82,02:45:25:23,-293.413,118.66799999999999,1108.722
84,0.83,02:45:25:24,-293.425,118.67299999999999,1108.756
85,0.84,02:45:25:24,-293.441,118.697,1108.759
86,0.85,02:45:25:24,-293.46,118.684,1108.7839999999999
87,0.86,02:45:25:24,-293.46,118.698,1108.795
88,0.87,02:45:26:00,-293.496,118.711,1108.813
89,0.88,02:45:26:00,-293.503,118.719,1108.825
90,0.89,02:45:26:00,-293.528,118.72,1108.843
91,0.9,02:45:26:00,-293.552,118.71700000000001,1108.858
92,0.91,02:45:26:01,-293.563,118.734,1108.888
93,0.92,02:45:26:01,-293.568,118.726,1108.887
94,0.93,02:45:26:01,-293.598,118.738,1108.902
95,0.94,02:45:26:01,-293.601,118.729,1108.913
96,0.95,02:45:26:02,-293.633,118.73899999999999,1108.914
97,0.96,02:45:26:02,-293.628,118.734,1108.927
98,0.97,02:45:26:02,-293.63599999999997,118.73899999999999,1108.924
99,0.98,02:45:26:02,-293.63,118.74600000000001,1108.912
100,0.99,02:45:26:03,-293.63,118.735,1108.911
101,1.0,02:45:26:03,-293.639,118.74,1108.912
102,1.01,02:45:26:03,-293.652,118.75200000000001,1108.9189999999999
103,1.02,02:45:26:03,-293.64799999999997,118.745,1108.905
104,1.03,02:45:26:04,-293.661,118.74799999999999,1108.917
105,1.04,02:45:26:04,-293.672,118.75200000000001,1108.934
106,1.05,02:45:26:04,-293.693,118.75,1108.941
107,1.06,02:45:26:04,-293.70099999999996,118.757,1108.9389999999999
108,1.07,02:45:26:05,-293.688,118.759,1108.95
109,1.08,02:45:26:05,-293.676,118.757,1108.942
110,1.09,02:45:26:05,-293.665,118.74700000000001,1108.941
111,1.1,02:45:26:05,-293.64599999999996,118.74600000000001,1108.932
112,1.11,02:45:26:06,-293.645,118.749,1108.9360000000001
113,1.12,02:45:26:06,-293.649,118.762,1108.934
114,1.13,02:45:26:06,-293.64099999999996,118.75,1108.94
115,1.14,02:45:26:06,-293.649,118.757,1108.9569999999999
116,1.15,02:45:26:07,-293.625,118.75,1108.9560000000001
117,1.16,02:45:26:07,-293.644,118.762,1108.97
118,1.17,02:45:26:07,-293.622,118.76299999999999,1108.973
119,1.18,02:45:26:07,-293.626,118.756,1108.978
120,1.19,02:45:26:08,-293.632,118.749,1108.989
121,1.2,02:45:26:08,-293.638,118.76299999999999,1108.993
122,1.21,02:45:26:08,-293.63599999999997,118.73100000000001,1108.999
123,1.22,02:45:26:08,-293.647,118.735,1108.994
124,1.23,02:45:26:09,-293.639,118.73,1109.003
125,1.24,02:45:26:09,-293.643,118.74799999999999,1108.985
126,1.25,02:45:26:09,-293.628,118.74,1109.011
127,1.26,02:45:26:09,-293.633,118.73200000000001,1108.998
128,1.27,02:45:26:10,-293.635,118.75,1109.004
129,1.28,02:45:26:10,-293.629,118.71799999999999,1109.013
130,1.29,02:45:26:10,-293.651,118.71600000000001,1109.035
131,1.3,02:45:26:10,-293.642,118.71799999999999,1109.02
132,1.31,02:45:26:11,-293.666,118.719,1109.036
133,1.32,02:45:26:11,-293.689,118.727,1109.039
134,1.33,02:45:26:11,-293.673,118.71600000000001,1109.025
135,1.34,02:45:26:11,-293.672,118.719,1109.0339999999999
136,1.35,02:45:26:12,-293.687,118.697,1109.028
137,1.36,02:45:26:12,-293.676,118.69,1109.018
138,1.37,02:45:26:12,-293.678,118.665,1109.018
139,1.38,02:45:26:12,-293.682,118.67399999999999,1109.0510000000002
140,1.39,02:45:26:13,-293.678,118.67,1109.026
141,1.4,02:45:26:13,-293.692,118.66799999999999,1109.024
142,1.41,02:45:26:13,-293.686,118.65899999999999,1109.01
143,1.42,02:45:26:13,-293.677,118.65,1109.016
144,1.43,02:45:26:14,-293.67400000000004,118.647,1109.013
145,1.44,02:45:26:14,-293.672,118.647,1109.024
146,1.45,02:45:26:14,-293.67900000000003,118.662,1109.022
147,1.46,02:45:26:14,-293.69,118.64299999999999,1109.0230000000001
148,1.47,02:45:26:15,-293.70799999999997,118.667,1109.05
149,1.48,02:45:26:15,-293.71299999999997,118.676,1109.047
150,1.49,02:45:26:15,-293.689,118.663,1109.055
151,1.5,02:45:26:15,-293.719,118.65299999999999,1109.053
152,1.51,02:45:26:16,-293.70799999999997,118.65799999999999,1109.0639999999999
153,1.52,02:45:26:16,-293.694,118.67200000000001,1109.0739999999998
154,1.53,02:45:26:16,-293.709,118.65299999999999,1109.07
155,1.54,02:45:26:16,-293.704,118.68,1109.08
156,1.55,02:45:26:17,-293.695,118.67299999999999,1109.095
157,1.56,02:45:26:17,-293.716,118.684,1109.083
158,1.57,02:45:26:17,-293.707,118.681,1109.0910000000001
159,1.58,02:45:26:17,-293.699,118.686,1109.0839999999998
160,1.59,02:45:26:18,-293.719,118.66799999999999,1109.096
161,1.6,02:45:26:18,-293.698,118.691,1109.101
162,1.61,02:45:26:18,-293.71,118.691,1109.105
163,1.62,02:45:26:18,-293.69599999999997,118.678,1109.101
164,1.63,02:45:26:19,-293.70799999999997,118.68799999999999,1109.094
165,1.64,02:45:26:19,-293.698,118.685,1109.108
166,1.65,02:45:26:19,-293.714,118.681,1109.108
167,1.66,02:45:26:19,-293.695,118.68700000000001,1109.107
168,1.67,02:45:26:20,-293.692,118.675,1109.123
169,1.68,02:45:26:20,-293.676,118.67299999999999,1109.123
170,1.69,02:45:26:20,-293.69,118.68,1109.122
171,1.7,02:45:26:20,-293.698,118.695,1109.111
172,1.71,02:45:26:21,-293.67900000000003,118.71,1109.101
173,1.72,02:45:26:21,-293.67,118.706,1109.111
174,1.73,02:45:26:21,-293.656,118.7,1109.0810000000001
175,1.74,02:45:26:21,-293.638,118.704,1109.096
176,1.75,02:45:26:22,-293.61,118.68700000000001,1109.0919999999999
177,1.76,02:45:26:22,-293.595,118.689,1109.068
178,1.77,02:45:26:22,-293.607,118.679,1109.09
179,1.78,02:45:26:22,-293.587,118.691,1109.093
180,1.79,02:45:26:23,-293.605,118.69200000000001,1109.124
181,1.8,02:45:26:23,-293.615,118.713,1109.149
182,1.81,02:45:26:23,-293.647,118.735,1109.172
183,1.82,02:45:26:23,-293.697,118.76100000000001,1109.226
184,1.83,02:45:26:24,-293.704,118.77600000000001,1109.249
185,1.84,02:45:26:24,-293.732,118.78399999999999,1109.2910000000002
186,1.85,02:45:26:24,-293.76,118.795,1109.329
187,1.86,02:45:26:24,-293.778,118.825,1109.3519999999999
188,1.87,02:45:27:00,-293.807,118.829,1109.362
189,1.88,02:45:27:00,-293.824,118.82600000000001,1109.4
190,1.89,02:45:27:00,-293.82599999999996,118.834,1109.4089999999999
191,1.9,02:45:27:00,-293.847,118.84200000000001,1109.44
192,1.91,02:45:27:01,-293.83,118.831,1109.441
193,1.92,02:45:27:01,-293.818,118.844,1109.465
194,1.93,02:45:27:01,-293.797,118.852,1109.465
195,1.94,02:45:27:01,-293.81,118.85600000000001,1109.471
196,1.95,02:45:27:02,-293.802,118.859,1109.498
197,1.96,02:45:27:02,-293.813,118.855,1109.495
198,1.97,02:45:27:02,-293.823,118.87200000000001,1109.507
199,1.98,02:45:27:02,-293.813,118.87200000000001,1109.509
200,1.99,02:45:27:03,-293.8,118.884,1109.508
201,2.0,02:45:27:03,-293.795,118.882,1109.495
202,2.01,02:45:27:03,-293.776,118.88,1109.499
