Frame,Time,SMPTE,bar_left_elbow_x,bar_left_elbow_y,bar_left_elbow_z
1,0.0,02:45:25:03,-380.1625,1020.643,1133.5230000000001
2,0.01,02:45:25:03,-380.279,1020.7595,1133.5515
3,0.02,02:45:25:03,-380.3965,1020.8245,1133.5775
4,0.03,02:45:25:04,-380.1885,1020.9689999999999,1134.635
5,0.04,02:45:25:04,-380.3735,1020.87,1134.9875
6,0.05,02:45:25:04,-380.3865,1020.962,1135.185
7,0.06,02:45:25:04,-380.459,1021.0319999999999,1135.23
8,0.07,02:45:25:05,-380.5165,1021.0825,1135.2805
9,0.08,02:45:25:05,-380.599,1021.1510000000001,1135.31
10,0.09,02:45:25:05,-380.655,1021.193,1135.3755
11,0.1,02:45:25:05,-380.727,1021.2485,1135.383
12,0.11,02:45:25:06,-380.73900000000003,1021.262,1135.447
13,0.12,02:45:25:06,-380.7495,1021.2795,1135.503
14,0.13,02:45:25:06,-380.806,1021.332,1135.613
15,0.14,02:45:25:06,-380.7915,1021.3455,1135.665
16,0.15,02:45:25:07,-380.769,1021.3639999999999,1135.6715
17,0.16,02:45:25:07,-380.783,1021.322,1135.5739999999998
18,0.17,02:45:25:07,-380.7485,1021.3345,1135.548
19,0.18,02:45:25:07,-380.76800000000003,1021.3205,1135.6065
20,0.19,02:45:25:08,-380.82800000000003,1021.383,1135.721
21,0.2,02:45:25:08,-380.8605,1021.4165,1135.9225
22,0.21,02:45:25:08,-380.87,1021.41,1135.9705
23,0.22,02:45:25:08,-380.916,1021.3515,1135.931
24,0.23,02:45:25:09,-380.9035,1021.306,1136.013
25,0.24,02:45:25:09,-380.9015,1021.2665,1136.089
26,0.25,02:45:25:09,-380.9175,1021.242,1136.1385
27,0.26,02:45:25:09,-380.917,1021.179,1136.231
28,0.27,02:45:25:10,-380.87699999999995,1021.1565,1136.3095
29,0.28,02:45:25:10,-380.832,1021.1145,1136.4085
30,0.29,02:45:25:10,-380.8095,1021.0755,1136.4805
31,0.3,02:45:25:10,-380.7475,1021.0695,1136.553
32,0.31,02:45:25:11,-380.721,1021.0535,1136.667
33,0.32,02:45:25:11,-380.6375,1021.015,1136.6655
34,0.33,02:45:25:11,-380.6445,1021.082,1136.902
35,0.34,02:45:25:11,-380.6225,1021.1195,1137.004
36,0.35,02:45:25:12,-380.5575,1021.045,1137.085
37,0.36,02:45:25:12,-380.523,1021.0615,1137.1695
38,0.37,02:45:25:12,-380.5445,1021.0455,1137.3155
39,0.38,02:45:25:12,-380.55699999999996,1021.0265,1137.4435
40,0.39,02:45:25:13,-380.542,1020.998,1137.47
41,0.4,02:45:25:13,-380.5065,1020.961,1137.607
42,0.41,02:45:25:13,-380.48699999999997,1020.957,1137.521
43,0.42,02:45:25:13,-380.47,1020.8965,1137.5975
44,0.43,02:45:25:14,-380.4775,1020.8735,1137.6775
45,0.44,02:45:25:14,-380.45099999999996,1020.8505,1137.723
46,0.45,02:45:25:14,-380.4805,1020.8685,1137.7995
47,0.46,02:45:25:14,-380.4465,1020.8625,1137.619
48,0.47,02:45:25:15,-380.5245,1020.9225,1137.6955
49,0.48,02:45:25:15,-380.6225,1020.9455,1137.754
50,0.49,02:45:25:15,-380.70099999999996,1020.925,1137.6145
51,0.5,02:45:25:15,-380.781,1020.931,1137.5985
52,0.51,02:45:25:16,-380.8505,1020.933,1137.6695
53,0.52,02:45:25:16,-380.9925,1021.0269999999999,1137.6965
54,0.53,02:45:25:16,-381.085,1021.055,1137.6915
55,0.54,02:45:25:16,-381.2145,1021.1110000000001,1137.7325
