Frame,Time,SMPTE,bar_left_foot_x,bar_left_foot_y,bar_left_foot_z
1,0.0,02:45:25:03,-280.574,33.5603,1071.1303
2,0.01,02:45:25:03,-280.5487,33.5597,1071.125
3,0.02,02:45:25:03,-280.56,33.5493,1071.1283
4,0.03,02:45:25:04,-280.5787,33.5377,1071.1207
5,0.04,02:45:25:04,-280.6083,33.713,1071.22
6,0.05,02:45:25:04,-280.5923,33.7253,1071.2267
7,0.06,02:45:25:04,-280.5867,33.7087,1071.232
8,0.07,02:45:25:05,-280.584,33.7357,1071.228
9,0.08,02:45:25:05,-280.5853,33.7453,1071.2347
10,0.09,02:45:25:05,-280.595,33.731,1071.236
11,0.1,02:45:25:05,-280.587,33.7497,1071.2433
12,0.11,02:45:25:06,-280.6037,33.744,1071.2413
13,0.12,02:45:25:06,-280.6,33.743,1071.24
14,0.13,02:45:25:06,-280.597,33.7393,1071.2403
15,0.14,02:45:25:06,-280.586,33.741,1071.2487
16,0.15,02:45:25:07,-280.575,33.742,1071.236
17,0.16,02:45:25:07,-280.5657,33.751999999999995,1071.248
18,0.17,02:45:25:07,-280.54400000000004,33.7353,1071.2477
19,0.18,02:45:25:07,-280.5503,33.7323,1071.2473
20,0.19,02:45:25:08,-280.534,33.755,1071.2497
21,0.2,02:45:25:08,-280.5293,33.7433,1071.2477
22,0.21,02:45:25:08,-280.5157,33.7427,1071.259
23,0.22,02:45:25:08,-280.5303,33.7367,1071.2653
24,0.23,02:45:25:09,-280.53,33.736999999999995,1071.2733
25,0.24,02:45:25:09,-280.5323,33.7393,1071.2803
26,0.25,02:45:25:09,-280.543,33.7287,1071.2757
27,0.26,02:45:25:09,-280.5353,33.739000000000004,1071.2757
28,0.27,02:45:25:10,-280.54200000000003,33.7303,1071.2817
29,0.28,02:45:25:10,-280.5367,33.7243,1071.2893
30,0.29,02:45:25:10,-280.538,33.7287,1071.2857
31,0.3,02:45:25:10,-280.5387,33.724000000000004,1071.285
32,0.31,02:45:25:11,-280.526,33.732,1071.2687
