Frame,Time,SMPTE,bar_left_hand_x,bar_left_hand_y,bar_left_hand_z
1,0.0,02:45:25:03,-392.9498,711.3075,992.459
2,0.01,02:45:25:03,-393.3332,711.424,992.32
3,0.02,02:45:25:03,-393.6995,711.5522,992.166
4,0.03,02:45:25:04,-394.1815,711.779,991.73
5,0.04,02:45:25:04,-394.4252,711.977,991.6033
6,0.05,02:45:25:04,-394.775,712.181,991.3382
7,0.06,02:45:25:04,-395.0462,712.3468,991.0975
8,0.07,02:45:25:05,-395.3082,712.5245,990.8548
9,0.08,02:45:25:05,-395.5493,712.72,990.6202
10,0.09,02:45:25:05,-395.7433,712.8928,990.3922
11,0.1,02:45:25:05,-395.903,713.0527,990.1510000000001
12,0.11,02:45:25:06,-396.0235,713.1895,989.9368
13,0.12,02:45:25:06,-396.11199999999997,713.3225,989.737
14,0.13,02:45:25:06,-396.1733,713.453,989.548
15,0.14,02:45:25:06,-396.1975,713.571,989.3710000000001
16,0.15,02:45:25:07,-396.1975,713.6783,989.2248
17,0.16,02:45:25:07,-396.1353,713.7618,989.1302
18,0.17,02:45:25:07,-396.0358,713.8368,989.0415
19,0.18,02:45:25:07,-395.8792,713.8985,988.9855
20,0.19,02:45:25:08,-395.6942,713.9345,988.9535
21,0.2,02:45:25:08,-395.481,713.947,988.9258
22,0.21,02:45:25:08,-395.2255,713.9325,988.9228
23,0.22,02:45:25:08,-394.94300000000004,713.9132,988.9325
24,0.23,02:45:25:09,-394.6452,713.8765,988.9575
25,0.24,02:45:25:09,-394.344,713.8558,989.0038
26,0.25,02:45:25:09,-394.0302,713.8035,989.066
27,0.26,02:45:25:09,-393.7125,713.7462,989.1495
28,0.27,02:45:25:10,-393.3972,713.6842,989.2389999999999
29,0.28,02:45:25:10,-393.105,713.6188,989.331
30,0.29,02:45:25:10,-392.8065,713.5723,989.4515
31,0.3,02:45:25:10,-392.5208,713.5588,989.5615
32,0.31,02:45:25:11,-392.2395,713.544,989.6842
33,0.32,02:45:25:11,-391.9995,713.523,989.703
34,0.33,02:45:25:11,-391.73400000000004,713.5082,989.8168
35,0.34,02:45:25:11,-391.4963,713.5010000000001,989.9188
36,0.35,02:45:25:12,-391.2745,713.4917,990.012
37,0.36,02:45:25:12,-391.077,713.4632,990.0965
38,0.37,02:45:25:12,-390.92,713.4547,990.1672
39,0.38,02:45:25:12,-390.785,713.4658,990.209
40,0.39,02:45:25:13,-390.6962,713.4608,990.2562
41,0.4,02:45:25:13,-390.61300000000006,713.4655,990.2757
42,0.41,02:45:25:13,-390.5735,713.4693,990.297
43,0.42,02:45:25:13,-390.5625,713.4760000000001,990.2918
44,0.43,02:45:25:14,-390.577,713.4868,990.2738
45,0.44,02:45:25:14,-390.61,713.5252,990.2642
46,0.45,02:45:25:14,-390.6573,713.5322,990.2427
47,0.46,02:45:25:14,-390.7345,713.556,990.2352
48,0.47,02:45:25:15,-390.7905,713.5902,990.2308
49,0.48,02:45:25:15,-390.86800000000005,713.6125,990.2165
50,0.49,02:45:25:15,-390.9335,713.6272,990.2262
51,0.5,02:45:25:15,-390.9663,713.6633,990.2335
52,0.51,02:45:25:16,-391.0332,713.6947,990.242
53,0.52,02:45:25:16,-391.144,713.7385,990.2792
54,0.53,02:45:25:16,-391.2058,713.7597,990.3115
55,0.54,02:45:25:16,-391.2612,713.7669999999999,990.3728
56,0.55,02:45:25:17,-391.3042,713.7675,990.4362
57,0.56,02:45:25:17,-391.3658,713.7655,990.5115
58,0.57,02:45:25:17,-391.4145,713.752,990.6082
59,0.58,02:45:25:17,-391.4498,713.7382,990.7075
60,0.59,02:45:25:18,-391.476,713.7382,990.802
61,0.6,02:45:25:18,-391.5053,713.7257,990.91
62,0.61,02:45:25:18,-391.5282,713.7217,991.0308
63,0.62,02:45:25:18,-391.5435,713.7158,991.173
64,0.63,02:45:25:19,-391.5328,713.721,991.3178
