Frame,Time,SMPTE,bar_left_hip_x,bar_left_hip_y,bar_left_hip_z
1,0.0,02:45:25:03,-345.8185,978.6775,1105.3110000000001
2,0.01,02:45:25:03,-345.8185,978.7105,1105.379
3,0.02,02:45:25:03,-345.8035,978.715,1105.498
4,0.03,02:45:25:04,-346.58099999999996,979.225,1105.981
5,0.04,02:45:25:04,-346.551,979.2505,1106.0075
6,0.05,02:45:25:04,-346.13,979.2560000000001,1105.972
7,0.06,02:45:25:04,-346.103,979.3065,1106.021
8,0.07,02:45:25:05,-346.05300000000005,979.2955,1106.1155
9,0.08,02:45:25:05,-346.0535,979.2280000000001,1106.078
10,0.09,02:45:25:05,-346.034,979.2495,1106.123
11,0.1,02:45:25:05,-345.981,979.232,1106.228
12,0.11,02:45:25:06,-345.9605,979.2280000000001,1106.2830000000001
13,0.12,02:45:25:06,-345.9105,979.2305,1106.395
14,0.13,02:45:25:06,-345.8615,979.2130000000001,1106.5175
15,0.14,02:45:25:06,-345.8045,979.221,1106.598
16,0.15,02:45:25:07,-345.7495,979.2180000000001,1106.7069999999999
17,0.16,02:45:25:07,-345.686,979.215,1106.823
18,0.17,02:45:25:07,-345.62800000000004,979.2189999999999,1106.9075
19,0.18,02:45:25:07,-345.5695,979.215,1106.9765
20,0.19,02:45:25:08,-345.4995,979.2025,1107.0265
21,0.2,02:45:25:08,-345.48,979.2075,1107.1019999999999
22,0.21,02:45:25:08,-345.4355,979.207,1107.15
23,0.22,02:45:25:08,-345.3935,979.1825,1107.187
24,0.23,02:45:25:09,-345.3725,979.182,1107.234
25,0.24,02:45:25:09,-345.3235,979.184,1107.3139999999999
26,0.25,02:45:25:09,-345.2775,979.171,1107.3525
27,0.26,02:45:25:09,-345.18800000000005,979.2375,1107.509
28,0.27,02:45:25:10,-345.12800000000004,979.2245,1107.579
29,0.28,02:45:25:10,-345.1275,979.137,1107.5775
30,0.29,02:45:25:10,-345.0565,979.217,1107.6789999999999
31,0.3,02:45:25:10,-345.0005,979.2285,1107.759
32,0.31,02:45:25:11,-344.97,979.2135,1107.8110000000001
33,0.32,02:45:25:11,-344.934,979.2205,1107.8485
34,0.33,02:45:25:11,-344.9135,979.2245,1107.894
35,0.34,02:45:25:11,-344.874,979.2655,1107.9295
36,0.35,02:45:25:12,-344.835,979.2460000000001,1107.944
37,0.36,02:45:25:12,-344.796,979.2755,1107.9385
38,0.37,02:45:25:12,-344.769,979.2785,1107.991
39,0.38,02:45:25:12,-344.7375,979.296,1108.0025
40,0.39,02:45:25:13,-344.6845,979.31,1108.0385
41,0.4,02:45:25:13,-344.6515,979.3215,1108.0615
42,0.41,02:45:25:13,-344.6535,979.3165,1108.13
43,0.42,02:45:25:13,-344.634,979.299,1108.1860000000001
44,0.43,02:45:25:14,-344.64599999999996,979.2865,1108.2
45,0.44,02:45:25:14,-344.621,979.2819999999999,1108.2705
46,0.45,02:45:25:14,-344.60699999999997,979.2905,1108.3025
47,0.46,02:45:25:14,-344.6235,979.289,1108.3535
48,0.47,02:45:25:15,-344.619,979.285,1108.404
49,0.48,02:45:25:15,-344.601,979.301,1108.5165
50,0.49,02:45:25:15,-344.626,979.3155,1108.5919999999999
51,0.5,02:45:25:15,-344.605,979.301,1108.6465
52,0.51,02:45:25:16,-344.603,979.3,1108.743
53,0.52,02:45:25:16,-344.5935,979.294,1108.788
54,0.53,02:45:25:16,-344.5805,979.3,1108.872
55,0.54,02:45:25:16,-344.589,979.3045,1108.944
56,0.55,02:45:25:17,-344.5765,979.3135,1109.025
57,0.56,02:45:25:17,-344.5705,979.3245,1109.078
58,0.57,02:45:25:17,-344.5745,979.3065,1109.142
59,0.58,02:45:25:17,-344.551,979.302,1109.218
60,0.59,02:45:25:18,-344.56300000000005,979.307,1109.3015
61,0.6,02:45:25:18,-344.5565,979.3015,1109.395
62,0.61,02:45:25:18,-344.5535,979.3105,1109.4545
63,0.62,02:45:25:18,-344.5665,979.2975,1109.539
64,0.63,02:45:25:19,-344.57300000000004,979.328,1109.6025
65,0.64,02:45:25:19,-344.592,979.3389999999999,1109.6889999999999
66,0.65,02:45:25:19,-344.60699999999997,979.345,1109.7035
67,0.66,02:45:25:19,-344.624,979.3465,1109.7665
68,0.67,02:45:25:20,-344.6545,979.3495,1109.8210000000001
69,0.68,02:45:25:20,-344.705,979.4185,1109.8515
70,0.69,02:45:25:20,-344.7395,979.4275,1109.9155
71,0.7,02:45:25:20,-344.7595,979.4195,1109.979
72,0.71,02:45:25:21,-344.7955,979.445,1110.08
73,0.72,02:45:25:21,-344.82199999999995,979.443,1110.1675
74,0.73,02:45:25:21,-344.846,979.4345,1110.2725
75,0.74,02:45:25:21,-344.8735,979.448,1110.3485
76,0.75,02:45:25:22,-344.904,979.446,1110.442
77,0.76,02:45:25:22,-344.945,979.4665,1110.5145
78,0.77,02:45:25:22,-344.97,979.4735,1110.609
79,0.78,02:45:25:22,-344.97900000000004,979.4735,1110.691
80,0.79,02:45:25:23,-345.0015,979.4839999999999,1110.8075
81,0.8,02:45:25:23,-345.036,979.5269999999999,1110.927
82,0.81,02:45:25:23,-345.0615,979.5955,1111.0095
83,0.82,02:45:25:23,-345.095,979.5755,1111.094
84,0.83,02:45:25:24,-345.1105,979.595,1111.1935
85,0.84,02:45:25:24,-345.1805,979.6165,1111.3115
86,0.85,02:45:25:24,-345.218,979.6015,1111.396
87,0.86,02:45:25:24,-345.2685,979.5825,1111.495
88,0.87,02:45:26:00,-345.316,979.6055,1111.538
89,0.88,02:45:26:00,-345.3895,979.5965,1111.6645
90,0.89,02:45:26:00,-345.44699999999995,979.597,1111.735
91,0.9,02:45:26:00,-345.536,979.5930000000001,1111.7865
92,0.91,02:45:26:01,-345.6095,979.6065,1111.893
