Frame,Time,SMPTE,bar_left_knee_x,bar_left_knee_y,bar_left_knee_z
1,0.0,02:45:25:03,-286.9565,441.27099999999996,1086.385
2,0.01,02:45:25:03,-286.957,441.286,1086.424
3,0.02,02:45:25:03,-286.9395,441.30199999999996,1086.452
4,0.03,02:45:25:04,-286.922,441.3225,1086.463
5,0.04,02:45:25:04,-287.0335,441.3865,1086.675
6,0.05,02:45:25:04,-287.022,441.441,1086.701
7,0.06,02:45:25:04,-287.0105,441.45099999999996,1086.7225
8,0.07,02:45:25:05,-287.0145,441.464,1086.7645
9,0.08,02:45:25:05,-287.001,441.464,1086.788
10,0.09,02:45:25:05,-286.997,441.4675,1086.813
11,0.1,02:45:25:05,-287.0025,441.475,1086.826
12,0.11,02:45:25:06,-286.997,441.4685,1086.84
13,0.12,02:45:25:06,-286.981,441.477,1086.8815
14,0.13,02:45:25:06,-286.938,441.473,1086.8855
15,0.14,02:45:25:06,-286.9005,441.4725,1086.905
16,0.15,02:45:25:07,-286.862,441.4765,1086.9155
17,0.16,02:45:25:07,-286.8195,441.4715,1086.9660000000001
18,0.17,02:45:25:07,-286.784,441.459,1086.9955
19,0.18,02:45:25:07,-286.756,441.4805,1087.0439999999999
20,0.19,02:45:25:08,-286.73,441.4855,1087.0910000000001
21,0.2,02:45:25:08,-286.6915,441.5005,1087.1395
22,0.21,02:45:25:08,-286.67900000000003,441.5,1087.2145
23,0.22,02:45:25:08,-286.666,441.49300000000005,1087.2625
24,0.23,02:45:25:09,-286.6805,441.486,1087.326
25,0.24,02:45:25:09,-286.672,441.4865,1087.3615
26,0.25,02:45:25:09,-286.69599999999997,441.48900000000003,1087.411
27,0.26,02:45:25:09,-286.70799999999997,441.47900000000004,1087.432
28,0.27,02:45:25:10,-286.71,441.4975,1087.4505
29,0.28,02:45:25:10,-286.70799999999997,441.4825,1087.4705
30,0.29,02:45:25:10,-286.677,441.49,1087.4775
31,0.3,02:45:25:10,-286.6465,441.49699999999996,1087.4769999999999
32,0.31,02:45:25:11,-286.6195,441.5105,1087.5035
33,0.32,02:45:25:11,-286.5925,441.5105,1087.514
34,0.33,02:45:25:11,-286.556,441.5225,1087.525
35,0.34,02:45:25:11,-286.54900000000004,441.5265,1087.5275
36,0.35,02:45:25:12,-286.524,441.5365,1087.522
37,0.36,02:45:25:12,-286.524,441.536,1087.508
38,0.37,02:45:25:12,-286.5045,441.5545,1087.5175
39,0.38,02:45:25:12,-286.4835,441.5495,1087.5135
40,0.39,02:45:25:13,-286.467,441.559,1087.517
41,0.4,02:45:25:13,-286.4465,441.566,1087.5425
42,0.41,02:45:25:13,-286.439,441.5635,1087.548
43,0.42,02:45:25:13,-286.4385,441.561,1087.553
44,0.43,02:45:25:14,-286.4165,441.56800000000004,1087.5610000000001
45,0.44,02:45:25:14,-286.4075,441.57099999999997,1087.55
46,0.45,02:45:25:14,-286.3865,441.5865,1087.559
47,0.46,02:45:25:14,-286.372,441.575,1087.5905
48,0.47,02:45:25:15,-286.357,441.5865,1087.596
49,0.48,02:45:25:15,-286.3495,441.60699999999997,1087.6185
50,0.49,02:45:25:15,-286.3315,441.595,1087.644
51,0.5,02:45:25:15,-286.3215,441.594,1087.675
52,0.51,02:45:25:16,-286.3195,441.5955,1087.71
