Frame,Time,SMPTE,bar_left_shoulder_x,bar_left_shoulder_y,bar_left_shoulder_z
1,0.0,02:45:25:03,-371.145,1327.751,1114.969
2,0.01,02:45:25:03,-370.965,1327.7939999999999,1114.894
3,0.02,02:45:25:03,-370.82599999999996,1327.854,1114.823
4,0.03,02:45:25:04,-370.67900000000003,1327.8970000000002,1114.812
5,0.04,02:45:25:04,-370.53,1327.985,1114.844
6,0.05,02:45:25:04,-370.49800000000005,1328.111,1114.83
7,0.06,02:45:25:04,-370.406,1328.181,1114.875
8,0.07,02:45:25:05,-370.347,1328.247,1114.943
9,0.08,02:45:25:05,-370.287,1328.31,1115.012
10,0.09,02:45:25:05,-370.25,1328.368,1115.106
11,0.1,02:45:25:05,-370.23,1328.4089999999999,1115.195
12,0.11,02:45:25:06,-370.231,1328.461,1115.289
13,0.12,02:45:25:06,-370.26199999999994,1328.495,1115.402
14,0.13,02:45:25:06,-370.30300000000005,1328.521,1115.514
15,0.14,02:45:25:06,-370.36199999999997,1328.5520000000001,1115.628
16,0.15,02:45:25:07,-370.436,1328.5910000000001,1115.726
17,0.16,02:45:25:07,-370.537,1328.6229999999998,1115.85
18,0.17,02:45:25:07,-370.62699999999995,1328.6629999999998,1115.948
19,0.18,02:45:25:07,-370.724,1328.683,1116.067
20,0.19,02:45:25:08,-370.82199999999995,1328.692,1116.161
21,0.2,02:45:25:08,-370.93300000000005,1328.6989999999998,1116.265
22,0.21,02:45:25:08,-371.043,1328.7,1116.388
23,0.22,02:45:25:08,-371.152,1328.68,1116.512
24,0.23,02:45:25:09,-371.269,1328.665,1116.64
25,0.24,02:45:25:09,-371.376,1328.634,1116.781
26,0.25,02:45:25:09,-371.49300000000005,1328.622,1116.925
27,0.26,02:45:25:09,-371.599,1328.594,1117.062
28,0.27,02:45:25:10,-371.708,1328.5729999999999,1117.163
29,0.28,02:45:25:10,-371.81300000000005,1328.559,1117.305
30,0.29,02:45:25:10,-371.904,1328.558,1117.44
31,0.3,02:45:25:10,-371.99,1328.5639999999999,1117.5739999999998
32,0.31,02:45:25:11,-372.05199999999996,1328.5770000000002,1117.7089999999998
33,0.32,02:45:25:11,-372.10900000000004,1328.5620000000001,1117.8419999999999
34,0.33,02:45:25:11,-372.16,1328.5910000000001,1117.988
35,0.34,02:45:25:11,-372.184,1328.601,1118.096
36,0.35,02:45:25:12,-372.224,1328.592,1118.237
37,0.36,02:45:25:12,-372.26199999999994,1328.5839999999998,1118.364
38,0.37,02:45:25:12,-372.29699999999997,1328.585,1118.503
39,0.38,02:45:25:12,-372.32800000000003,1328.5639999999999,1118.656
40,0.39,02:45:25:13,-372.36400000000003,1328.568,1118.8239999999998
41,0.4,02:45:25:13,-372.38800000000003,1328.536,1118.951
42,0.41,02:45:25:13,-372.416,1328.536,1119.1019999999999
43,0.42,02:45:25:13,-372.44,1328.505,1119.218
44,0.43,02:45:25:14,-372.45,1328.5020000000002,1119.31
45,0.44,02:45:25:14,-372.458,1328.49,1119.4
46,0.45,02:45:25:14,-372.48699999999997,1328.497,1119.4560000000001
47,0.46,02:45:25:14,-372.499,1328.52,1119.524
48,0.47,02:45:25:15,-372.51,1328.53,1119.552
49,0.48,02:45:25:15,-372.536,1328.5410000000002,1119.595
50,0.49,02:45:25:15,-372.542,1328.55,1119.611
51,0.5,02:45:25:15,-372.56199999999995,1328.5729999999999,1119.616
52,0.51,02:45:25:16,-372.599,1328.596,1119.619
53,0.52,02:45:25:16,-372.619,1328.6229999999998,1119.609
54,0.53,02:45:25:16,-372.66,1328.656,1119.5919999999999
55,0.54,02:45:25:16,-372.685,1328.6879999999999,1119.558
56,0.55,02:45:25:17,-372.718,1328.724,1119.521
57,0.56,02:45:25:17,-372.759,1328.755,1119.4660000000001
58,0.57,02:45:25:17,-372.79900000000004,1328.781,1119.395
59,0.58,02:45:25:17,-372.838,1328.8129999999999,1119.357
60,0.59,02:45:25:18,-372.89300000000003,1328.855,1119.305
61,0.6,02:45:25:18,-372.92699999999996,1328.901,1119.249
62,0.61,02:45:25:18,-372.98400000000004,1328.964,1119.193
63,0.62,02:45:25:18,-373.034,1329.031,1119.138
64,0.63,02:45:25:19,-373.082,1329.11,1119.09
65,0.64,02:45:25:19,-373.14099999999996,1329.211,1119.019
66,0.65,02:45:25:19,-373.155,1329.273,1118.9769999999999
67,0.66,02:45:25:19,-373.218,1329.4160000000002,1118.955
68,0.67,02:45:25:20,-373.233,1329.461,1118.9160000000002
69,0.68,02:45:25:20,-373.25199999999995,1329.507,1118.874
70,0.69,02:45:25:20,-373.256,1329.545,1118.84
71,0.7,02:45:25:20,-373.25300000000004,1329.5739999999998,1118.808
72,0.71,02:45:25:21,-373.25199999999995,1329.596,1118.7830000000001
73,0.72,02:45:25:21,-373.25199999999995,1329.622,1118.754
74,0.73,02:45:25:21,-373.24199999999996,1329.6529999999998,1118.732
75,0.74,02:45:25:21,-373.244,1329.6779999999999,1118.728
76,0.75,02:45:25:22,-373.227,1329.715,1118.725
77,0.76,02:45:25:22,-373.195,1329.741,1118.722
78,0.77,02:45:25:22,-373.161,1329.8039999999999,1118.72
79,0.78,02:45:25:22,-373.135,1329.855,1118.719
