Frame,Time,SMPTE,bar_right_hip_x,bar_right_hip_y,bar_right_hip_z
1,0.0,01:04:00.06:01,257.185,1009.077,-23.9315
2,0.01,01:04:00.06:02,257.176,1009.081,-24.0075
3,0.02,01:04:00.06:03,257.1575,1009.077,-24.0825
4,0.03,01:04:00.07:00,257.2125,1009.12,-24.2105
5,0.04,01:04:00.07:01,257.268,1009.336,-24.2465
6,0.05,01:04:00.07:02,257.047,1009.1030000000001,-24.3195
7,0.06,01:04:00.07:03,256.9905,1009.0765,-24.3735
8,0.07,01:04:00.08:00,256.922,1009.073,-24.421
9,0.08,01:04:00.08:01,256.8615,1009.07,-24.444000000000003
10,0.09,01:04:00.08:02,256.7875,1009.065,-24.4855
11,0.1,01:04:00.08:03,256.711,1009.0695,-24.5195
12,0.11,01:04:00.09:00,256.595,1009.0895,-24.548000000000002
13,0.12,01:04:00.09:01,256.5035,1009.091,-24.576999999999998
14,0.13,01:04:00.09:02,256.4505,1009.0645,-24.6255
15,0.14,01:04:00.09:03,256.3545,1009.077,-24.6745
16,0.15,01:04:00.10:00,256.26,1009.0785,-24.6895
17,0.16,01:04:00.10:01,256.1585,1009.073,-24.7215
18,0.17,01:04:00.10:02,256.06,1009.073,-24.712
19,0.18,01:04:00.10:03,255.9515,1009.073,-24.724
20,0.19,01:04:00.11:00,255.8605,1009.068,-24.7385
21,0.2,01:04:00.11:01,255.7385,1009.0675,-24.7555
22,0.21,01:04:00.11:02,255.6375,1009.066,-24.763
23,0.22,01:04:00.11:03,255.5225,1009.059,-24.7815
24,0.23,01:04:00.12:00,255.4195,1009.054,-24.784000000000002
25,0.24,01:04:00.12:01,255.3185,1009.0735,-24.795
26,0.25,01:04:00.12:02,255.21200000000002,1009.096,-24.8005
27,0.26,01:04:00.12:03,255.1435,1009.1135,-24.8165
28,0.27,01:04:00.13:00,255.0555,1009.1125,-24.824
29,0.28,01:04:00.13:01,254.99400000000003,1009.1265,-24.835
30,0.29,01:04:00.13:02,254.9225,1009.1310000000001,-24.849
31,0.3,01:04:00.13:03,254.8675,1009.128,-24.8505
32,0.31,01:04:00.14:00,254.785,1009.1315,-24.851
33,0.32,01:04:00.14:01,254.7325,1009.137,-24.873
34,0.33,01:04:00.14:02,254.666,1009.1475,-24.8755
35,0.34,01:04:00.14:03,254.6235,1009.1419999999999,-24.88
36,0.35,01:04:00.15:00,254.5665,1009.1460000000001,-24.8895
37,0.36,01:04:00.15:01,254.532,1009.1465,-24.8985
38,0.37,01:04:00.15:02,254.517,1009.1425,-24.8895
39,0.38,01:04:00.15:03,254.484,1009.1345,-24.905
40,0.39,01:04:00.16:00,254.49400000000003,1009.1375,-24.8995
41,0.4,01:04:00.16:01,254.50900000000001,1009.14,-24.9065
42,0.41,01:04:00.16:02,254.52200000000002,1009.14,-24.923000000000002
43,0.42,01:04:00.16:03,254.588,1009.1445,-24.9185
44,0.43,01:04:00.17:00,254.6355,1009.1545,-24.916999999999998
45,0.44,01:04:00.17:01,254.701,1009.17,-24.9235
46,0.45,01:04:00.17:02,254.77,1009.1835,-24.947
47,0.46,01:04:00.17:03,254.8255,1009.181,-24.9505
48,0.47,01:04:00.18:00,254.87,1009.207,-24.9655
49,0.48,01:04:00.18:01,254.889,1009.2285,-24.954
