Frame,Time,SMPTE,bar_right_knee_x,bar_right_knee_y,bar_right_knee_z
1,0.0,01:04:00.06:01,284.2515,449.6465,-3.148
2,0.01,01:04:00.06:02,284.246,449.6495,-3.2015
3,0.02,01:04:00.06:03,284.254,449.63300000000004,-3.2230000000000003
4,0.03,01:04:00.07:00,284.3945,449.6225,-3.2645
5,0.04,01:04:00.07:01,284.35,449.6505,-3.3455
6,0.05,01:04:00.07:02,284.3475,449.6315,-3.372
7,0.06,01:04:00.07:03,284.33099999999996,449.63,-3.4125
8,0.07,01:04:00.08:00,284.2965,449.6265,-3.437
9,0.08,01:04:00.08:01,284.2815,449.63699999999994,-3.4605
10,0.09,01:04:00.08:02,284.2455,449.61400000000003,-3.4705
11,0.1,01:04:00.08:03,284.20099999999996,449.6305,-3.478
12,0.11,01:04:00.09:00,284.143,449.62800000000004,-3.485
13,0.12,01:04:00.09:01,283.08799999999997,449.846,-2.9455
14,0.13,01:04:00.09:02,283.0305,449.844,-2.9445
15,0.14,01:04:00.09:03,282.976,449.843,-2.9335
16,0.15,01:04:00.10:00,282.913,449.8365,-2.9325
17,0.16,01:04:00.10:01,282.868,449.836,-2.9445
18,0.17,01:04:00.10:02,282.8035,449.8235,-2.946
19,0.18,01:04:00.10:03,282.7655,449.832,-2.951
20,0.19,01:04:00.11:00,282.709,449.8345,-2.9515
21,0.2,01:04:00.11:01,282.655,449.816,-2.951
22,0.21,01:04:00.11:02,282.627,449.827,-2.9425
23,0.22,01:04:00.11:03,282.5855,449.82199999999995,-2.9360000000000004
24,0.23,01:04:00.12:00,282.5485,449.833,-2.9545
25,0.24,01:04:00.12:01,282.464,449.843,-2.9345
26,0.25,01:04:00.12:02,282.405,449.8615,-2.9465
27,0.26,01:04:00.12:03,282.3515,449.8595,-2.9415
28,0.27,01:04:00.13:00,282.302,449.874,-2.9405
29,0.28,01:04:00.13:01,282.245,449.8825,-2.9445
30,0.29,01:04:00.13:02,282.195,449.8845,-2.9210000000000003
31,0.3,01:04:00.13:03,282.159,449.9115,-2.9425
32,0.31,01:04:00.14:00,282.129,449.8985,-2.924
