Frame,Time,SMPTE,bar_left_shoulder_x,bar_left_shoulder_y,bar_left_shoulder_z
1,0.0,01:04:00.06:01,293.858,1408.675,264.473
2,0.01,01:04:00.06:02,293.777,1408.683,264.442
3,0.02,01:04:00.06:03,293.69599999999997,1408.6660000000002,264.406
4,0.03,01:04:00.07:00,293.51099999999997,1408.864,264.349
5,0.04,01:04:00.07:01,293.303,1408.884,264.267
6,0.05,01:04:00.07:02,293.203,1408.9160000000002,264.252
7,0.06,01:04:00.07:03,293.08299999999997,1408.924,264.22700000000003
8,0.07,01:04:00.08:00,293.018,1408.9389999999999,264.21299999999997
9,0.08,01:04:00.08:01,292.932,1409.006,264.182
10,0.09,01:04:00.08:02,292.837,1409.019,264.163
11,0.1,01:04:00.08:03,292.747,1409.0629999999999,264.142
12,0.11,01:04:00.09:00,292.65,1409.102,264.129
13,0.12,01:04:00.09:01,292.51099999999997,1409.121,264.122
14,0.13,01:04:00.09:02,292.408,1409.151,264.087
15,0.14,01:04:00.09:03,292.248,1409.158,264.063
16,0.15,01:04:00.10:00,292.122,1409.1860000000001,264.055
17,0.16,01:04:00.10:01,291.974,1409.203,264.046
18,0.17,01:04:00.10:02,291.845,1409.226,264.04
19,0.18,01:04:00.10:03,291.702,1409.254,264.013
20,0.19,01:04:00.11:00,291.578,1409.274,263.98900000000003
21,0.2,01:04:00.11:01,291.436,1409.3110000000001,263.976
22,0.21,01:04:00.11:02,291.282,1409.35,263.971
23,0.22,01:04:00.11:03,291.107,1409.3970000000002,263.953
24,0.23,01:04:00.12:00,290.95,1409.4289999999999,263.955
25,0.24,01:04:00.12:01,290.778,1409.475,263.949
26,0.25,01:04:00.12:02,290.606,1409.4879999999998,263.95
27,0.26,01:04:00.12:03,290.472,1409.505,263.94599999999997
28,0.27,01:04:00.13:00,290.317,1409.521,263.961
29,0.28,01:04:00.13:01,290.168,1409.479,263.962
30,0.29,01:04:00.13:02,290.039,1409.5629999999999,263.957
31,0.3,01:04:00.13:03,289.895,1409.569,263.986
32,0.31,01:04:00.14:00,289.764,1409.575,263.994
33,0.32,01:04:00.14:01,289.627,1409.576,263.982
34,0.33,01:04:00.14:02,289.471,1409.536,263.98900000000003
35,0.34,01:04:00.14:03,289.33099999999996,1409.608,263.972
36,0.35,01:04:00.15:00,289.159,1409.636,263.983
37,0.36,01:04:00.15:01,288.983,1409.651,263.975
38,0.37,01:04:00.15:02,288.762,1409.6670000000001,263.962
39,0.38,01:04:00.15:03,288.559,1409.649,263.982
40,0.39,01:04:00.16:00,288.309,1409.642,263.995
41,0.4,01:04:00.16:01,288.08099999999996,1409.628,263.999
42,0.41,01:04:00.16:02,287.816,1409.6270000000002,264.003
43,0.42,01:04:00.16:03,287.578,1409.602,264.015
44,0.43,01:04:00.17:00,287.385,1409.5410000000002,264.061
45,0.44,01:04:00.17:01,287.166,1409.5639999999999,264.094
46,0.45,01:04:00.17:02,286.98400000000004,1409.5770000000002,264.158
47,0.46,01:04:00.17:03,286.816,1409.618,264.225
48,0.47,01:04:00.18:00,286.643,1409.671,264.276
49,0.48,01:04:00.18:01,286.492,1409.7620000000002,264.35
50,0.49,01:04:00.18:02,286.366,1409.9289999999999,264.433
51,0.5,01:04:00.18:03,286.232,1410.1660000000002,264.49
52,0.51,01:04:00.19:00,286.139,1410.5379999999998,264.52
53,0.52,01:04:00.19:01,286.014,1410.912,264.545
54,0.53,01:04:00.19:02,285.932,1411.51,264.675
55,0.54,01:04:00.19:03,285.716,1412.0620000000001,264.748
56,0.55,01:04:00.20:00,285.457,1412.7020000000002,264.89
57,0.56,01:04:00.20:01,285.235,1413.25,265.117
58,0.57,01:04:00.20:02,285.045,1413.871,265.443
59,0.58,01:04:00.20:03,284.935,1414.375,265.884
60,0.59,01:04:00.21:00,284.874,1414.764,266.392
61,0.6,01:04:00.21:01,284.807,1415.078,266.991
62,0.61,01:04:00.21:02,284.529,1415.1789999999999,267.577
63,0.62,01:04:00.21:03,284.368,1415.1979999999999,268.33799999999997
64,0.63,01:04:00.22:00,284.191,1414.971,269.111
65,0.64,01:04:00.22:01,284.126,1414.5479999999998,270.121
66,0.65,01:04:00.22:02,284.242,1414.0620000000001,271.295
67,0.66,01:04:00.22:03,284.393,1413.455,272.497
68,0.67,01:04:00.23:00,284.47,1412.851,273.948
69,0.68,01:04:00.23:01,284.512,1412.192,275.54
70,0.69,01:04:00.23:02,284.33299999999997,1411.207,277.036
71,0.7,01:04:00.23:03,284.16900000000004,1410.02,277.781
72,0.71,01:04:00.24:00,283.95,1408.378,277.918
73,0.72,01:04:00.24:01,283.813,1406.953,278.416
74,0.73,01:04:00.24:02,284.091,1405.707,279.28
75,0.74,01:04:00.24:03,284.297,1404.836,280.244
76,0.75,01:04:01.00:00,284.394,1403.973,280.95599999999996
77,0.76,01:04:01.00:01,284.29900000000004,1403.096,281.528
78,0.77,01:04:01.00:02,283.999,1402.415,281.994
79,0.78,01:04:01.00:03,283.974,1401.461,282.691
80,0.79,01:04:01.01:00,283.868,1400.7839999999999,283.319
81,0.8,01:04:01.01:01,283.585,1400.3239999999998,283.932
82,0.81,01:04:01.01:02,283.528,1399.5520000000001,284.725
83,0.82,01:04:01.01:03,283.11,1399.1979999999999,285.323
84,0.83,01:04:01.02:00,282.908,1398.744,285.904
85,0.84,01:04:01.02:01,282.606,1398.24,286.513
86,0.85,01:04:01.02:02,282.305,1397.7379999999998,287.15
87,0.86,01:04:01.02:03,282.092,1397.2320000000002,287.732
88,0.87,01:04:01.03:00,281.92,1396.809,288.246
89,0.88,01:04:01.03:01,281.757,1396.434,288.802
90,0.89,01:04:01.03:02,281.619,1396.124,289.374
91,0.9,01:04:01.03:03,281.453,1395.81,289.883
92,0.91,01:04:01.04:00,281.314,1395.433,290.30400000000003
93,0.92,01:04:01.04:01,281.207,1395.1229999999998,290.702
94,0.93,01:04:01.04:02,281.133,1394.7979999999998,291.103
95,0.94,01:04:01.04:03,281.065,1394.463,291.546
96,0.95,01:04:01.05:00,281.01099999999997,1394.134,292.061
97,0.96,01:04:01.05:01,281.036,1393.8429999999998,292.626
98,0.97,01:04:01.05:02,281.074,1393.559,293.147
99,0.98,01:04:01.05:03,281.072,1393.336,293.695
100,0.99,01:04:01.06:00,281.052,1393.0970000000002,294.192
101,1.0,01:04:01.06:01,280.98400000000004,1392.8129999999999,294.694
102,1.01,01:04:01.06:02,280.824,1392.51,295.195
103,1.02,01:04:01.06:03,280.567,1392.128,295.749
104,1.03,01:04:01.07:00,280.445,1391.7379999999998,296.19
105,1.04,01:04:01.07:01,280.328,1391.4560000000001,296.64
106,1.05,01:04:01.07:02,280.27099999999996,1391.201,297.031
107,1.06,01:04:01.07:03,281.014,1390.3139999999999,296.789
108,1.07,01:04:01.08:00,280.89799999999997,1390.092,297.121
109,1.08,01:04:01.08:01,280.686,1389.88,297.443
