Frame,Time,SMPTE,bar_head_x,bar_head_y,bar_head_z
1,0.0,01:05:13.08:02,215.7516,1631.2456,66.7982
2,0.01,01:05:13.08:03,215.6124,1631.2520000000004,66.7896
3,0.02,01:05:13.09:00,215.4862,1631.249,66.785
4,0.03,01:05:13.09:01,215.3166,1631.4158,66.756
5,0.04,01:05:13.09:02,215.103,1631.402,66.7602
6,0.05,01:05:13.09:03,214.966,1631.3874,66.76899999999999
7,0.06,01:05:13.10:00,214.8338,1631.3984,66.7676
8,0.07,01:05:13.10:01,214.699,1631.3966,66.7806
9,0.08,01:05:13.10:02,214.5672,1631.3824,66.7882
10,0.09,01:05:13.10:03,214.44,1631.3734,66.7946
11,0.1,01:05:13.11:00,214.321,1631.36,66.79899999999999
12,0.11,01:05:13.11:01,214.2124,1631.3570000000002,66.8034
13,0.12,01:05:13.11:02,214.1062,1631.3378,66.7944
14,0.13,01:05:13.11:03,214.003,1631.318,66.7948
15,0.14,01:05:13.12:00,213.9108,1631.294,66.781
16,0.15,01:05:13.12:01,213.8282,1631.267,66.7668
17,0.16,01:05:13.12:02,213.7562,1631.2472,66.7396
18,0.17,01:05:13.12:03,213.686,1631.2232,66.7248
19,0.18,01:05:13.13:00,213.616,1631.203,66.6994
20,0.19,01:05:13.13:01,213.5682,1631.1896,66.6766
21,0.2,01:05:13.13:02,213.5032,1631.1764,66.6458
22,0.21,01:05:13.13:03,213.448,1631.1742,66.6222
23,0.22,01:05:13.14:00,213.396,1631.1729999999998,66.5986
24,0.23,01:05:13.14:01,213.3442,1631.181,66.585
25,0.24,01:05:13.14:02,213.2842,1631.1806,66.5696
26,0.25,01:05:13.14:03,213.2292,1631.1838,66.5722
27,0.26,01:05:13.15:00,213.1704,1631.18,66.5664
28,0.27,01:05:13.15:01,213.1172,1631.1872,66.574
29,0.28,01:05:13.15:02,213.052,1631.1812,66.5948
30,0.29,01:05:13.15:03,212.9772,1631.178,66.6
31,0.3,01:05:13.16:00,212.9116,1631.1846,66.616
32,0.31,01:05:13.16:01,212.829,1631.1742,66.6262
33,0.32,01:05:13.16:02,212.7638,1631.1764,66.6472
34,0.33,01:05:13.16:03,212.676,1631.1718,66.6556
35,0.34,01:05:13.17:00,212.6096,1631.167,66.6702
36,0.35,01:05:13.17:01,212.5262,1631.1574,66.6794
37,0.36,01:05:13.17:02,212.4596,1631.1562,66.68
38,0.37,01:05:13.17:03,212.383,1631.1524,66.6774
39,0.38,01:05:13.18:00,212.3162,1631.1452,66.6682
40,0.39,01:05:13.18:01,212.2472,1631.1386,66.65899999999999
41,0.4,01:05:13.18:02,212.1864,1631.1304,66.6354
42,0.41,01:05:13.18:03,212.1106,1631.1346,66.6132
43,0.42,01:05:13.19:00,212.0482,1631.1214,66.5786
44,0.43,01:05:13.19:01,211.9692,1631.1238,66.5518
45,0.44,01:05:13.19:02,211.8996,1631.1164,66.505
46,0.45,01:05:13.19:03,211.8134,1631.11,66.4544
47,0.46,01:05:13.20:00,211.7274,1631.1076,66.4104
48,0.47,01:05:13.20:01,211.6526,1631.0994,66.3664
49,0.48,01:05:13.20:02,211.5556,1631.0970000000002,66.319
50,0.49,01:05:13.20:03,211.474,1631.0866,66.275
51,0.5,01:05:13.21:00,211.3816,1631.0834,66.2308
52,0.51,01:05:13.21:01,211.2864,1631.0736,66.1866
53,0.52,01:05:13.21:02,211.1904,1631.0694,66.142
54,0.53,01:05:13.21:03,211.1042,1631.0584,66.1098
55,0.54,01:05:13.22:00,211.0178,1631.0476,66.0762
56,0.55,01:05:13.22:01,210.9404,1631.0372,66.0456
57,0.56,01:05:13.22:02,210.867,1631.023,66.0182
58,0.57,01:05:13.22:03,210.7974,1631.0164,65.9822
59,0.58,01:05:13.23:00,210.733,1631.009,65.9548
60,0.59,01:05:13.23:01,210.674,1631.0022,65.9268
61,0.6,01:05:13.23:02,210.6158,1630.996,65.9002
62,0.61,01:05:13.23:03,210.5682,1630.9954,65.8762
63,0.62,01:05:13.24:00,210.5228,1630.9962,65.8562
64,0.63,01:05:13.24:01,210.482,1631.0008,65.8262
65,0.64,01:05:13.24:02,210.4388,1631.0026,65.8012
66,0.65,01:05:13.24:03,210.4028,1631.01,65.7896
67,0.66,01:05:13.24:04,210.3844,1631.0166,65.7732
68,0.67,01:05:14.00:00,210.3432,1631.0242,65.767
69,0.68,01:05:14.00:01,210.323,1631.0394,65.7654
70,0.69,01:05:14.00:02,210.2934,1631.0542,65.7576
71,0.7,01:05:14.00:03,210.2642,1631.0554,65.7676
72,0.71,01:05:14.01:00,210.2412,1631.0516,65.7804
73,0.72,01:05:14.01:01,210.2018,1631.0542,65.7876
74,0.73,01:05:14.01:02,210.183,1631.0548,65.7924
75,0.74,01:05:14.01:03,210.1418,1631.0674,65.7942
76,0.75,01:05:14.02:00,210.1018,1631.0686,65.7942
77,0.76,01:05:14.02:01,210.052,1631.0794,65.7886
78,0.77,01:05:14.02:02,210.0018,1631.0942,65.7908
79,0.78,01:05:14.02:03,209.9572,1631.109,65.78399999999999
80,0.79,01:05:14.03:00,209.9162,1631.1152,65.786
81,0.8,01:05:14.03:01,209.8598,1631.1332,65.7846
82,0.81,01:05:14.03:02,209.8208,1631.1504,65.7896
83,0.82,01:05:14.03:03,209.784,1631.1746,65.8044
84,0.83,01:05:14.04:00,209.7498,1631.1948,65.8052
85,0.84,01:05:14.04:01,209.717,1631.2112,65.8172
86,0.85,01:05:14.04:02,209.7004,1631.2388,65.8248
87,0.86,01:05:14.04:03,209.6766,1631.246,65.8252
88,0.87,01:05:14.05:00,209.6586,1631.2668,65.8286
89,0.88,01:05:14.05:01,209.6432,1631.285,65.809
90,0.89,01:05:14.05:02,209.6306,1631.2958,65.7724
91,0.9,01:05:14.05:03,209.6238,1631.3114,65.7032
92,0.91,01:05:14.06:00,209.634,1631.3256,65.5992
93,0.92,01:05:14.06:01,209.6304,1631.3352,65.4594
94,0.93,01:05:14.06:02,209.6486,1631.3588,65.30199999999999
95,0.94,01:05:14.06:03,209.667,1631.3702,65.1132
96,0.95,01:05:14.07:00,209.6892,1631.4026,64.9196
97,0.96,01:05:14.07:01,209.7268,1631.4046,64.7078
98,0.97,01:05:14.07:02,209.7718,1631.4142,64.503
99,0.98,01:05:14.07:03,209.8078,1631.4076,64.3218
100,0.99,01:05:14.08:00,209.86900000000003,1631.3906,64.1326
101,1.0,01:05:14.08:01,209.9404,1631.3688,63.9642
102,1.01,01:05:14.08:02,210.0096,1631.3428,63.7956
103,1.02,01:05:14.08:03,210.086,1631.3298,63.6538
104,1.03,01:05:14.09:00,210.161,1631.3176,63.5144
105,1.04,01:05:14.09:01,210.2452,1631.3044,63.387
106,1.05,01:05:14.09:02,210.3214,1631.2624,63.2598
107,1.06,01:05:14.09:03,210.4134,1631.198,63.1456
108,1.07,01:05:14.10:00,210.5174,1631.1156,63.032
109,1.08,01:05:14.10:01,210.6128,1631.0382,62.92
110,1.09,01:05:14.10:02,210.71,1630.971,62.803
111,1.1,01:05:14.10:03,210.813,1630.92,62.708
112,1.11,01:05:14.11:00,210.9146,1630.8629999999996,62.6296
113,1.12,01:05:14.11:01,211.0214,1630.8052,62.578
114,1.13,01:05:14.11:02,211.1442,1630.7362,62.5718
115,1.14,01:05:14.11:03,211.258,1630.69,62.5766
116,1.15,01:05:14.12:00,211.3766,1630.6578,62.6414
117,1.16,01:05:14.12:01,211.505,1630.6478,62.7234
118,1.17,01:05:14.12:02,211.6388,1630.6506,62.8466
