Frame,Time,SMPTE,bar_left_wrist_x,bar_left_wrist_y,bar_left_wrist_z
1,0.0,01:05:13.08:02,262.23400000000004,1331.8729999999998,737.9680000000001
2,0.01,01:05:13.08:03,262.2255,1331.88,737.9855
3,0.02,01:05:13.09:00,262.203,1331.8705,738.0
4,0.03,01:05:13.09:01,262.4175,1332.2085,738.6665
5,0.04,01:05:13.09:02,262.60900000000004,1332.2485,738.3835
6,0.05,01:05:13.09:03,262.5485,1332.338,738.3910000000001
7,0.06,01:05:13.10:00,262.5465,1332.3595,738.3625
8,0.07,01:05:13.10:01,262.5265,1332.4185,738.4185
9,0.08,01:05:13.10:02,262.497,1332.4555,738.45
10,0.09,01:05:13.10:03,262.486,1332.4585,738.415
11,0.1,01:05:13.11:00,262.483,1332.491,738.408
12,0.11,01:05:13.11:01,262.45,1332.53,738.4165
13,0.12,01:05:13.11:02,262.4465,1332.5585,738.4
14,0.13,01:05:13.11:03,262.4025,1332.6065,738.421
15,0.14,01:05:13.12:00,262.4045,1332.6445,738.3765
16,0.15,01:05:13.12:01,262.3765,1332.6955,738.42
17,0.16,01:05:13.12:02,262.3335,1332.7515,738.4015
18,0.17,01:05:13.12:03,262.305,1332.826,738.4255
19,0.18,01:05:13.13:00,262.265,1332.8965,738.4355
20,0.19,01:05:13.13:01,262.2185,1332.9825,738.435
21,0.2,01:05:13.13:02,262.1785,1333.0585,738.4425
22,0.21,01:05:13.13:03,262.1105,1333.1729999999998,738.475
23,0.22,01:05:13.14:00,262.052,1333.245,738.438
24,0.23,01:05:13.14:01,261.993,1333.305,738.418
25,0.24,01:05:13.14:02,261.9065,1333.4075,738.4065
26,0.25,01:05:13.14:03,261.824,1333.5035,738.4075
27,0.26,01:05:13.15:00,261.748,1333.5620000000001,738.352
28,0.27,01:05:13.15:01,261.675,1333.6645,738.301
29,0.28,01:05:13.15:02,261.578,1333.747,738.2765
30,0.29,01:05:13.15:03,261.4925,1333.8425,738.2639999999999
31,0.3,01:05:13.16:00,261.4335,1333.885,738.209
32,0.31,01:05:13.16:01,261.368,1333.967,738.1625
33,0.32,01:05:13.16:02,261.3185,1334.0465,738.1075
34,0.33,01:05:13.16:03,261.26,1334.1035,738.0555
35,0.34,01:05:13.17:00,261.183,1334.2120000000002,738.039
36,0.35,01:05:13.17:01,261.1545,1334.286,737.977
37,0.36,01:05:13.17:02,261.113,1334.364,737.922
38,0.37,01:05:13.17:03,261.082,1334.4389999999999,737.8889999999999
39,0.38,01:05:13.18:00,261.0615,1334.5135,737.8285
40,0.39,01:05:13.18:01,261.0665,1334.5825,737.7815
41,0.4,01:05:13.18:02,261.0715,1334.6195,737.7330000000001
42,0.41,01:05:13.18:03,261.089,1334.6535,737.674
43,0.42,01:05:13.19:00,261.0885,1334.6615,737.6215
44,0.43,01:05:13.19:01,260.89599999999996,1334.5165,737.3255
45,0.44,01:05:13.19:02,261.106,1334.6470000000002,737.5615
46,0.45,01:05:13.19:03,261.129,1334.589,737.4945
47,0.46,01:05:13.20:00,261.1345,1334.5005,737.433
48,0.47,01:05:13.20:01,261.14,1334.4165,737.405
49,0.48,01:05:13.20:02,261.151,1334.3075,737.3860000000001
50,0.49,01:05:13.20:03,261.1755,1334.18,737.342
51,0.5,01:05:13.21:00,261.17900000000003,1334.02,737.2925
52,0.51,01:05:13.21:01,261.21299999999997,1333.8705,737.255
53,0.52,01:05:13.21:02,261.249,1333.685,737.1835
54,0.53,01:05:13.21:03,261.3175,1333.4875,737.0885
55,0.54,01:05:13.22:00,261.3545,1333.2965,737.063
56,0.55,01:05:13.22:01,261.4135,1333.0935,737.0275
57,0.56,01:05:13.22:02,261.485,1332.945,737.0535
58,0.57,01:05:13.22:03,261.545,1332.756,736.9889999999999
59,0.58,01:05:13.23:00,261.5945,1332.6155,736.9745
60,0.59,01:05:13.23:01,261.6705,1332.453,736.913
61,0.6,01:05:13.23:02,261.7265,1332.3375,736.9295
62,0.61,01:05:13.23:03,261.801,1332.2185,736.9065
63,0.62,01:05:13.24:00,261.8635,1332.1265,736.8865
64,0.63,01:05:13.24:01,261.931,1332.0620000000001,736.91
65,0.64,01:05:13.24:02,261.9965,1331.99,736.8835
66,0.65,01:05:13.24:03,262.055,1331.967,736.8945
67,0.66,01:05:13.24:04,262.121,1331.9435,736.841
68,0.67,01:05:14.00:00,262.1685,1331.964,736.8655
69,0.68,01:05:14.00:01,262.203,1331.9565,736.847
70,0.69,01:05:14.00:02,262.241,1331.967,736.814
71,0.7,01:05:14.00:03,262.27099999999996,1332.005,736.798
72,0.71,01:05:14.01:00,262.264,1332.046,736.7745
73,0.72,01:05:14.01:01,262.2825,1332.1095,736.7755
74,0.73,01:05:14.01:02,262.2865,1332.1775,736.7539999999999
75,0.74,01:05:14.01:03,262.26,1332.235,736.763
76,0.75,01:05:14.02:00,262.2705,1332.28,736.7265
77,0.76,01:05:14.02:01,262.232,1332.3495,736.7385
78,0.77,01:05:14.02:02,262.1945,1332.391,736.7325
79,0.78,01:05:14.02:03,262.153,1332.432,736.7355
80,0.79,01:05:14.03:00,262.04200000000003,1332.4389999999999,736.7280000000001
81,0.8,01:05:14.03:01,261.931,1332.3705,736.695
82,0.81,01:05:14.03:02,261.777,1332.223,736.67
83,0.82,01:05:14.03:03,261.5845,1331.9655,736.6439999999999
84,0.83,01:05:14.04:00,261.3185,1331.5520000000001,736.635
85,0.84,01:05:14.04:01,260.9915,1330.8895,736.65
86,0.85,01:05:14.04:02,260.5185,1329.879,736.5930000000001
87,0.86,01:05:14.04:03,259.9605,1328.378,736.5275
88,0.87,01:05:14.05:00,259.23,1326.2665,736.3505
89,0.88,01:05:14.05:01,258.1335,1323.3535,735.9060000000001
90,0.89,01:05:14.05:02,257.0245,1319.7195,735.8345
91,0.9,01:05:14.05:03,255.84,1315.4185,735.4915
92,0.91,01:05:14.06:00,254.6615,1310.2935,734.9125
93,0.92,01:05:14.06:01,253.4525,1304.3955,734.187
94,0.93,01:05:14.06:02,252.18,1297.777,733.345
95,0.94,01:05:14.06:03,251.03400000000002,1290.5715,732.6125
96,0.95,01:05:14.07:00,249.5775,1282.147,730.5625
97,0.96,01:05:14.07:01,248.2045,1273.295,729.5795
98,0.97,01:05:14.07:02,246.8445,1263.475,727.4265
99,0.98,01:05:14.07:03,245.4685,1253.213,725.2535
100,0.99,01:05:14.08:00,244.3015,1242.3305,722.932
101,1.0,01:05:14.08:01,242.763,1231.032,720.2775
102,1.01,01:05:14.08:02,241.305,1219.0510000000002,716.9715
103,1.02,01:05:14.08:03,239.94400000000002,1206.556,713.067
104,1.03,01:05:14.09:00,238.597,1193.5919999999999,708.669
105,1.04,01:05:14.09:01,237.2835,1180.1625,703.816
106,1.05,01:05:14.09:02,236.0645,1166.3515,698.4195
107,1.06,01:05:14.09:03,235.0045,1152.2345,692.421
108,1.07,01:05:14.10:00,233.9915,1138.1885,686.0265
109,1.08,01:05:14.10:01,233.1115,1124.2315,679.2489999999999
110,1.09,01:05:14.10:02,232.2155,1110.4635,672.183
111,1.1,01:05:14.10:03,231.282,1097.0555,664.918
112,1.11,01:05:14.11:00,230.5195,1083.8805,657.262
113,1.12,01:05:14.11:01,229.6765,1071.1425,649.311
114,1.13,01:05:14.11:02,228.50799999999998,1059.1345,641.876
115,1.14,01:05:14.11:03,227.5055,1047.3239999999998,633.495
116,1.15,01:05:14.12:00,226.7915,1035.8875,624.805
117,1.16,01:05:14.12:01,226.0965,1025.0919999999999,616.2195
118,1.17,01:05:14.12:02,225.7505,1014.3995,607.0475
119,1.18,01:05:14.12:03,225.533,1004.23,597.8325
120,1.19,01:05:14.13:00,224.976,994.437,588.5495
121,1.2,01:05:14.13:01,224.40200000000002,985.3565,579.4385
122,1.21,01:05:14.13:02,223.8355,976.8495,570.471
123,1.22,01:05:14.13:03,223.343,968.8415,561.6075
124,1.23,01:05:14.14:00,222.976,961.308,552.8825
125,1.24,01:05:14.14:01,222.4335,954.362,544.476
126,1.25,01:05:14.14:02,221.9255,947.8510000000001,536.163
127,1.26,01:05:14.14:03,221.437,941.6995,527.8915
128,1.27,01:05:14.15:00,220.928,935.9485,519.7595
129,1.28,01:05:14.15:01,220.37400000000002,930.6735,511.9405
130,1.29,01:05:14.15:02,219.903,925.707,504.255
131,1.3,01:05:14.15:03,219.4055,921.1305,496.9245
132,1.31,01:05:14.16:00,218.907,916.8265,489.8925
133,1.32,01:05:14.16:01,218.3765,912.82,483.065
134,1.33,01:05:14.16:02,217.885,909.086,476.3435
135,1.34,01:05:14.17:00,217.407,905.5880000000001,469.936
136,1.35,01:05:14.17:01,216.7165,902.3095,463.86
137,1.36,01:05:14.17:02,216.2145,899.3045,457.9055
138,1.37,01:05:14.17:03,215.7,896.5075,452.2105
139,1.38,01:05:14.18:00,215.0875,893.985,446.82199999999995
140,1.39,01:05:14.18:01,213.972,891.7055,441.8315
141,1.4,01:05:14.18:02,213.463,889.4795,436.798
142,1.41,01:05:14.18:03,212.899,887.5189999999999,431.9285
143,1.42,01:05:14.19:00,212.30200000000002,885.697,427.306
