Frame,Time,SMPTE,bar_right_elbow_x,bar_right_elbow_y,bar_right_elbow_z
1,0.0,01:05:13.08:02,258.471,1314.5415,-386.986
2,0.01,01:05:13.08:03,258.41700000000003,1314.5955,-386.9425
3,0.02,01:05:13.09:00,258.3825,1314.648,-386.9205
4,0.03,01:05:13.09:01,258.466,1314.6470000000002,-386.915
5,0.04,01:05:13.09:02,258.481,1314.6615,-386.86300000000006
6,0.05,01:05:13.09:03,258.427,1314.682,-386.8395
7,0.06,01:05:13.10:00,258.382,1314.6925,-386.8215
8,0.07,01:05:13.10:01,258.32,1314.7395,-386.8135
9,0.08,01:05:13.10:02,258.2765,1314.756,-386.811
10,0.09,01:05:13.10:03,258.2355,1314.783,-386.8265
11,0.1,01:05:13.11:00,258.195,1314.7939999999999,-386.8115
12,0.11,01:05:13.11:01,258.17400000000004,1314.795,-386.8145
13,0.12,01:05:13.11:02,258.137,1314.7925,-386.8235
14,0.13,01:05:13.11:03,258.115,1314.807,-386.8265
15,0.14,01:05:13.12:00,258.079,1314.819,-386.8285
16,0.15,01:05:13.12:01,258.019,1314.8310000000001,-386.832
17,0.16,01:05:13.12:02,258.022,1315.1055,-386.7395
18,0.17,01:05:13.12:03,257.966,1315.118,-386.74
19,0.18,01:05:13.13:00,257.9085,1315.116,-386.76300000000003
20,0.19,01:05:13.13:01,257.856,1315.1145,-386.7805
21,0.2,01:05:13.13:02,257.785,1315.115,-386.8165
22,0.21,01:05:13.13:03,257.7655,1315.131,-386.83
23,0.22,01:05:13.14:00,257.726,1315.1229999999998,-386.8405
24,0.23,01:05:13.14:01,257.687,1315.1295,-386.85
25,0.24,01:05:13.14:02,257.631,1315.1665,-386.8795
26,0.25,01:05:13.14:03,257.5745,1315.1989999999998,-386.9075
27,0.26,01:05:13.15:00,257.499,1315.231,-386.9395
28,0.27,01:05:13.15:01,257.402,1315.2939999999999,-386.9695
29,0.28,01:05:13.15:02,257.317,1315.3229999999999,-387.022
30,0.29,01:05:13.15:03,257.2175,1315.3485,-387.079
31,0.3,01:05:13.16:00,257.1335,1315.411,-387.135
32,0.31,01:05:13.16:01,257.0515,1315.444,-387.1915
33,0.32,01:05:13.16:02,257.0075,1315.5095,-387.265
34,0.33,01:05:13.16:03,256.942,1315.59,-387.32599999999996
35,0.34,01:05:13.17:00,256.8065,1315.3975,-387.499
36,0.35,01:05:13.17:01,256.76599999999996,1315.469,-387.5835
37,0.36,01:05:13.17:02,256.702,1315.5425,-387.6515
