Frame,Time,SMPTE,bar_right_foot_x,bar_right_foot_y,bar_right_foot_z
1,0.0,01:05:13.08:02,233.3597,10.135,-21.0637
2,0.01,01:05:13.08:03,233.3527,10.1387,-21.0547
3,0.02,01:05:13.09:00,233.3537,10.1457,-21.059
4,0.03,01:05:13.09:01,233.4943,9.7203,-21.1197
5,0.04,01:05:13.09:02,233.455,9.6167,-21.1887
6,0.05,01:05:13.09:03,233.465,9.6647,-21.1973
7,0.06,01:05:13.10:00,233.4633,9.6597,-21.1903
8,0.07,01:05:13.10:01,233.333,9.7747,-21.467
9,0.08,01:05:13.10:02,233.3317,9.7743,-21.4583
10,0.09,01:05:13.10:03,233.44799999999998,9.6763,-21.2163
11,0.1,01:05:13.11:00,233.4393,9.7083,-21.2553
12,0.11,01:05:13.11:01,233.4423,9.6683,-21.2077
13,0.12,01:05:13.11:02,233.3227,9.7793,-21.4563
14,0.13,01:05:13.11:03,233.329,9.7847,-21.4447
15,0.14,01:05:13.12:00,233.429,9.6783,-21.2317
16,0.15,01:05:13.12:01,233.4217,9.7153,-21.2667
17,0.16,01:05:13.12:02,233.4313,9.675,-21.203000000000003
18,0.17,01:05:13.12:03,233.4353,9.6727,-21.2097
19,0.18,01:05:13.13:00,233.44400000000002,9.67,-21.1987
20,0.19,01:05:13.13:01,233.4377,9.6653,-21.191
21,0.2,01:05:13.13:02,233.4413,9.6637,-21.2
22,0.21,01:05:13.13:03,233.44,9.6647,-21.2063
23,0.22,01:05:13.14:00,233.4343,9.6743,-21.1993
24,0.23,01:05:13.14:01,233.43,9.675,-21.2087
25,0.24,01:05:13.14:02,233.4497,9.6113,-21.146
26,0.25,01:05:13.14:03,233.449,9.6093,-21.1343
27,0.26,01:05:13.15:00,233.4347,9.6083,-21.159000000000002
28,0.27,01:05:13.15:01,233.437,9.668,-21.2067
29,0.28,01:05:13.15:02,233.4257,9.668,-21.2157
30,0.29,01:05:13.15:03,233.4277,9.672,-21.2153
31,0.3,01:05:13.16:00,233.4327,9.662,-21.2127
32,0.31,01:05:13.16:01,233.4397,9.663,-21.2153
33,0.32,01:05:13.16:02,233.4353,9.6713,-21.225
34,0.33,01:05:13.16:03,233.421,9.6647,-21.2247
35,0.34,01:05:13.17:00,233.4313,9.6647,-21.2193
36,0.35,01:05:13.17:01,233.4303,9.6597,-21.2183
37,0.36,01:05:13.17:02,233.419,9.67,-21.2207
38,0.37,01:05:13.17:03,233.4317,9.6717,-21.2167
39,0.38,01:05:13.18:00,233.4257,9.6643,-21.234
40,0.39,01:05:13.18:01,233.437,9.663,-21.232
41,0.4,01:05:13.18:02,233.4227,9.6563,-21.2347
42,0.41,01:05:13.18:03,233.4277,9.6567,-21.2473
43,0.42,01:05:13.19:00,233.4313,9.663,-21.238000000000003
44,0.43,01:05:13.19:01,233.4333,9.662,-21.248
45,0.44,01:05:13.19:02,233.42700000000002,9.651,-21.2497
46,0.45,01:05:13.19:03,233.4393,9.6563,-21.2503
47,0.46,01:05:13.20:00,233.4417,9.6547,-21.2473
48,0.47,01:05:13.20:01,233.4393,9.658,-21.248
49,0.48,01:05:13.20:02,233.438,9.6447,-21.2487
50,0.49,01:05:13.20:03,233.4323,9.6457,-21.2477
51,0.5,01:05:13.21:00,233.4427,9.6577,-21.2527
52,0.51,01:05:13.21:01,233.4443,9.6427,-21.2643
53,0.52,01:05:13.21:02,233.4313,9.6527,-21.267
54,0.53,01:05:13.21:03,233.4337,9.6513,-21.2723
55,0.54,01:05:13.22:00,233.4427,9.652000000000001,-21.274
56,0.55,01:05:13.22:01,233.4307,9.6523,-21.2777
57,0.56,01:05:13.22:02,233.4407,9.6443,-21.289
58,0.57,01:05:13.22:03,233.4393,9.6523,-21.2817
59,0.58,01:05:13.23:00,233.4277,9.655,-21.2917
60,0.59,01:05:13.23:01,233.4347,9.6487,-21.29
61,0.6,01:05:13.23:02,233.4327,9.6523,-21.2997
62,0.61,01:05:13.23:03,233.4307,9.6493,-21.3033
63,0.62,01:05:13.24:00,233.4363,9.6447,-21.301
64,0.63,01:05:13.24:01,233.4273,9.6443,-21.3033
65,0.64,01:05:13.24:02,233.4293,9.647,-21.2967
66,0.65,01:05:13.24:03,233.4337,9.6493,-21.3113
67,0.66,01:05:13.24:04,233.4167,9.654,-21.3143
68,0.67,01:05:14.00:00,233.4213,9.6493,-21.303
69,0.68,01:05:14.00:01,233.4243,9.642999999999999,-21.305999999999997
70,0.69,01:05:14.00:02,233.4227,9.6493,-21.3137
71,0.7,01:05:14.00:03,233.4187,9.6393,-21.3117
72,0.71,01:05:14.01:00,233.4123,9.6457,-21.3193
73,0.72,01:05:14.01:01,233.4187,9.6403,-21.3197
74,0.73,01:05:14.01:02,233.4087,9.6457,-21.323
75,0.74,01:05:14.01:03,233.407,9.6333,-21.3173
