Frame,Time,SMPTE,bar_right_shoulder_x,bar_right_shoulder_y,bar_right_shoulder_z
1,0.0,01:05:13.08:02,264.865,1415.098,-84.902
2,0.01,01:05:13.08:03,264.767,1415.111,-84.87799999999999
3,0.02,01:05:13.09:00,264.677,1415.115,-84.85700000000001
4,0.03,01:05:13.09:01,265.063,1415.693,-85.103
5,0.04,01:05:13.09:02,264.942,1415.744,-85.064
6,0.05,01:05:13.09:03,264.85400000000004,1415.729,-85.025
7,0.06,01:05:13.10:00,264.8,1415.745,-85.01700000000001
8,0.07,01:05:13.10:01,264.745,1415.743,-85.0
9,0.08,01:05:13.10:02,264.692,1415.7479999999998,-84.984
10,0.09,01:05:13.10:03,264.632,1415.761,-84.99700000000001
11,0.1,01:05:13.11:00,264.585,1415.773,-84.98200000000001
12,0.11,01:05:13.11:01,264.539,1415.786,-84.98299999999999
13,0.12,01:05:13.11:02,264.46299999999997,1415.7920000000001,-84.986
14,0.13,01:05:13.11:03,264.407,1415.779,-84.98200000000001
15,0.14,01:05:13.12:00,264.36,1415.7920000000001,-84.976
16,0.15,01:05:13.12:01,264.309,1415.793,-84.975
17,0.16,01:05:13.12:02,264.251,1415.797,-84.985
18,0.17,01:05:13.12:03,264.191,1415.8039999999999,-84.98299999999999
19,0.18,01:05:13.13:00,264.145,1415.8110000000001,-84.99700000000001
20,0.19,01:05:13.13:01,264.079,1415.806,-85.016
21,0.2,01:05:13.13:02,264.039,1415.83,-85.038
22,0.21,01:05:13.13:03,263.967,1415.8329999999999,-85.065
23,0.22,01:05:13.14:00,263.914,1415.848,-85.06700000000001
24,0.23,01:05:13.14:01,263.83299999999997,1415.898,-85.10700000000001
25,0.24,01:05:13.14:02,263.73400000000004,1415.9370000000001,-85.10700000000001
26,0.25,01:05:13.14:03,263.651,1415.9720000000002,-85.141
27,0.26,01:05:13.15:00,263.582,1416.014,-85.17399999999999
28,0.27,01:05:13.15:01,263.51099999999997,1416.07,-85.199
29,0.28,01:05:13.15:02,263.439,1416.0839999999998,-85.23899999999999
30,0.29,01:05:13.15:03,263.39,1416.125,-85.287
31,0.3,01:05:13.16:00,263.336,1416.149,-85.33200000000001
32,0.31,01:05:13.16:01,263.306,1416.172,-85.38600000000001
33,0.32,01:05:13.16:02,263.27299999999997,1416.1989999999998,-85.426
34,0.33,01:05:13.16:03,263.214,1416.227,-85.479
35,0.34,01:05:13.17:00,263.205,1416.2320000000002,-85.527
36,0.35,01:05:13.17:01,263.154,1416.263,-85.595
37,0.36,01:05:13.17:02,263.126,1416.2939999999999,-85.64
38,0.37,01:05:13.17:03,263.1,1416.3210000000001,-85.70100000000001
39,0.38,01:05:13.18:00,263.062,1416.349,-85.766
40,0.39,01:05:13.18:01,263.052,1416.3770000000002,-85.806
41,0.4,01:05:13.18:02,263.007,1416.401,-85.87700000000001
42,0.41,01:05:13.18:03,262.973,1416.4370000000001,-85.929
43,0.42,01:05:13.19:00,262.91900000000004,1416.46,-85.984
44,0.43,01:05:13.19:01,262.83799999999997,1416.4979999999998,-86.02799999999999
45,0.44,01:05:13.19:02,262.781,1416.5339999999999,-86.086
46,0.45,01:05:13.19:03,262.691,1416.586,-86.115
47,0.46,01:05:13.20:00,262.615,1416.608,-86.15799999999999
48,0.47,01:05:13.20:01,262.531,1416.665,-86.209
49,0.48,01:05:13.20:02,262.45599999999996,1416.6970000000001,-86.264
50,0.49,01:05:13.20:03,262.394,1416.723,-86.296
51,0.5,01:05:13.21:00,262.345,1416.766,-86.34200000000001
52,0.51,01:05:13.21:01,262.309,1416.7920000000001,-86.38
53,0.52,01:05:13.21:02,262.221,1416.828,-86.40700000000001
54,0.53,01:05:13.21:03,262.17900000000003,1416.852,-86.446
55,0.54,01:05:13.22:00,262.113,1416.872,-86.471
56,0.55,01:05:13.22:01,262.036,1416.896,-86.499
57,0.56,01:05:13.22:02,261.991,1416.881,-86.539
58,0.57,01:05:13.22:03,261.92400000000004,1416.924,-86.56
59,0.58,01:05:13.23:00,261.861,1416.9270000000001,-86.57600000000001
60,0.59,01:05:13.23:01,261.805,1416.933,-86.601
61,0.6,01:05:13.23:02,261.742,1416.9520000000002,-86.61399999999999
62,0.61,01:05:13.23:03,261.67400000000004,1416.969,-86.615
63,0.62,01:05:13.24:00,261.61,1417.0079999999998,-86.62200000000001
64,0.63,01:05:13.24:01,261.546,1417.026,-86.63799999999999
65,0.64,01:05:13.24:02,261.476,1417.059,-86.65799999999999
66,0.65,01:05:13.24:03,261.375,1417.089,-86.68
67,0.66,01:05:13.24:04,261.318,1417.115,-86.682
68,0.67,01:05:14.00:00,261.226,1417.138,-86.689
69,0.68,01:05:14.00:01,261.14799999999997,1417.164,-86.721
70,0.69,01:05:14.00:02,261.05400000000003,1417.174,-86.726
71,0.7,01:05:14.00:03,260.952,1417.181,-86.74700000000001
72,0.71,01:05:14.01:00,260.865,1417.1870000000001,-86.76700000000001
73,0.72,01:05:14.01:01,260.776,1417.18,-86.788
74,0.73,01:05:14.01:02,260.69599999999997,1417.1670000000001,-86.80799999999999
75,0.74,01:05:14.01:03,260.595,1417.1689999999999,-86.839
76,0.75,01:05:14.02:00,260.51,1417.1860000000001,-86.846
77,0.76,01:05:14.02:01,260.436,1417.217,-86.861
78,0.77,01:05:14.02:02,260.356,1417.249,-86.874
79,0.78,01:05:14.02:03,260.314,1417.3139999999999,-86.896
80,0.79,01:05:14.03:00,260.235,1417.368,-86.92
81,0.8,01:05:14.03:01,260.188,1417.421,-86.946
82,0.81,01:05:14.03:02,260.124,1417.469,-86.985
83,0.82,01:05:14.03:03,260.07,1417.5339999999999,-87.025
84,0.83,01:05:14.04:00,260.012,1417.629,-87.04799999999999
85,0.84,01:05:14.04:01,260.028,1417.7979999999998,-87.073
86,0.85,01:05:14.04:02,260.025,1417.964,-87.124
87,0.86,01:05:14.04:03,260.04400000000004,1418.089,-87.206
88,0.87,01:05:14.05:00,259.98,1418.109,-87.36
89,0.88,01:05:14.05:01,259.808,1417.984,-87.565
90,0.89,01:05:14.05:02,259.59,1417.815,-87.785
91,0.9,01:05:14.05:03,259.328,1417.6229999999998,-88.042
92,0.91,01:05:14.06:00,259.07,1417.401,-88.414
93,0.92,01:05:14.06:01,258.76,1417.164,-88.795
94,0.93,01:05:14.06:02,258.41200000000003,1416.9479999999999,-89.215
95,0.94,01:05:14.06:03,258.118,1416.764,-89.671
96,0.95,01:05:14.07:00,257.911,1416.4720000000002,-90.193
97,0.96,01:05:14.07:01,257.631,1415.9089999999999,-90.87100000000001
98,0.97,01:05:14.07:02,257.39799999999997,1415.28,-91.47200000000001
99,0.98,01:05:14.07:03,257.19,1414.537,-92.102
100,0.99,01:05:14.08:00,256.95099999999996,1413.744,-92.74700000000001
101,1.0,01:05:14.08:01,256.84,1412.855,-93.35700000000001
102,1.01,01:05:14.08:02,256.793,1412.007,-93.934
103,1.02,01:05:14.08:03,256.75,1411.04,-94.545
104,1.03,01:05:14.09:00,256.762,1409.9160000000002,-95.04
105,1.04,01:05:14.09:01,256.76099999999997,1408.724,-95.48200000000001
