Frame,Time,SMPTE,bar_left_ankle_x,bar_left_ankle_y,bar_left_ankle_z
1,0.0,01:05:13.08:02,281.955,43.208999999999996,234.96099999999998
2,0.01,01:05:13.08:03,281.952,43.24,234.96099999999998
3,0.02,01:05:13.09:00,281.95599999999996,43.236999999999995,234.987
4,0.03,01:05:13.09:01,282.409,43.847,235.653
5,0.04,01:05:13.09:02,282.127,43.845,235.512
6,0.05,01:05:13.09:03,282.069,43.858999999999995,235.55599999999998
7,0.06,01:05:13.10:00,282.061,43.861000000000004,235.537
8,0.07,01:05:13.10:01,282.052,43.864,235.514
9,0.08,01:05:13.10:02,282.036,43.855,235.54
10,0.09,01:05:13.10:03,282.031,43.872,235.567
11,0.1,01:05:13.11:00,282.04,43.847,235.516
12,0.11,01:05:13.11:01,282.025,43.861000000000004,235.516
13,0.12,01:05:13.11:02,282.03700000000003,43.848,235.512
14,0.13,01:05:13.11:03,282.032,43.885,235.52599999999998
15,0.14,01:05:13.12:00,282.015,43.83,235.521
16,0.15,01:05:13.12:01,282.022,43.865,235.516
17,0.16,01:05:13.12:02,282.024,43.872,235.513
18,0.17,01:05:13.12:03,282.005,43.881,235.52900000000002
19,0.18,01:05:13.13:00,282.013,43.868,235.50799999999998
20,0.19,01:05:13.13:01,282.01099999999997,43.84,235.486
21,0.2,01:05:13.13:02,282.008,43.864,235.49400000000003
22,0.21,01:05:13.13:03,281.991,43.858000000000004,235.463
23,0.22,01:05:13.14:00,281.992,43.855,235.457
24,0.23,01:05:13.14:01,281.98,43.88,235.49
25,0.24,01:05:13.14:02,281.987,43.86,235.43900000000002
26,0.25,01:05:13.14:03,281.97,43.863,235.46
27,0.26,01:05:13.15:00,281.96299999999997,43.888000000000005,235.428
28,0.27,01:05:13.15:01,281.95799999999997,43.863,235.405
29,0.28,01:05:13.15:02,281.944,43.871,235.391
30,0.29,01:05:13.15:03,281.966,43.872,235.407
31,0.3,01:05:13.16:00,281.962,43.87,235.385
32,0.31,01:05:13.16:01,281.95,43.835,235.35
