Frame,Time,SMPTE,bar_left_foot_x,bar_left_foot_y,bar_left_foot_z
1,0.0,01:05:13.08:02,229.1337,10.6673,199.1997
2,0.01,01:05:13.08:03,229.1453,10.6687,199.208
3,0.02,01:05:13.09:00,229.137,10.6773,199.2103
4,0.03,01:05:13.09:01,229.1007,10.357000000000001,199.572
5,0.04,01:05:13.09:02,229.041,10.3183,199.5767
6,0.05,01:05:13.09:03,229.0903,10.2627,199.66299999999998
7,0.06,01:05:13.10:00,229.106,10.2437,199.6267
8,0.07,01:05:13.10:01,229.0677,10.2667,199.6483
9,0.08,01:05:13.10:02,229.0617,10.262,199.6423
10,0.09,01:05:13.10:03,229.0657,10.2633,199.65200000000002
11,0.1,01:05:13.11:00,229.1443,10.2957,199.6053
12,0.11,01:05:13.11:01,229.136,10.3057,199.5993
13,0.12,01:05:13.11:02,229.1363,10.3023,199.5943
14,0.13,01:05:13.11:03,229.1447,10.3123,199.588
15,0.14,01:05:13.12:00,229.1353,10.312999999999999,199.5853
16,0.15,01:05:13.12:01,229.1267,10.3097,199.5893
17,0.16,01:05:13.12:02,229.1297,10.3057,199.581
18,0.17,01:05:13.12:03,229.1243,10.31,199.5917
19,0.18,01:05:13.13:00,229.1183,10.3083,199.5933
20,0.19,01:05:13.13:01,229.1223,10.3037,199.592
21,0.2,01:05:13.13:02,229.1143,10.3023,199.584
22,0.21,01:05:13.13:03,229.1147,10.3007,199.5943
23,0.22,01:05:13.14:00,229.1087,10.306,199.5947
24,0.23,01:05:13.14:01,229.107,10.325999999999999,199.5973
25,0.24,01:05:13.14:02,229.1073,10.321,199.5953
26,0.25,01:05:13.14:03,229.0923,10.323,199.58700000000002
27,0.26,01:05:13.15:00,229.0837,10.3283,199.579
28,0.27,01:05:13.15:01,229.0843,10.3253,199.5847
29,0.28,01:05:13.15:02,229.0847,10.3303,199.5817
30,0.29,01:05:13.15:03,229.0773,10.327,199.5933
31,0.3,01:05:13.16:00,229.0793,10.3307,199.5783
32,0.31,01:05:13.16:01,229.079,10.334000000000001,199.5707
33,0.32,01:05:13.16:02,229.0773,10.3317,199.5853
34,0.33,01:05:13.16:03,229.083,10.328,199.57
35,0.34,01:05:13.17:00,229.07,10.3363,199.5783
36,0.35,01:05:13.17:01,229.0743,10.332,199.58
37,0.36,01:05:13.17:02,229.079,10.3327,199.5843
38,0.37,01:05:13.17:03,229.0727,10.342,199.5723
39,0.38,01:05:13.18:00,229.06799999999998,10.341,199.575
40,0.39,01:05:13.18:01,229.075,10.333,199.57299999999998
41,0.4,01:05:13.18:02,229.0723,10.343,199.5757
42,0.41,01:05:13.18:03,229.0703,10.3407,199.5697
43,0.42,01:05:13.19:00,229.0673,10.3423,199.5737
44,0.43,01:05:13.19:01,229.0707,10.3437,199.5693
45,0.44,01:05:13.19:02,229.0787,10.3453,199.5713
46,0.45,01:05:13.19:03,229.0747,10.347000000000001,199.572
47,0.46,01:05:13.20:00,229.0677,10.345,199.5647
48,0.47,01:05:13.20:01,229.06099999999998,10.3503,199.5643
49,0.48,01:05:13.20:02,229.07299999999998,10.3473,199.5613
50,0.49,01:05:13.20:03,229.0667,10.3383,199.5663
51,0.5,01:05:13.21:00,229.0783,10.3383,199.5643
52,0.51,01:05:13.21:01,229.0627,10.3413,199.5587
53,0.52,01:05:13.21:02,229.0643,10.35,199.5643
54,0.53,01:05:13.21:03,229.0603,10.3437,199.56
55,0.54,01:05:13.22:00,229.06799999999998,10.349,199.5607
56,0.55,01:05:13.22:01,229.0727,10.3317,199.5523
57,0.56,01:05:13.22:02,229.0807,10.3347,199.5573
58,0.57,01:05:13.22:03,229.0787,10.3443,199.5543
59,0.58,01:05:13.23:00,229.07299999999998,10.3367,199.553
60,0.59,01:05:13.23:01,229.0703,10.33,199.56
61,0.6,01:05:13.23:02,229.078,10.333,199.5557
62,0.61,01:05:13.23:03,229.081,10.323,199.5533
63,0.62,01:05:13.24:00,229.0743,10.329,199.5507
64,0.63,01:05:13.24:01,229.06900000000002,10.3377,199.5447
65,0.64,01:05:13.24:02,229.0707,10.3317,199.5447
66,0.65,01:05:13.24:03,229.0773,10.3397,199.5467
67,0.66,01:05:13.24:04,229.0703,10.3387,199.544
68,0.67,01:05:14.00:00,229.0627,10.3373,199.5407
69,0.68,01:05:14.00:01,229.06799999999998,10.3373,199.5447
70,0.69,01:05:14.00:02,229.06900000000002,10.3377,199.53599999999997
71,0.7,01:05:14.00:03,229.0623,10.3377,199.5327
72,0.71,01:05:14.01:00,229.0737,10.3313,199.53799999999998
73,0.72,01:05:14.01:01,229.0707,10.3313,199.52599999999998
74,0.73,01:05:14.01:02,229.067,10.33,199.525
75,0.74,01:05:14.01:03,229.0627,10.342,199.535
76,0.75,01:05:14.02:00,229.0723,10.342,199.53
77,0.76,01:05:14.02:01,229.0697,10.3453,199.5363
78,0.77,01:05:14.02:02,229.0567,10.347000000000001,199.52900000000002
79,0.78,01:05:14.02:03,229.0637,10.3533,199.5233
80,0.79,01:05:14.03:00,229.0583,10.3467,199.52200000000002
81,0.8,01:05:14.03:01,229.0647,10.3463,199.5177
82,0.81,01:05:14.03:02,229.0453,10.3543,199.5273
83,0.82,01:05:14.03:03,229.0533,10.359000000000002,199.511
84,0.83,01:05:14.04:00,229.0413,10.3647,199.5177
85,0.84,01:05:14.04:01,229.0483,10.3707,199.5107
86,0.85,01:05:14.04:02,229.03799999999998,10.3793,199.5127
87,0.86,01:05:14.04:03,229.0407,10.383,199.50099999999998
88,0.87,01:05:14.05:00,229.0413,10.398,199.5093
89,0.88,01:05:14.05:01,229.0333,10.4043,199.5033
90,0.89,01:05:14.05:02,229.0243,10.4167,199.5097
91,0.9,01:05:14.05:03,229.017,10.4143,199.5117
92,0.91,01:05:14.06:00,229.0207,10.415,199.4957
93,0.92,01:05:14.06:01,229.016,10.4263,199.4883
94,0.93,01:05:14.06:02,229.00900000000001,10.4153,199.4993
95,0.94,01:05:14.06:03,229.0023,10.4193,199.487
96,0.95,01:05:14.07:00,229.003,10.4233,199.4903
97,0.96,01:05:14.07:01,229.0,10.4213,199.4843
98,0.97,01:05:14.07:02,229.0013,10.4293,199.49200000000002
99,0.98,01:05:14.07:03,228.9963,10.4423,199.4903
100,0.99,01:05:14.08:00,228.99900000000002,10.4327,199.4993
101,1.0,01:05:14.08:01,228.9987,10.425,199.50099999999998
102,1.01,01:05:14.08:02,229.005,10.4227,199.5027
103,1.02,01:05:14.08:03,229.0073,10.4203,199.5143
104,1.03,01:05:14.09:00,229.0117,10.4237,199.5247
105,1.04,01:05:14.09:01,229.0157,10.413,199.5227
106,1.05,01:05:14.09:02,229.025,10.425,199.533
107,1.06,01:05:14.09:03,229.032,10.4137,199.544
108,1.07,01:05:14.10:00,229.0383,10.4,199.544
109,1.08,01:05:14.10:01,229.0417,10.3987,199.5597
110,1.09,01:05:14.10:02,229.051,10.394,199.5723
111,1.1,01:05:14.10:03,229.048,10.395999999999999,199.5763
112,1.11,01:05:14.11:00,229.051,10.376,199.58599999999998
113,1.12,01:05:14.11:01,229.0567,10.3757,199.5797
114,1.13,01:05:14.11:02,229.0497,10.3777,199.59
115,1.14,01:05:14.11:03,229.0523,10.3763,199.5883
116,1.15,01:05:14.12:00,229.0493,10.367,199.5913
117,1.16,01:05:14.12:01,229.05599999999998,10.3747,199.60299999999998
118,1.17,01:05:14.12:02,229.0507,10.3727,199.592
119,1.18,01:05:14.12:03,229.05200000000002,10.3703,199.592
120,1.19,01:05:14.13:00,229.0497,10.3773,199.5857
121,1.2,01:05:14.13:01,229.044,10.3637,199.5783
122,1.21,01:05:14.13:02,229.041,10.3683,199.584
123,1.22,01:05:14.13:03,229.037,10.357999999999999,199.5853
124,1.23,01:05:14.14:00,229.023,10.3747,199.5563
125,1.24,01:05:14.14:01,229.0277,10.3687,199.5597
126,1.25,01:05:14.14:02,229.0327,10.3597,199.563
127,1.26,01:05:14.14:03,229.032,10.3567,199.5587
128,1.27,01:05:14.15:00,229.0367,10.3477,199.562
129,1.28,01:05:14.15:01,229.0313,10.3557,199.55200000000002
130,1.29,01:05:14.15:02,229.024,10.3517,199.55599999999998
131,1.3,01:05:14.15:03,229.0297,10.3513,199.544
132,1.31,01:05:14.16:00,229.021,10.3447,199.5497
133,1.32,01:05:14.16:01,229.0203,10.347000000000001,199.547
134,1.33,01:05:14.16:02,229.0227,10.3503,199.5423
135,1.34,01:05:14.17:00,229.02200000000002,10.344000000000001,199.5407
136,1.35,01:05:14.17:01,229.0167,10.368,199.5373
