Frame,Time,SMPTE,bar_right_hand_x,bar_right_hand_y,bar_right_hand_z
1,0.0,01:11:56.12:01,222.388,1340.3533,-706.572
2,0.01,01:11:56.12:02,222.263,1340.3433,-706.7017
3,0.02,01:11:56.12:03,222.1457,1340.3507,-706.8297
4,0.03,01:11:56.13:00,222.1747,1340.471,-707.0327
5,0.04,01:11:56.13:01,221.8513,1340.4993,-707.0183
6,0.05,01:11:56.13:02,221.644,1340.513,-707.1569999999999
7,0.06,01:11:56.13:03,221.4393,1340.5063,-707.3113
8,0.07,01:11:56.14:00,221.2537,1340.4803,-707.4567
9,0.08,01:11:56.14:01,221.0797,1340.4623,-707.5867
10,0.09,01:11:56.14:02,220.8787,1340.3903,-707.7239999999999
11,0.1,01:11:56.14:03,220.71599999999998,1340.3077,-707.8537
12,0.11,01:11:56.15:00,220.5263,1340.2067,-707.9743
13,0.12,01:11:56.15:01,220.3583,1340.055,-708.0867
14,0.13,01:11:56.15:02,220.185,1339.868,-708.1927
15,0.14,01:11:56.15:03,220.0503,1339.6770000000001,-708.3033
16,0.15,01:11:56.16:00,219.912,1339.4489999999998,-708.4037
17,0.16,01:11:56.16:01,219.7743,1339.215,-708.5187
18,0.17,01:11:56.16:02,219.6387,1338.9953,-708.6293
19,0.18,01:11:56.16:03,219.4963,1338.8087,-708.7447
20,0.19,01:11:56.17:00,219.335,1338.639,-708.8773
21,0.2,01:11:56.17:01,219.1553,1338.4879999999998,-709.0147
22,0.21,01:11:56.17:02,219.00799999999998,1338.3657,-709.1517
23,0.22,01:11:56.17:03,218.8123,1338.2393,-709.3023
24,0.23,01:11:56.18:00,218.6407,1338.1167,-709.4533
25,0.24,01:11:56.18:01,218.4927,1337.9913,-709.6047
26,0.25,01:11:56.18:02,218.3207,1337.859,-709.762
27,0.26,01:11:56.18:03,218.2917,1337.6403,-709.9173
28,0.27,01:11:56.19:00,218.0983,1337.4703,-710.0917
29,0.28,01:11:56.19:01,217.929,1337.3197,-710.2637
30,0.29,01:11:56.19:02,217.705,1337.1733,-710.4739999999999
31,0.3,01:11:56.19:03,217.3667,1337.1437,-710.6723
32,0.31,01:11:56.20:00,217.1763,1337.0487,-710.8810000000001
33,0.32,01:11:56.20:01,216.9647,1336.9613,-711.0657
34,0.33,01:11:56.20:02,216.7557,1336.8713,-711.2673
35,0.34,01:11:56.20:03,216.613,1336.7983,-711.4333
36,0.35,01:11:56.21:00,216.4567,1336.7293,-711.6163
37,0.36,01:11:56.21:01,216.327,1336.68,-711.8133
38,0.37,01:11:56.21:02,216.202,1336.621,-712.0
39,0.38,01:11:56.21:03,216.0993,1336.5783,-712.1907
40,0.39,01:11:56.22:00,216.005,1336.5397,-712.3877
41,0.4,01:11:56.22:01,215.9193,1336.5097,-712.5807
42,0.41,01:11:56.22:02,215.8317,1336.5,-712.7697
43,0.42,01:11:56.22:03,215.77,1336.5043,-712.9627
44,0.43,01:11:56.23:00,215.6937,1336.5003,-713.1560000000001
45,0.44,01:11:56.23:01,215.6263,1336.5063,-713.3387
46,0.45,01:11:56.23:02,215.5927,1336.4993,-713.5237
47,0.46,01:11:56.23:03,215.565,1336.5213,-713.7047
48,0.47,01:11:56.24:00,215.502,1336.5267,-713.9019999999999
49,0.48,01:11:56.24:01,215.5123,1336.54,-714.0883
50,0.49,01:11:56.24:02,215.5107,1336.531,-714.265
51,0.5,01:11:56.24:03,215.5337,1336.4943,-714.4283
52,0.51,01:11:57.00:00,215.5723,1336.4583,-714.6233
53,0.52,01:11:57.00:01,215.62900000000002,1336.388,-714.8203
54,0.53,01:11:57.00:02,215.74900000000002,1336.2947,-714.9807
55,0.54,01:11:57.00:03,215.8873,1336.183,-715.1439999999999
56,0.55,01:11:57.01:00,216.043,1336.0423,-715.3207
57,0.56,01:11:57.01:01,216.19099999999997,1335.8873,-715.4817
58,0.57,01:11:57.01:02,216.3327,1335.7037,-715.6313
59,0.58,01:11:57.01:03,216.4213,1335.4777,-715.763
60,0.59,01:11:57.02:00,216.5107,1335.23,-715.8987
61,0.6,01:11:57.02:01,216.5663,1334.9673,-716.0153
62,0.61,01:11:57.02:02,216.625,1334.72,-716.115
63,0.62,01:11:57.02:03,216.6517,1334.4857,-716.2180000000001
64,0.63,01:11:57.03:00,216.7297,1334.2157,-716.297
65,0.64,01:11:57.03:01,216.815,1333.906,-716.3923
66,0.65,01:11:57.03:02,216.89700000000002,1333.6470000000002,-716.4947
67,0.66,01:11:57.03:03,217.00599999999997,1333.404,-716.5847
68,0.67,01:11:57.04:00,217.0547,1333.1757,-716.6917
69,0.68,01:11:57.04:01,217.102,1332.9763,-716.773
70,0.69,01:11:57.04:02,217.0737,1332.7720000000002,-716.8627
71,0.7,01:11:57.04:03,217.054,1332.599,-716.9393
72,0.71,01:11:57.05:00,217.014,1332.451,-716.9993
73,0.72,01:11:57.05:01,216.9803,1332.316,-717.0683
74,0.73,01:11:57.05:02,216.9273,1332.1789999999999,-717.1257
75,0.74,01:11:57.05:03,216.8697,1332.0557,-717.1553
76,0.75,01:11:57.06:00,216.84799999999998,1331.9353,-717.1757
77,0.76,01:11:57.06:01,216.79,1331.8239999999998,-717.204
78,0.77,01:11:57.06:02,216.738,1331.713,-717.2367
