Frame,Time,SMPTE,bar_right_wrist_x,bar_right_wrist_y,bar_right_wrist_z
1,0.0,01:11:56.12:01,226.142,1337.3545,-568.5315
2,0.01,01:11:56.12:02,225.9935,1337.3210000000001,-568.6905
3,0.02,01:11:56.12:03,225.8535,1337.2825,-568.8375
4,0.03,01:11:56.13:00,226.6425,1336.6889999999999,-567.3475
5,0.04,01:11:56.13:01,226.825,1336.7545,-567.611
6,0.05,01:11:56.13:02,226.7315,1336.739,-567.7535
7,0.06,01:11:56.13:03,226.6375,1336.6760000000002,-567.9045
8,0.07,01:11:56.14:00,226.50900000000001,1336.618,-568.0665
9,0.08,01:11:56.14:01,226.423,1336.5355,-568.195
10,0.09,01:11:56.14:02,226.2855,1336.4145,-568.3235
11,0.1,01:11:56.14:03,226.1385,1336.2935,-568.4935
12,0.11,01:11:56.15:00,225.9935,1336.1845,-568.639
13,0.12,01:11:56.15:01,225.89,1336.0635,-568.724
14,0.13,01:11:56.15:02,224.405,1336.6029999999998,-570.7715
15,0.14,01:11:56.15:03,224.2615,1336.5365,-570.94
16,0.15,01:11:56.16:00,225.463,1335.682,-569.198
17,0.16,01:11:56.16:01,225.3995,1335.503,-569.1825
18,0.17,01:11:56.16:02,225.266,1335.351,-569.321
19,0.18,01:11:56.16:03,225.15900000000002,1335.1835,-569.4069999999999
20,0.19,01:11:56.17:00,225.06099999999998,1335.0305,-569.5325
21,0.2,01:11:56.17:01,224.954,1334.8755,-569.645
22,0.21,01:11:56.17:02,224.8535,1334.7555,-569.757
23,0.22,01:11:56.17:03,224.7555,1334.6245,-569.91
24,0.23,01:11:56.18:00,223.261,1335.2265,-572.028
25,0.24,01:11:56.18:01,223.12,1335.15,-572.256
26,0.25,01:11:56.18:02,223.0005,1335.0079999999998,-572.4169999999999
27,0.26,01:11:56.18:03,222.7,1335.0335,-572.6705
28,0.27,01:11:56.19:00,222.6055,1334.9145,-572.861
29,0.28,01:11:56.19:01,222.50900000000001,1334.79,-573.04
30,0.29,01:11:56.19:02,222.399,1334.6860000000001,-573.198
31,0.3,01:11:56.19:03,222.472,1334.4835,-573.317
32,0.31,01:11:56.20:00,222.3845,1334.3875,-573.53
33,0.32,01:11:56.20:01,222.28,1334.3220000000001,-573.7065
34,0.33,01:11:56.20:02,222.1835,1334.2735,-573.899
35,0.34,01:11:56.20:03,222.1135,1334.2279999999998,-574.0625
36,0.35,01:11:56.21:00,222.054,1334.2085,-574.23
37,0.36,01:11:56.21:01,221.9755,1334.191,-574.4325
38,0.37,01:11:56.21:02,221.93400000000003,1334.1665,-574.6135
39,0.38,01:11:56.21:03,221.88,1334.1635,-574.8290000000001
40,0.39,01:11:56.22:00,221.817,1334.1235,-575.0295
41,0.4,01:11:56.22:01,221.7845,1334.0985,-575.2155
42,0.41,01:11:56.22:02,221.7575,1334.0625,-575.4175
43,0.42,01:11:56.22:03,221.733,1334.0385,-575.6215
44,0.43,01:11:56.23:00,221.7285,1334.0255,-575.823
45,0.44,01:11:56.23:01,221.71599999999998,1334.013,-576.0035
46,0.45,01:11:56.23:02,221.729,1334.019,-576.2175
47,0.46,01:11:56.23:03,221.7335,1334.0,-576.4345
48,0.47,01:11:56.24:00,221.75900000000001,1333.9720000000002,-576.606
49,0.48,01:11:56.24:01,221.7995,1333.97,-576.797
50,0.49,01:11:56.24:02,221.852,1333.941,-576.9845
51,0.5,01:11:56.24:03,221.926,1333.8905,-577.15
52,0.51,01:11:57.00:00,221.9965,1333.8415,-577.341
53,0.52,01:11:57.00:01,222.0635,1333.8025,-577.5075
54,0.53,01:11:57.00:02,222.1755,1333.739,-577.66
55,0.54,01:11:57.00:03,222.267,1333.671,-577.8295
56,0.55,01:11:57.01:00,222.393,1333.555,-577.993
57,0.56,01:11:57.01:01,222.5065,1333.443,-578.1525
58,0.57,01:11:57.01:02,222.6195,1333.316,-578.3135
59,0.58,01:11:57.01:03,222.7275,1333.1625,-578.44
60,0.59,01:11:57.02:00,222.825,1333.0120000000002,-578.591
61,0.6,01:11:57.02:01,222.937,1332.7979999999998,-578.7025
62,0.61,01:11:57.02:02,223.0245,1332.598,-578.811
63,0.62,01:11:57.02:03,223.09900000000002,1332.3625,-578.947
64,0.63,01:11:57.03:00,223.174,1332.1555,-579.0085
65,0.64,01:11:57.03:01,223.2495,1331.9565,-579.1135
66,0.65,01:11:57.03:02,223.3065,1331.7679999999998,-579.2065
67,0.66,01:11:57.03:03,223.34599999999998,1331.5845,-579.3009999999999
68,0.67,01:11:57.04:00,223.375,1331.3935,-579.3865
69,0.68,01:11:57.04:01,223.3955,1331.22,-579.466
70,0.69,01:11:57.04:02,223.40099999999998,1331.0620000000001,-579.596
71,0.7,01:11:57.04:03,223.387,1330.9229999999998,-579.6655
72,0.71,01:11:57.05:00,223.385,1330.7895,-579.7255
73,0.72,01:11:57.05:01,223.368,1330.6525,-579.8095
74,0.73,01:11:57.05:02,223.34900000000002,1330.5439999999999,-579.866
75,0.74,01:11:57.05:03,223.329,1330.4485,-579.865
76,0.75,01:11:57.06:00,223.301,1330.352,-579.9075
77,0.76,01:11:57.06:01,223.2725,1330.2839999999999,-579.971
78,0.77,01:11:57.06:02,223.26,1330.2275,-579.9795
79,0.78,01:11:57.06:03,223.257,1330.1789999999999,-579.9865
80,0.79,01:11:57.07:00,223.2345,1330.1545,-579.9785
81,0.8,01:11:57.07:01,223.2485,1330.164,-580.004
82,0.81,01:11:57.07:02,223.2305,1330.183,-579.9925
83,0.82,01:11:57.07:03,223.237,1330.224,-579.9945
84,0.83,01:11:57.08:00,223.231,1330.255,-579.9580000000001
85,0.84,01:11:57.08:01,223.2245,1330.3155,-579.941
86,0.85,01:11:57.08:02,223.2325,1330.411,-579.9125
87,0.86,01:11:57.08:03,223.2405,1330.4875,-579.8925
88,0.87,01:11:57.09:00,223.2375,1330.5615,-579.83
89,0.88,01:11:57.09:01,223.2385,1330.6570000000002,-579.8045
90,0.89,01:11:57.09:02,223.235,1330.7325,-579.766
91,0.9,01:11:57.09:03,223.24400000000003,1330.8229999999999,-579.7130000000001
92,0.91,01:11:57.10:00,223.25,1330.9375,-579.643
93,0.92,01:11:57.10:01,223.2555,1331.0155,-579.5945
94,0.93,01:11:57.10:02,223.2825,1331.0995,-579.545
95,0.94,01:11:57.10:03,223.31,1331.1860000000001,-579.4715
96,0.95,01:11:57.11:00,223.3355,1331.279,-579.3825
97,0.96,01:11:57.11:01,223.3715,1331.3615,-579.336
98,0.97,01:11:57.11:02,223.4255,1331.4415,-579.248
99,0.98,01:11:57.11:03,223.46200000000002,1331.5075,-579.1505
100,0.99,01:11:57.12:00,223.503,1331.566,-579.0645
101,1.0,01:11:57.12:01,223.59400000000002,1331.611,-578.976
102,1.01,01:11:57.12:02,223.6055,1331.6879999999999,-578.9005
103,1.02,01:11:57.12:03,223.6425,1331.7515,-578.8205
104,1.03,01:11:57.13:00,223.6835,1331.808,-578.7085
105,1.04,01:11:57.13:01,223.69400000000002,1331.871,-578.621
106,1.05,01:11:57.13:02,223.726,1331.9125,-578.518
107,1.06,01:11:57.13:03,223.7525,1331.963,-578.414
108,1.07,01:11:57.14:00,223.78,1332.015,-578.3290000000001
109,1.08,01:11:57.14:01,223.7805,1332.0710000000001,-578.22
110,1.09,01:11:57.14:02,223.783,1332.12,-578.1105
111,1.1,01:11:57.14:03,223.787,1332.2125,-577.9945
112,1.11,01:11:57.15:00,223.7745,1332.277,-577.8755
