Frame,Time,SMPTE,bar_shoulder_centre_x,bar_shoulder_centre_y,bar_shoulder_centre_z
1,0.0,01:11:56.12:01,250.61,1412.537,101.855
2,0.01,01:11:56.12:02,250.5695,1412.5335,101.682
3,0.02,01:11:56.12:03,250.52900000000002,1412.5255,101.52
4,0.03,01:11:56.13:00,250.4695,1412.8139999999999,101.2495
5,0.04,01:11:56.13:01,250.3855,1412.764,101.11200000000001
6,0.05,01:11:56.13:02,250.34099999999998,1412.7505,100.949
7,0.06,01:11:56.13:03,250.2825,1412.715,100.7745
8,0.07,01:11:56.14:00,250.2505,1412.6785,100.598
9,0.08,01:11:56.14:01,250.215,1412.6429999999998,100.428
10,0.09,01:11:56.14:02,250.1905,1412.6015,100.2885
11,0.1,01:11:56.14:03,250.172,1412.6235,100.1275
12,0.11,01:11:56.15:00,250.196,1412.5865,99.979
13,0.12,01:11:56.15:01,250.199,1412.5079999999998,99.86
14,0.13,01:11:56.15:02,250.232,1412.4785,99.7365
15,0.14,01:11:56.15:03,250.2765,1412.4155,99.60700000000001
16,0.15,01:11:56.16:00,250.3405,1412.3545,99.4965
17,0.16,01:11:56.16:01,250.408,1412.217,99.3885
18,0.17,01:11:56.16:02,250.477,1412.1505,99.26899999999999
19,0.18,01:11:56.16:03,250.592,1412.0710000000001,99.1605
20,0.19,01:11:56.17:00,250.6845,1411.981,99.031
21,0.2,01:11:56.17:01,250.78900000000002,1411.9115,98.89200000000001
22,0.21,01:11:56.17:02,250.8985,1411.839,98.743
23,0.22,01:11:56.17:03,251.0235,1411.7745,98.595
24,0.23,01:11:56.18:00,251.1385,1411.7089999999998,98.446
25,0.24,01:11:56.18:01,251.2705,1411.64,98.287
26,0.25,01:11:56.18:02,251.39700000000002,1411.589,98.115
27,0.26,01:11:56.18:03,251.533,1411.5610000000001,97.949
28,0.27,01:11:56.19:00,251.6775,1411.535,97.7715
29,0.28,01:11:56.19:01,251.8475,1411.516,97.59100000000001
30,0.29,01:11:56.19:02,252.0055,1411.5165,97.42
31,0.3,01:11:56.19:03,252.1525,1411.5155,97.234
32,0.31,01:11:56.20:00,252.3425,1411.5220000000002,97.0495
33,0.32,01:11:56.20:01,252.5055,1411.5095,96.8415
34,0.33,01:11:56.20:02,252.6685,1411.4965,96.65899999999999
35,0.34,01:11:56.20:03,252.862,1411.4955,96.465
36,0.35,01:11:56.21:00,253.0365,1411.4915,96.26
37,0.36,01:11:56.21:01,253.205,1411.4855,96.0725
38,0.37,01:11:56.21:02,253.3925,1411.463,95.8575
39,0.38,01:11:56.21:03,253.549,1411.4505,95.652
40,0.39,01:11:56.22:00,253.706,1411.4215,95.4595
41,0.4,01:11:56.22:01,253.86900000000003,1411.4095,95.2605
42,0.41,01:11:56.22:02,254.03400000000002,1411.4065,95.0545
43,0.42,01:11:56.22:03,254.196,1411.3965,94.8505
44,0.43,01:11:56.23:00,254.34900000000002,1411.3725,94.655
45,0.44,01:11:56.23:01,254.503,1411.3535,94.4535
46,0.45,01:11:56.23:02,254.6685,1411.352,94.24
47,0.46,01:11:56.23:03,254.83,1411.3339999999998,94.02600000000001
48,0.47,01:11:56.24:00,254.9715,1411.32,93.8335
49,0.48,01:11:56.24:01,255.1035,1411.297,93.631
50,0.49,01:11:56.24:02,255.2285,1411.273,93.4525
51,0.5,01:11:56.24:03,255.3675,1411.249,93.27600000000001
52,0.51,01:11:57.00:00,255.495,1411.237,93.0635
53,0.52,01:11:57.00:01,255.62099999999998,1411.2245,92.8755
54,0.53,01:11:57.00:02,255.7495,1411.2065,92.695
55,0.54,01:11:57.00:03,255.8675,1411.2079999999999,92.5085
56,0.55,01:11:57.01:00,255.9825,1411.1945,92.3265
57,0.56,01:11:57.01:01,256.0965,1411.1970000000001,92.137
58,0.57,01:11:57.01:02,256.228,1411.1970000000001,91.9645
59,0.58,01:11:57.01:03,256.344,1411.182,91.79799999999999
60,0.59,01:11:57.02:00,256.437,1411.1825,91.64299999999999
61,0.6,01:11:57.02:01,256.541,1411.1755,91.5025
62,0.61,01:11:57.02:02,256.6415,1411.1729999999998,91.355
63,0.62,01:11:57.02:03,256.7105,1411.174,91.225
64,0.63,01:11:57.03:00,256.776,1411.1205,91.1015
65,0.64,01:11:57.03:01,256.841,1411.118,90.98700000000001
66,0.65,01:11:57.03:02,256.8835,1411.1015,90.8705
67,0.66,01:11:57.03:03,256.9325,1411.0945,90.762
68,0.67,01:11:57.04:00,256.969,1411.0795,90.6485
69,0.68,01:11:57.04:01,256.98400000000004,1411.0635,90.5515
70,0.69,01:11:57.04:02,257.0135,1411.0379999999998,90.445
71,0.7,01:11:57.04:03,257.0565,1411.0179999999998,90.3525
72,0.71,01:11:57.05:00,257.0885,1410.997,90.27600000000001
73,0.72,01:11:57.05:01,257.1185,1410.9815,90.2005
74,0.73,01:11:57.05:02,257.1585,1410.9779999999998,90.14
75,0.74,01:11:57.05:03,257.2055,1410.9825,90.0825
76,0.75,01:11:57.06:00,257.2605,1410.985,90.0435
77,0.76,01:11:57.06:01,257.3065,1410.991,90.014
78,0.77,01:11:57.06:02,257.3845,1411.0020000000002,89.9725
79,0.78,01:11:57.06:03,257.448,1411.015,89.948
80,0.79,01:11:57.07:00,257.527,1410.999,89.935
81,0.8,01:11:57.07:01,257.612,1410.9915,89.943
