Frame,Time,SMPTE,bar_hip_centre_x,bar_hip_centre_y,bar_hip_centre_z
1,0.0,01:11:56.12:01,208.7797,1011.5465,93.4143
2,0.01,01:11:56.12:02,208.5998,1011.5505,93.4102
3,0.02,01:11:56.12:03,208.4175,1011.55,93.4055
4,0.03,01:11:56.13:00,208.365,1011.6742,93.8483
5,0.04,01:11:56.13:01,208.141,1011.8158,93.7465
6,0.05,01:11:56.13:02,207.87,1011.7135,93.725
7,0.06,01:11:56.13:03,207.68,1011.6448,93.595
8,0.07,01:11:56.14:00,207.4463,1011.618,93.5668
9,0.08,01:11:56.14:01,207.204,1011.6035,93.5255
10,0.09,01:11:56.14:02,206.9612,1011.5865,93.471
11,0.1,01:11:56.14:03,206.7027,1011.574,93.3942
12,0.11,01:11:56.15:00,206.454,1011.5545,93.3185
13,0.12,01:11:56.15:01,206.1685,1011.6092,93.34200000000001
14,0.13,01:11:56.15:02,205.9072,1011.5915,93.2318
15,0.14,01:11:56.15:03,205.64700000000002,1011.576,93.1235
16,0.15,01:11:56.16:00,205.378,1011.5592,92.99799999999999
17,0.16,01:11:56.16:01,205.1272,1011.5365,92.8785
18,0.17,01:11:56.16:02,204.8735,1011.523,92.7452
19,0.18,01:11:56.16:03,204.622,1011.505,92.60600000000001
20,0.19,01:11:56.17:00,204.3822,1011.4968,92.471
21,0.2,01:11:56.17:01,204.1447,1011.4908,92.3202
22,0.21,01:11:56.17:02,203.924,1011.4805,92.177
23,0.22,01:11:56.17:03,203.703,1011.4628,92.0312
24,0.23,01:11:56.18:00,203.5032,1011.4508,91.874
25,0.24,01:11:56.18:01,203.3205,1011.445,91.7255
26,0.25,01:11:56.18:02,203.14700000000002,1011.4428,91.5545
27,0.26,01:11:56.18:03,202.9998,1011.434,91.40299999999999
28,0.27,01:11:56.19:00,202.8645,1011.43,91.2482
29,0.28,01:11:56.19:01,202.7558,1011.4418,91.0983
30,0.29,01:11:56.19:02,202.65599999999998,1011.4558,90.932
31,0.3,01:11:56.19:03,202.582,1011.4838,90.7608
32,0.31,01:11:56.20:00,202.52200000000002,1011.4985,90.6125
33,0.32,01:11:56.20:01,202.4592,1011.5115,90.4538
34,0.33,01:11:56.20:02,202.40900000000002,1011.5338,90.3092
35,0.34,01:11:56.20:03,202.37099999999998,1011.5402,90.1593
36,0.35,01:11:56.21:00,202.3308,1011.5402,90.0162
37,0.36,01:11:56.21:01,202.2938,1011.544,89.8858
38,0.37,01:11:56.21:02,202.2635,1011.5472,89.757
39,0.38,01:11:56.21:03,202.2457,1011.546,89.639
40,0.39,01:11:56.22:00,202.21900000000002,1011.5525,89.5225
41,0.4,01:11:56.22:01,202.2,1011.5618,89.4042
42,0.41,01:11:56.22:02,202.1798,1011.5542,89.29899999999999
43,0.42,01:11:56.22:03,202.1595,1011.565,89.195
44,0.43,01:11:56.23:00,202.1585,1011.5635,89.0795
45,0.44,01:11:56.23:01,202.1418,1011.5615,88.9847
46,0.45,01:11:56.23:02,202.1442,1011.5592,88.883
47,0.46,01:11:56.23:03,202.142,1011.5622,88.7822
48,0.47,01:11:56.24:00,202.1475,1011.5682,88.69200000000001
49,0.48,01:11:56.24:01,202.1518,1011.5512,88.5993
50,0.49,01:11:56.24:02,202.1635,1011.5645,88.5175
51,0.5,01:11:56.24:03,202.1898,1011.5605,88.43
52,0.51,01:11:57.00:00,202.2078,1011.554,88.3488
53,0.52,01:11:57.00:01,202.235,1011.5568,88.27799999999999
54,0.53,01:11:57.00:02,202.2568,1011.5419999999999,88.208
55,0.54,01:11:57.00:03,202.2945,1011.5392,88.1312
56,0.55,01:11:57.01:00,202.3245,1011.5322,88.0598
57,0.56,01:11:57.01:01,202.3635,1011.5268,88.0102
58,0.57,01:11:57.01:02,202.3898,1011.5239999999999,87.9493
59,0.58,01:11:57.01:03,202.4355,1011.5205,87.8952
60,0.59,01:11:57.02:00,202.4735,1011.5218,87.838
61,0.6,01:11:57.02:01,202.5185,1011.5407,87.7795
62,0.61,01:11:57.02:02,202.5602,1011.5375,87.7227
63,0.62,01:11:57.02:03,202.5938,1011.5445,87.6665
64,0.63,01:11:57.03:00,202.6308,1011.551,87.6135
65,0.64,01:11:57.03:01,202.6632,1011.556,87.5705
66,0.65,01:11:57.03:02,202.7028,1011.5425,87.525
67,0.66,01:11:57.03:03,202.7305,1011.5395,87.4895
68,0.67,01:11:57.04:00,202.7602,1011.5385,87.4435
69,0.68,01:11:57.04:01,202.796,1011.5362,87.4162
70,0.69,01:11:57.04:02,202.827,1011.5265,87.3915
71,0.7,01:11:57.04:03,202.8623,1011.5068,87.3783
72,0.71,01:11:57.05:00,202.8945,1011.488,87.3572
73,0.72,01:11:57.05:01,202.91,1011.4915,87.334
74,0.73,01:11:57.05:02,202.933,1011.4852,87.3208
75,0.74,01:11:57.05:03,202.9675,1011.4860000000001,87.3072
76,0.75,01:11:57.06:00,202.9962,1011.488,87.3055
77,0.76,01:11:57.06:01,203.0325,1011.4955,87.3072
78,0.77,01:11:57.06:02,203.0703,1011.5025,87.31200000000001
79,0.78,01:11:57.06:03,203.1098,1011.5032,87.3075
80,0.79,01:11:57.07:00,203.1555,1011.5022,87.3185
81,0.8,01:11:57.07:01,203.1972,1011.5088,87.329
82,0.81,01:11:57.07:02,203.2455,1011.5022,87.3405
83,0.82,01:11:57.07:03,203.29,1011.5065,87.3527
84,0.83,01:11:57.08:00,203.3312,1011.5082,87.38600000000001
85,0.84,01:11:57.08:01,203.3718,1011.5062,87.4088
86,0.85,01:11:57.08:02,203.4298,1011.4912,87.4408
87,0.86,01:11:57.08:03,203.4662,1011.4832,87.4698
88,0.87,01:11:57.09:00,203.516,1011.4792,87.4928
89,0.88,01:11:57.09:01,203.578,1011.4555,87.525
90,0.89,01:11:57.09:02,203.6382,1011.461,87.5573
91,0.9,01:11:57.09:03,203.7,1011.4493,87.5748
92,0.91,01:11:57.10:00,203.76,1011.453,87.6183
93,0.92,01:11:57.10:01,203.828,1011.4545,87.6505
