Frame,Time,SMPTE,bar_left_elbow_x,bar_left_elbow_y,bar_left_elbow_z
1,0.0,01:11:56.12:01,251.9745,1316.9635,576.686
2,0.01,01:11:56.12:02,251.9115,1317.1870000000001,576.5535
3,0.02,01:11:56.12:03,251.86700000000002,1317.4115,576.428
4,0.03,01:11:56.13:00,251.81599999999997,1317.8385,576.1915
5,0.04,01:11:56.13:01,251.7635,1318.055,576.1025
6,0.05,01:11:56.13:02,251.6735,1318.3020000000001,575.9495
7,0.06,01:11:56.13:03,251.584,1318.526,575.8145
8,0.07,01:11:56.14:00,251.5155,1318.767,575.707
9,0.08,01:11:56.14:01,251.3755,1319.023,575.568
10,0.09,01:11:56.14:02,251.2405,1319.2565,575.45
11,0.1,01:11:56.14:03,251.115,1319.4820000000002,575.3545
12,0.11,01:11:56.15:00,250.9905,1319.704,575.2869999999999
13,0.12,01:11:56.15:01,250.843,1319.906,575.196
14,0.13,01:11:56.15:02,250.6815,1320.104,575.0995
15,0.14,01:11:56.15:03,250.49900000000002,1320.2939999999999,575.007
16,0.15,01:11:56.16:00,250.3175,1320.485,574.9145
17,0.16,01:11:56.16:01,250.1765,1320.6635,574.872
18,0.17,01:11:56.16:02,250.00400000000002,1320.8405,574.778
19,0.18,01:11:56.16:03,249.8425,1320.974,574.687
20,0.19,01:11:56.17:00,249.7015,1321.138,574.6185
21,0.2,01:11:56.17:01,249.584,1321.2565,574.538
22,0.21,01:11:56.17:02,249.4705,1321.359,574.436
23,0.22,01:11:56.17:03,249.386,1321.4675,574.361
24,0.23,01:11:56.18:00,249.283,1321.545,574.258
25,0.24,01:11:56.18:01,249.166,1321.6145,574.132
26,0.25,01:11:56.18:02,249.0615,1321.6715,574.01
27,0.26,01:11:56.18:03,248.9465,1321.744,573.8585
28,0.27,01:11:56.19:00,248.7745,1321.7245,573.591
29,0.28,01:11:56.19:01,248.7315,1321.8729999999998,573.5695
30,0.29,01:11:56.19:02,248.55700000000002,1321.869,573.3009999999999
31,0.3,01:11:56.19:03,248.4385,1321.9015,573.1485
32,0.31,01:11:56.20:00,248.3165,1321.9595,572.9725
33,0.32,01:11:56.20:01,248.208,1322.0095,572.7835
34,0.33,01:11:56.20:02,248.1095,1322.0725,572.634
35,0.34,01:11:56.20:03,248.03,1322.122,572.4540000000001
36,0.35,01:11:56.21:00,247.96099999999998,1322.171,572.2625
37,0.36,01:11:56.21:01,247.916,1322.2225,572.0765
38,0.37,01:11:56.21:02,247.894,1322.2705,571.879
39,0.38,01:11:56.21:03,247.8685,1322.3335,571.7025
40,0.39,01:11:56.22:00,247.8695,1322.375,571.5285
41,0.4,01:11:56.22:01,247.872,1322.4460000000001,571.3755
42,0.41,01:11:56.22:02,247.877,1322.503,571.2115
43,0.42,01:11:56.22:03,247.886,1322.5745,571.026
44,0.43,01:11:56.23:00,247.87400000000002,1322.6655,570.8355
45,0.44,01:11:56.23:01,247.8465,1322.765,570.6445
46,0.45,01:11:56.23:02,247.8165,1322.865,570.4590000000001
47,0.46,01:11:56.23:03,247.7985,1322.986,570.2695
48,0.47,01:11:56.24:00,247.79,1323.0970000000002,570.077
49,0.48,01:11:56.24:01,247.803,1323.2365,569.927
50,0.49,01:11:56.24:02,247.8235,1323.3465,569.744
51,0.5,01:11:56.24:03,247.83700000000002,1323.479,569.5740000000001
52,0.51,01:11:57.00:00,247.88299999999998,1323.614,569.384
53,0.52,01:11:57.00:01,247.929,1323.733,569.2105
54,0.53,01:11:57.00:02,247.9965,1323.8629999999998,569.04
55,0.54,01:11:57.00:03,248.045,1323.9920000000002,568.8875
56,0.55,01:11:57.01:00,248.115,1324.1115,568.743
57,0.56,01:11:57.01:01,248.1855,1324.2345,568.5975
58,0.57,01:11:57.01:02,248.238,1324.3570000000002,568.461
59,0.58,01:11:57.01:03,248.29,1324.4779999999998,568.3290000000001
60,0.59,01:11:57.02:00,248.34900000000002,1324.5845,568.1845
61,0.6,01:11:57.02:01,248.4365,1324.6855,568.0635
62,0.61,01:11:57.02:02,248.547,1324.7805,567.929
63,0.62,01:11:57.02:03,248.6675,1324.8625,567.8165
64,0.63,01:11:57.03:00,248.769,1324.9275,567.7155
65,0.64,01:11:57.03:01,248.8555,1324.9855,567.631
66,0.65,01:11:57.03:02,248.945,1325.049,567.5415
67,0.66,01:11:57.03:03,249.0235,1325.0885,567.455
68,0.67,01:11:57.04:00,249.074,1325.135,567.3535
69,0.68,01:11:57.04:01,249.1335,1325.1565,567.2645
70,0.69,01:11:57.04:02,249.18200000000002,1325.1895,567.1815
71,0.7,01:11:57.04:03,249.22400000000002,1325.2215,567.099
72,0.71,01:11:57.05:00,249.275,1325.249,567.0315
73,0.72,01:11:57.05:01,249.31400000000002,1325.2715,566.965
74,0.73,01:11:57.05:02,249.3605,1325.306,566.911
75,0.74,01:11:57.05:03,249.391,1325.317,566.8735
76,0.75,01:11:57.06:00,249.4425,1325.339,566.8340000000001
77,0.76,01:11:57.06:01,249.4715,1325.35,566.806
78,0.77,01:11:57.06:02,249.518,1325.3695,566.7845
79,0.78,01:11:57.06:03,249.5725,1325.3670000000002,566.756
80,0.79,01:11:57.07:00,249.6335,1325.3870000000002,566.7425
81,0.8,01:11:57.07:01,249.704,1325.38,566.739
82,0.81,01:11:57.07:02,249.7775,1325.3975,566.746
83,0.82,01:11:57.07:03,249.8525,1325.4125,566.7635
84,0.83,01:11:57.08:00,249.9295,1325.4215,566.78
85,0.84,01:11:57.08:01,250.019,1325.4360000000001,566.804
86,0.85,01:11:57.08:02,250.1,1325.4555,566.82
87,0.86,01:11:57.08:03,250.188,1325.476,566.839
88,0.87,01:11:57.09:00,250.2715,1325.499,566.8725
89,0.88,01:11:57.09:01,250.3705,1325.5315,566.884
90,0.89,01:11:57.09:02,250.472,1325.556,566.936
91,0.9,01:11:57.09:03,250.58,1325.5929999999998,566.9825
92,0.91,01:11:57.10:00,250.671,1325.612,567.0409999999999
93,0.92,01:11:57.10:01,250.8065,1325.6370000000002,567.0790000000001
94,0.93,01:11:57.10:02,250.91,1325.654,567.1485
95,0.94,01:11:57.10:03,251.046,1325.6660000000002,567.227
96,0.95,01:11:57.11:00,251.18200000000002,1325.6755,567.315
97,0.96,01:11:57.11:01,251.3235,1325.7060000000001,567.3995
98,0.97,01:11:57.11:02,251.4705,1325.7105,567.4995
99,0.98,01:11:57.11:03,251.604,1325.715,567.5695
