Frame,Time,SMPTE,bar_left_hand_x,bar_left_hand_y,bar_left_hand_z
1,0.0,01:11:56.12:01,260.6383,1307.6033,905.1007
2,0.01,01:11:56.12:02,259.1053,1308.198,903.6339999999999
3,0.02,01:11:56.12:03,258.9263,1308.6507,903.5137
4,0.03,01:11:56.13:00,259.6103,1309.0987,904.0137
5,0.04,01:11:56.13:01,260.34,1309.5857,904.5923
6,0.05,01:11:56.13:02,260.962,1309.8937,904.9697
7,0.06,01:11:56.13:03,260.699,1310.351,904.8797
8,0.07,01:11:56.14:00,263.9307,1310.894,905.8737
9,0.08,01:11:56.14:01,260.08299999999997,1311.43,904.7767
10,0.09,01:11:56.14:02,258.7623,1311.955,904.3933
11,0.1,01:11:56.14:03,259.12,1312.26,904.3003
12,0.11,01:11:56.15:00,259.5577,1312.7213,904.4247
13,0.12,01:11:56.15:01,259.2977,1313.1893,904.334
14,0.13,01:11:56.15:02,258.89799999999997,1313.7873,904.3330000000001
15,0.14,01:11:56.15:03,258.6643,1314.2303,904.255
16,0.15,01:11:56.16:00,258.5367,1314.6423,904.1373
17,0.16,01:11:56.16:01,258.2527,1314.973,904.0667
18,0.17,01:11:56.16:02,257.9447,1315.2097,903.9593
19,0.18,01:11:56.16:03,257.442,1315.7197,903.9833
20,0.19,01:11:56.17:00,257.0957,1316.0743,903.9123
21,0.2,01:11:56.17:01,256.857,1316.2657,903.7647
22,0.21,01:11:56.17:02,256.5613,1316.6127,903.6693
23,0.22,01:11:56.17:03,256.2033,1316.9470000000001,903.5747
24,0.23,01:11:56.18:00,255.78099999999998,1317.317,903.4807
25,0.24,01:11:56.18:01,255.3513,1317.5467,903.3810000000001
26,0.25,01:11:56.18:02,254.9473,1317.7187,903.2533
27,0.26,01:11:56.18:03,254.47400000000002,1317.967,903.186
28,0.27,01:11:56.19:00,254.125,1318.0543,903.059
29,0.28,01:11:56.19:01,253.9357,1318.0003,902.8563
30,0.29,01:11:56.19:02,253.6467,1318.0333,902.7157
31,0.3,01:11:56.19:03,253.4123,1318.0507,902.5647
32,0.31,01:11:56.20:00,253.1957,1318.0593,902.4169999999999
33,0.32,01:11:56.20:01,252.9927,1318.078,902.248
34,0.33,01:11:56.20:02,252.7617,1318.1153,902.0787
35,0.34,01:11:56.20:03,252.5103,1318.1667,901.893
36,0.35,01:11:56.21:00,252.237,1318.2137,901.7123
37,0.36,01:11:56.21:01,252.0343,1318.2693,901.52
38,0.37,01:11:56.21:02,251.7553,1318.345,901.3527
39,0.38,01:11:56.21:03,251.4577,1318.4507,901.1757
40,0.39,01:11:56.22:00,251.13400000000001,1318.5667,901.0089999999999
41,0.4,01:11:56.22:01,250.8437,1318.6767,900.8417
42,0.41,01:11:56.22:02,250.46400000000003,1318.807,900.6913
43,0.42,01:11:56.22:03,250.178,1318.912,900.502
44,0.43,01:11:56.23:00,249.9397,1319.0473,900.3093
45,0.44,01:11:56.23:01,249.717,1319.2137,900.1297
46,0.45,01:11:56.23:02,249.5923,1319.385,899.933
47,0.46,01:11:56.23:03,249.5053,1319.5477,899.7277
48,0.47,01:11:56.24:00,249.4677,1319.713,899.5437
49,0.48,01:11:56.24:01,249.528,1319.89,899.3487
50,0.49,01:11:56.24:02,249.5337,1320.1283,899.18
51,0.5,01:11:56.24:03,249.5853,1320.4017,899.005
52,0.51,01:11:57.00:00,249.5097,1320.6967,898.8473
53,0.52,01:11:57.00:01,249.4163,1320.9523,898.671
54,0.53,01:11:57.00:02,249.3457,1321.224,898.5327
55,0.54,01:11:57.00:03,249.2677,1321.4907,898.3793
56,0.55,01:11:57.01:00,182.8947,887.768,597.606
57,0.56,01:11:57.01:01,182.9653,887.9093,597.4907
58,0.57,01:11:57.01:02,182.9893,888.041,597.3973
59,0.58,01:11:57.01:03,183.0147,888.1413,597.3167
60,0.59,01:11:57.02:00,183.0713,888.3739999999999,597.2797
61,0.6,01:11:57.02:01,183.0997,888.4703,597.2043
62,0.61,01:11:57.02:02,183.0817,888.455,597.0790000000001
63,0.62,01:11:57.02:03,183.13400000000001,888.5627,597.003
64,0.63,01:11:57.03:00,183.2973,888.7033,596.9097
65,0.64,01:11:57.03:01,183.3633,888.7877,596.8407
66,0.65,01:11:57.03:02,183.4343,888.86,596.7727
67,0.66,01:11:57.03:03,183.5423,888.914,596.7143
68,0.67,01:11:57.04:00,249.8353,1323.5793,896.8013
69,0.68,01:11:57.04:01,249.9927,1323.6170000000002,896.706
70,0.69,01:11:57.04:02,250.1397,1323.6233,896.6289999999999
71,0.7,01:11:57.04:03,250.3153,1323.6983,896.6097
72,0.71,01:11:57.05:00,250.43200000000002,1323.5427,896.5
73,0.72,01:11:57.05:01,250.5597,1323.4847,896.4487
74,0.73,01:11:57.05:02,250.6743,1323.4353,896.3987
75,0.74,01:11:57.05:03,250.7343,1323.3587,896.3693
76,0.75,01:11:57.06:00,250.8297,1323.3353,896.332
77,0.76,01:11:57.06:01,250.8963,1323.3220000000001,896.3013
78,0.77,01:11:57.06:02,250.9223,1323.3287,896.2717
79,0.78,01:11:57.06:03,250.9127,1323.3377,896.2589999999999
80,0.79,01:11:57.07:00,250.893,1323.356,896.2503
81,0.8,01:11:57.07:01,250.83700000000002,1323.374,896.2497
82,0.81,01:11:57.07:02,250.75799999999998,1323.4077,896.2573
83,0.82,01:11:57.07:03,250.731,1323.493,896.2577
84,0.83,01:11:57.08:00,250.7607,1323.6297,896.3043
85,0.84,01:11:57.08:01,250.6457,1323.598,896.2803
86,0.85,01:11:57.08:02,250.608,1323.684,896.2983
87,0.86,01:11:57.08:03,250.5947,1323.7793,896.3257
88,0.87,01:11:57.09:00,250.649,1323.974,896.4023
89,0.88,01:11:57.09:01,250.71400000000003,1324.0753,896.429
90,0.89,01:11:57.09:02,250.7603,1324.1633,896.4723
91,0.9,01:11:57.09:03,250.8637,1324.246,896.5169999999999
92,0.91,01:11:57.10:00,250.9317,1324.1987,896.518
93,0.92,01:11:57.10:01,251.0727,1324.239,896.5817
94,0.93,01:11:57.10:02,251.1617,1324.3010000000002,896.6687
95,0.94,01:11:57.10:03,251.3577,1324.3097,896.7443
96,0.95,01:11:57.11:00,251.5417,1324.3343,896.8287
97,0.96,01:11:57.11:01,251.7317,1324.3339999999998,896.9063
98,0.97,01:11:57.11:02,251.9033,1324.349,896.9893
99,0.98,01:11:57.11:03,252.0793,1324.364,897.0793
100,0.99,01:11:57.12:00,185.2147,889.425,596.9169999999999
101,1.0,01:11:57.12:01,185.4043,889.3903,596.957
102,1.01,01:11:57.12:02,185.5053,889.3717,597.016
103,1.02,01:11:57.12:03,185.61700000000002,889.3347,597.076
104,1.03,01:11:57.13:00,185.6927,889.2760000000001,597.14
105,1.04,01:11:57.13:01,185.748,889.2143,597.1993
106,1.05,01:11:57.13:02,185.8093,889.1563,597.2677
107,1.06,01:11:57.13:03,185.8657,889.0917,597.3483
108,1.07,01:11:57.14:00,185.9193,889.0167,597.4203
109,1.08,01:11:57.14:01,185.9113,888.9597,597.4997
110,1.09,01:11:57.14:02,186.011,888.9807,597.605
111,1.1,01:11:57.14:03,186.0517,888.795,597.6253
112,1.11,01:11:57.15:00,186.0983,888.6907,597.6967
113,1.12,01:11:57.15:01,186.1167,888.5573,597.784
114,1.13,01:11:57.15:02,186.165,888.4247,597.865
115,1.14,01:11:57.15:03,186.195,888.288,597.9423
116,1.15,01:11:57.16:00,186.2347,888.1363,598.025
117,1.16,01:11:57.16:01,253.9063,1322.1,898.8497
118,1.17,01:11:57.16:02,253.90200000000002,1322.039,898.99
119,1.18,01:11:57.16:03,253.94299999999998,1321.7927,899.0513
120,1.19,01:11:57.17:00,253.856,1321.6989999999998,899.1833
121,1.2,01:11:57.17:01,253.8233,1321.5733,899.3033
122,1.21,01:11:57.17:02,253.78,1321.4520000000002,899.4357
123,1.22,01:11:57.17:03,253.768,1321.3337,899.564
124,1.23,01:11:57.18:00,253.775,1321.204,899.6817
125,1.24,01:11:57.18:01,253.7717,1321.066,899.8093
126,1.25,01:11:57.18:02,253.7823,1320.9433,899.939
127,1.26,01:11:57.18:03,253.8057,1320.8143,900.067
128,1.27,01:11:57.19:00,253.78400000000002,1320.6777,900.1927
129,1.28,01:11:57.19:01,253.7727,1320.5347,900.3307
130,1.29,01:11:57.19:02,253.795,1320.4103,900.452
131,1.3,01:11:57.19:03,253.907,1320.2593,900.557
132,1.31,01:11:57.20:00,253.93099999999998,1320.126,900.6913
133,1.32,01:11:57.20:01,253.9603,1320.0127,900.8153
134,1.33,01:11:57.20:02,254.011,1319.9070000000002,900.935
135,1.34,01:11:57.20:03,254.0027,1319.8263,901.0767
136,1.35,01:11:57.21:00,254.084,1319.7179999999998,901.2097
137,1.36,01:11:57.21:01,254.1913,1319.6287,901.3287
138,1.37,01:11:57.21:02,254.28,1319.559,901.4737
139,1.38,01:11:57.21:03,254.357,1319.4833,901.6060000000001
140,1.39,01:11:57.22:00,254.429,1319.4023,901.7513
141,1.4,01:11:57.22:01,254.4723,1319.3253,901.8797
142,1.41,01:11:57.22:02,254.5233,1319.2437,902.0147
143,1.42,01:11:57.22:03,186.7593,886.0310000000001,600.3527
144,1.43,01:11:57.23:00,186.7867,885.9547,600.4523
145,1.44,01:11:57.23:01,186.8077,885.8580000000001,600.5467
146,1.45,01:11:57.23:02,186.8247,885.7263,600.6237
147,1.46,01:11:57.23:03,186.862,885.5227,600.707
148,1.47,01:11:57.24:00,186.9077,885.3787,600.7733
149,1.48,01:11:57.24:01,186.9703,885.2487,600.8233
150,1.49,01:11:57.24:02,187.055,885.0943,600.8693
151,1.5,01:11:57.24:03,187.048,884.955,600.938
152,1.51,01:11:58.00:00,187.1033,884.791,600.9763
153,1.52,01:11:58.00:01,187.1653,884.6217,600.9963
154,1.53,01:11:58.00:02,187.168,884.453,601.049
155,1.54,01:11:58.00:03,187.175,884.2647,601.0763
156,1.55,01:11:58.01:00,187.1803,884.1107,601.112
157,1.56,01:11:58.01:01,187.168,883.9037,601.154
158,1.57,01:11:58.01:02,255.25,1315.6167,903.2497
159,1.58,01:11:58.01:03,255.329,1315.3927,903.2637
160,1.59,01:11:58.02:00,255.4193,1315.181,903.2937
161,1.6,01:11:58.02:01,255.5463,1314.9677,903.3053
162,1.61,01:11:58.02:02,255.6907,1314.7597,903.315
163,1.62,01:11:58.02:03,255.8237,1314.5713,903.3267
164,1.63,01:11:58.03:00,255.9313,1314.4253,903.3553
165,1.64,01:11:58.03:01,256.0683,1314.3073,903.3827
166,1.65,01:11:58.03:02,256.171,1314.2203,903.4187
167,1.66,01:11:58.03:03,256.3023,1314.1673,903.4547
168,1.67,01:11:58.04:00,256.3803,1314.16,903.4910000000001
169,1.68,01:11:58.04:01,256.4993,1314.1697,903.5343
170,1.69,01:11:58.04:02,256.6383,1314.2253,903.5827
171,1.7,01:11:58.04:03,256.776,1314.318,903.6183
172,1.71,01:11:58.05:00,256.92400000000004,1314.4337,903.6553
173,1.72,01:11:58.05:01,257.1153,1314.5603,903.6823
174,1.73,01:11:58.05:02,257.2717,1314.6933,903.7243
175,1.74,01:11:58.05:03,257.3983,1314.8683,903.7837
176,1.75,01:11:58.06:00,257.5323,1315.0263,903.8283
177,1.76,01:11:58.06:01,257.682,1315.1737,903.8693
178,1.77,01:11:58.06:02,257.83,1315.3163,903.9093
179,1.78,01:11:58.06:03,257.991,1315.4687,903.9423
180,1.79,01:11:58.07:00,258.176,1315.6453,903.9867
181,1.8,01:11:58.07:01,258.4003,1315.8673,904.015
182,1.81,01:11:58.07:02,258.6593,1316.1313,904.0283
183,1.82,01:11:58.07:03,258.822,1316.34,904.0633
184,1.83,01:11:58.08:00,258.947,1316.5529999999999,904.097
185,1.84,01:11:58.08:01,259.0763,1316.7420000000002,904.1447
186,1.85,01:11:58.08:02,259.189,1316.9517,904.1803
187,1.86,01:11:58.08:03,259.248,1317.1923,904.2297
188,1.87,01:11:58.09:00,259.301,1317.4289999999999,904.2513
189,1.88,01:11:58.09:01,259.38599999999997,1317.6743,904.2677
190,1.89,01:11:58.09:02,259.5147,1317.8970000000002,904.2607
191,1.9,01:11:58.09:03,259.5957,1318.1570000000002,904.2673
192,1.91,01:11:58.10:00,259.6627,1318.4089999999999,904.25
193,1.92,01:11:58.10:01,190.127,885.7769999999999,601.7553
194,1.93,01:11:58.10:02,190.11700000000002,885.8877,601.753
195,1.94,01:11:58.10:03,190.0877,885.9803,601.7613
196,1.95,01:11:58.11:00,190.05,886.0513,601.752
197,1.96,01:11:58.11:01,189.983,886.11,601.7677
198,1.97,01:11:58.11:02,189.8693,886.1567,601.775
199,1.98,01:11:58.11:03,189.7607,886.181,601.7933
200,1.99,01:11:58.12:00,189.6437,886.2130000000001,601.8147
201,2.0,01:11:58.12:01,189.497,886.2303,601.8323
202,2.01,01:11:58.12:02,189.3393,886.2357,601.8513
203,2.02,01:11:58.12:03,189.1313,886.2193,601.877
204,2.03,01:11:58.13:00,188.921,886.1783,601.8993
205,2.04,01:11:58.13:01,188.6937,886.1177,601.925
206,2.05,01:11:58.13:02,188.437,886.0323,601.951
207,2.06,01:11:58.13:03,188.2047,885.948,601.97
208,2.07,01:11:58.14:00,187.9647,885.867,601.9827
209,2.08,01:11:58.14:01,187.727,885.7733,601.9943
210,2.09,01:11:58.14:02,187.368,885.679,602.0567
211,2.1,01:11:58.14:03,187.0193,885.584,602.0897
212,2.11,01:11:58.15:00,186.81599999999997,885.477,602.055
213,2.12,01:11:58.15:01,186.4823,885.3977,602.087
214,2.13,01:11:58.15:02,186.1717,885.32,602.1030000000001
215,2.14,01:11:58.15:03,185.9277,885.2130000000001,602.111
216,2.15,01:11:58.16:00,252.9367,1317.6870000000001,904.5523
217,2.16,01:11:58.16:01,252.6193,1317.479,904.5293
218,2.17,01:11:58.16:02,252.3,1317.1957,904.4907
219,2.18,01:11:58.16:03,251.9367,1316.895,904.4587
220,2.19,01:11:58.17:00,251.5113,1316.4967,904.4537
221,2.2,01:11:58.17:01,251.0647,1315.986,904.438
222,2.21,01:11:58.17:02,250.7733,1315.336,904.3637
223,2.22,01:11:58.17:03,250.3047,1314.5493,904.3547
224,2.23,01:11:58.18:00,250.0873,1313.4823,904.2743
225,2.24,01:11:58.18:01,249.7507,1312.0737,904.2180000000001
226,2.25,01:11:58.18:02,249.5273,1310.2483,904.0353
227,2.26,01:11:58.18:03,249.1137,1307.8627,903.8503
228,2.27,01:11:58.19:00,248.4447,1304.7297,903.5397
229,2.28,01:11:58.19:01,247.6797,1300.6653,902.998
230,2.29,01:11:58.19:02,245.804,1295.567,902.3473
231,2.3,01:11:58.19:03,244.16299999999998,1289.3123,901.53
232,2.31,01:11:58.20:00,242.2447,1281.7987,900.4767
233,2.32,01:11:58.20:01,239.989,1272.9563,899.2237
234,2.33,01:11:58.20:02,237.53799999999998,1262.7403,897.6460000000001
235,2.34,01:11:58.20:03,234.8887,1251.0417,895.752
236,2.35,01:11:58.21:00,232.7027,1237.9563,892.9937
237,2.36,01:11:58.21:01,230.4563,1223.5253,889.5273
238,2.37,01:11:58.21:02,228.6653,1207.9533,885.2393
239,2.38,01:11:58.21:03,226.2877,1191.0893,880.5563
240,2.39,01:11:58.22:00,224.4003,1173.2147,874.8960000000001
241,2.4,01:11:58.22:01,222.5017,1154.5317,868.5207
242,2.41,01:11:58.22:02,219.8103,1135.357,861.8283
243,2.42,01:11:58.22:03,217.2627,1115.4569999999999,854.9760000000001
244,2.43,01:11:58.23:00,213.4433,1095.3,847.6443
245,2.44,01:11:58.23:01,209.0287,1075.138,840.1953
246,2.45,01:11:58.23:02,210.658,1055.2087,828.677
247,2.46,01:11:58.23:03,208.0297,1034.8553,818.3497
248,2.47,01:11:58.24:00,204.3993,1015.0497,807.3693
249,2.48,01:11:58.24:01,202.5507,994.817,794.88
250,2.49,01:11:58.24:02,201.0597,974.9760000000001,781.8493
251,2.5,01:11:58.24:03,199.649,956.1610000000001,769.0353
252,2.51,01:11:59.00:00,198.4463,937.7897,755.041
253,2.52,01:11:59.00:01,196.8567,919.9817,740.5447
254,2.53,01:11:59.00:02,196.018,903.035,725.6003
255,2.54,01:11:59.00:03,194.5953,886.492,710.5077
256,2.55,01:11:59.01:00,193.8073,871.4063,694.9977
257,2.56,01:11:59.01:01,193.326,857.2723,679.4147
258,2.57,01:11:59.01:02,193.03799999999998,844.2297,664.3689999999999
259,2.58,01:11:59.01:03,192.794,832.0617,649.0377
260,2.59,01:11:59.02:00,192.6493,820.8803,633.934
261,2.6,01:11:59.02:01,192.5707,810.6233,619.1363
262,2.61,01:11:59.02:02,192.525,801.23,604.6973
263,2.62,01:11:59.02:03,192.4863,792.696,590.7343
264,2.63,01:11:59.03:00,192.4,784.9937,577.3777
265,2.64,01:11:59.03:01,192.485,778.0337,564.7483
266,2.65,01:11:59.03:02,192.5197,771.8747,552.7143
267,2.66,01:11:59.03:03,192.5027,766.2837,541.4197
268,2.67,01:11:59.04:00,192.5157,761.255,530.6187
269,2.68,01:11:59.04:01,192.5947,756.7157,520.2533
270,2.69,01:11:59.04:02,192.7163,752.571,510.2593
271,2.7,01:11:59.04:03,192.7657,748.8789999999999,500.2927
272,2.71,01:11:59.05:00,193.00799999999998,745.4657,491.032
273,2.72,01:11:59.05:01,193.4963,742.3113,482.476
274,2.73,01:11:59.05:02,193.6663,739.4677,474.087
275,2.74,01:11:59.05:03,193.6877,736.9077,466.0307
276,2.75,01:11:59.06:00,193.514,734.6517,458.1733
277,2.76,01:11:59.06:01,193.2513,732.5477,450.5167
278,2.77,01:11:59.06:02,192.7873,730.7337,443.1917
279,2.78,01:11:59.06:03,192.2227,729.1583,436.149
280,2.79,01:11:59.07:00,191.5807,727.7377,429.5117
281,2.8,01:11:59.07:01,190.8103,726.4157,423.3263
282,2.81,01:11:59.07:02,189.949,725.345,417.3543
283,2.82,01:11:59.07:03,188.9267,724.4553,411.856
284,2.83,01:11:59.08:00,187.9883,723.3960000000001,406.721
285,2.84,01:11:59.08:01,186.81599999999997,722.6167,401.6857
286,2.85,01:11:59.08:02,185.6277,721.8910000000001,396.9783
287,2.86,01:11:59.08:03,184.2793,721.3639999999999,392.3197
288,2.87,01:11:59.09:00,183.0293,720.9097,388.12300000000005
289,2.88,01:11:59.09:01,181.926,720.5463,384.1797
290,2.89,01:11:59.09:02,180.8907,720.297,380.4363
291,2.9,01:11:59.09:03,179.8783,720.3057,376.8193
292,2.91,01:11:59.10:00,178.683,720.7883,373.1013
293,2.92,01:11:59.10:01,177.655,721.055,369.9007
294,2.93,01:11:59.10:02,176.5907,721.4827,366.8673
295,2.94,01:11:59.10:03,175.40599999999998,722.0037,364.0533
296,2.95,01:11:59.11:00,174.549,721.8777,361.2303
297,2.96,01:11:59.11:01,174.3013,721.5813,358.5693
298,2.97,01:11:59.11:02,173.5433,721.9763,356.371
299,2.98,01:11:59.11:03,172.8683,722.0787,354.2027
300,2.99,01:11:59.12:00,172.3373,722.0577,352.298
301,3.0,01:11:59.12:01,171.9857,721.9883,350.4697
302,3.01,01:11:59.12:02,172.6733,721.4417,349.4987
303,3.02,01:11:59.12:03,174.2407,721.6873,348.019
304,3.03,01:11:59.13:00,174.17700000000002,721.5997,346.834
305,3.04,01:11:59.13:01,174.3537,721.5627,346.0733
306,3.05,01:11:59.13:02,174.5193,721.5303,345.0727
307,3.06,01:11:59.13:03,174.7797,721.508,344.2327
308,3.07,01:11:59.14:00,174.8173,721.5077,343.2483
309,3.08,01:11:59.14:01,175.0283,721.5317,342.2843
310,3.09,01:11:59.14:02,175.0077,721.529,341.101
311,3.1,01:11:59.14:03,175.22400000000002,721.5889999999999,340.069
312,3.11,01:11:59.15:00,175.3783,721.5673,339.0137
313,3.12,01:11:59.15:01,175.4787,721.5537,337.95599999999996
314,3.13,01:11:59.15:02,175.66400000000002,721.5257,336.782
315,3.14,01:11:59.15:03,175.734,721.4713,335.6447
316,3.15,01:11:59.16:00,175.6613,721.4473,334.4153
317,3.16,01:11:59.16:01,175.8117,721.3760000000001,333.1673
318,3.17,01:11:59.16:02,176.6137,721.283,332.0193
319,3.18,01:11:59.16:03,177.0507,721.2473,330.9933
320,3.19,01:11:59.17:00,177.1473,721.1833,329.8787
321,3.2,01:11:59.17:01,177.4893,721.1573,328.805
322,3.21,01:11:59.17:02,177.8673,721.0993,327.75300000000004
323,3.22,01:11:59.17:03,178.09799999999998,721.0137,326.825
324,3.23,01:11:59.18:00,178.377,720.9687,325.9817
325,3.24,01:11:59.18:01,178.7417,720.8323,325.0913
326,3.25,01:11:59.18:02,178.9993,720.7217,324.3457
327,3.26,01:11:59.18:03,179.2137,720.5623,323.6107
328,3.27,01:11:59.19:00,179.4917,720.4233,322.9367
329,3.28,01:11:59.19:01,179.798,720.2877,322.2147
330,3.29,01:11:59.19:02,179.9973,720.1637,321.6253
331,3.3,01:11:59.19:03,180.08599999999998,720.0089999999999,321.001
332,3.31,01:11:59.20:00,180.1937,719.8837,320.402
333,3.32,01:11:59.20:01,180.3927,719.7557,319.827
334,3.33,01:11:59.20:02,180.65099999999998,719.615,319.2867
335,3.34,01:11:59.20:03,180.8323,719.434,318.806
336,3.35,01:11:59.21:00,181.0067,719.2057,318.4003
337,3.36,01:11:59.21:01,181.2103,719.0177,317.949
338,3.37,01:11:59.21:02,181.5003,718.8093,317.5487
339,3.38,01:11:59.21:03,181.7923,718.63,317.1473
340,3.39,01:11:59.22:00,181.9393,718.5273,316.558
341,3.4,01:11:59.22:01,180.505,718.2567,316.6167
342,3.41,01:11:59.22:02,180.7143,718.1607,316.318
343,3.42,01:11:59.22:03,180.8963,718.081,316.0153
344,3.43,01:11:59.23:00,181.077,718.0163,315.71299999999997
345,3.44,01:11:59.23:01,181.225,717.9683,315.3963
346,3.45,01:11:59.23:02,181.3663,717.9353,315.116
347,3.46,01:11:59.23:03,181.5217,717.86,314.8497
348,3.47,01:11:59.24:00,181.6493,717.8147,314.6297
349,3.48,01:11:59.24:01,181.7803,717.7473,314.4097
350,3.49,01:11:59.24:02,181.8857,717.6747,314.1767
351,3.5,01:11:59.24:03,182.013,717.5837,313.9643
352,3.51,01:12:00.00:00,181.0727,717.79,313.9053
353,3.52,01:12:00.00:01,181.14700000000002,717.6747,313.731
354,3.53,01:12:00.00:02,181.2073,717.67,313.6167
355,3.54,01:12:00.00:03,181.3107,717.6057,313.4777
356,3.55,01:12:00.01:00,181.31,717.4677,313.2983
357,3.56,01:12:00.01:01,181.43400000000003,717.4077,313.163
358,3.57,01:12:00.01:02,181.61900000000003,717.3423,313.0407
359,3.58,01:12:00.01:03,181.804,717.2460000000001,312.9283
360,3.59,01:12:00.02:00,181.7957,717.1037,312.776
361,3.6,01:12:00.02:01,181.8857,717.02,312.6557
362,3.61,01:12:00.02:02,181.9573,716.9457,312.5277
363,3.62,01:12:00.02:03,181.972,716.8589999999999,312.3913
364,3.63,01:12:00.03:00,181.957,716.7863,312.2653
365,3.64,01:12:00.03:01,181.9033,716.679,312.1123
366,3.65,01:12:00.03:02,181.8243,716.5813,311.96299999999997
367,3.66,01:12:00.03:03,181.7223,716.5027,311.8307
368,3.67,01:12:00.04:00,181.6023,716.382,311.6587
369,3.68,01:12:00.04:01,181.4693,716.331,311.5117
370,3.69,01:12:00.04:02,181.3183,716.2537,311.332
371,3.7,01:12:00.04:03,181.1587,716.2139999999999,311.1977
372,3.71,01:12:00.05:00,180.9903,716.173,311.0497
373,3.72,01:12:00.05:01,180.7917,716.163,310.9183
374,3.73,01:12:00.05:02,180.6067,716.1560000000001,310.7933
375,3.74,01:12:00.05:03,180.403,716.163,310.6647
376,3.75,01:12:00.06:00,180.1693,716.16,310.5237
377,3.76,01:12:00.06:01,179.94799999999998,716.1913,310.397
378,3.77,01:12:00.06:02,178.717,716.2923,309.4253
379,3.78,01:12:00.06:03,178.4773,716.3413,309.2953
380,3.79,01:12:00.07:00,178.2563,716.3717,309.166
381,3.8,01:12:00.07:01,177.99900000000002,716.445,309.03
382,3.81,01:12:00.07:02,177.733,716.5253,308.8673
383,3.82,01:12:00.07:03,177.4733,716.5777,308.6943
384,3.83,01:12:00.08:00,177.1723,716.6433,308.497
385,3.84,01:12:00.08:01,176.9553,716.6893,308.33
386,3.85,01:12:00.08:02,176.6953,716.7607,308.133
387,3.86,01:12:00.08:03,176.458,716.815,307.9207
388,3.87,01:12:00.09:00,176.2053,716.8717,307.6777
389,3.88,01:12:00.09:01,176.0067,716.8917,307.4567
390,3.89,01:12:00.09:02,175.8417,716.9137,307.2143
391,3.9,01:12:00.09:03,175.6633,716.9077,306.9597
392,3.91,01:12:00.10:00,175.5537,716.91,306.71
393,3.92,01:12:00.10:01,175.4573,716.8993,306.4383
394,3.93,01:12:00.10:02,175.43900000000002,716.88,306.1747
395,3.94,01:12:00.10:03,175.4283,716.8697,305.888
396,3.95,01:12:00.11:00,175.493,716.8417,305.6127
397,3.96,01:12:00.11:01,175.55200000000002,716.8077,305.3343
398,3.97,01:12:00.11:02,175.6463,716.7919999999999,305.08
399,3.98,01:12:00.11:03,175.75599999999997,716.76,304.811
