Frame,Time,SMPTE,bar_left_hip_x,bar_left_hip_y,bar_left_hip_z
1,0.0,01:11:56.12:01,208.718,1015.416,207.4345
2,0.01,01:11:56.12:02,208.5805,1015.442,207.43400000000003
3,0.02,01:11:56.12:03,208.4355,1015.4635,207.428
4,0.03,01:11:56.13:00,208.524,1015.4810000000001,208.1305
5,0.04,01:11:56.13:01,208.2735,1015.5975,207.9765
6,0.05,01:11:56.13:02,208.104,1015.6055,207.9925
7,0.06,01:11:56.13:03,207.976,1015.5,207.7565
8,0.07,01:11:56.14:00,207.762,1015.4725,207.74
9,0.08,01:11:56.14:01,207.5185,1015.4689999999999,207.7105
10,0.09,01:11:56.14:02,207.257,1015.449,207.6625
11,0.1,01:11:56.14:03,207.0155,1015.4205,207.58700000000002
12,0.11,01:11:56.15:00,206.7575,1015.3975,207.5055
13,0.12,01:11:56.15:01,206.4175,1015.4995,207.6165
14,0.13,01:11:56.15:02,206.1355,1015.4839999999999,207.497
15,0.14,01:11:56.15:03,205.87099999999998,1015.4575,207.40900000000002
16,0.15,01:11:56.16:00,205.6115,1015.436,207.291
17,0.16,01:11:56.16:01,205.3675,1015.4175,207.1665
18,0.17,01:11:56.16:02,205.113,1015.398,207.0505
19,0.18,01:11:56.16:03,204.8715,1015.3825,206.9245
20,0.19,01:11:56.17:00,204.645,1015.383,206.7975
21,0.2,01:11:56.17:01,204.40599999999998,1015.3810000000001,206.655
22,0.21,01:11:56.17:02,204.188,1015.3825,206.5135
23,0.22,01:11:56.17:03,203.9675,1015.3765,206.3565
24,0.23,01:11:56.18:00,203.775,1015.3705,206.2045
25,0.24,01:11:56.18:01,203.614,1015.3789999999999,206.0625
26,0.25,01:11:56.18:02,203.44,1015.39,205.895
27,0.26,01:11:56.18:03,203.3075,1015.3965,205.752
28,0.27,01:11:56.19:00,203.1795,1015.405,205.609
29,0.28,01:11:56.19:01,203.0755,1015.43,205.458
30,0.29,01:11:56.19:02,202.96900000000002,1015.461,205.299
31,0.3,01:11:56.19:03,202.9045,1015.5135,205.135
32,0.31,01:11:56.20:00,202.8415,1015.5445,204.9875
33,0.32,01:11:56.20:01,202.7795,1015.582,204.8355
34,0.33,01:11:56.20:02,202.71900000000002,1015.6165,204.679
35,0.34,01:11:56.20:03,202.6855,1015.6475,204.53099999999998
36,0.35,01:11:56.21:00,202.6425,1015.6585,204.38099999999997
37,0.36,01:11:56.21:01,202.608,1015.679,204.2605
38,0.37,01:11:56.21:02,202.55900000000003,1015.696,204.138
39,0.38,01:11:56.21:03,202.5315,1015.706,204.0205
40,0.39,01:11:56.22:00,202.4945,1015.738,203.9115
41,0.4,01:11:56.22:01,202.46,1015.77,203.792
42,0.41,01:11:56.22:02,202.4235,1015.7785,203.6765
43,0.42,01:11:56.22:03,202.385,1015.797,203.5855
44,0.43,01:11:56.23:00,202.37599999999998,1015.8185,203.4655
45,0.44,01:11:56.23:01,202.3335,1015.827,203.386
46,0.45,01:11:56.23:02,202.3285,1015.847,203.28099999999998
47,0.46,01:11:56.23:03,202.3155,1015.855,203.1795
48,0.47,01:11:56.24:00,202.30200000000002,1015.8789999999999,203.0865
49,0.48,01:11:56.24:01,202.2875,1015.88,202.9885
50,0.49,01:11:56.24:02,202.3045,1015.909,202.90900000000002
51,0.5,01:11:56.24:03,202.3135,1015.925,202.8155
52,0.51,01:11:57.00:00,202.32299999999998,1015.9445,202.735
53,0.52,01:11:57.00:01,202.356,1015.962,202.657
54,0.53,01:11:57.00:02,202.38099999999997,1015.965,202.5835
55,0.54,01:11:57.00:03,202.41299999999998,1015.9680000000001,202.5045
56,0.55,01:11:57.01:00,202.452,1015.9795,202.445
57,0.56,01:11:57.01:01,202.483,1015.992,202.3835
58,0.57,01:11:57.01:02,202.507,1016.002,202.325
59,0.58,01:11:57.01:03,202.5505,1016.0125,202.2755
60,0.59,01:11:57.02:00,202.578,1016.043,202.2165
61,0.6,01:11:57.02:01,202.6225,1016.0930000000001,202.155
62,0.61,01:11:57.02:02,202.6545,1016.125,202.09099999999998
63,0.62,01:11:57.02:03,202.6785,1016.154,202.0335
64,0.63,01:11:57.03:00,202.6905,1016.188,201.9815
65,0.64,01:11:57.03:01,202.7045,1016.2105,201.937
66,0.65,01:11:57.03:02,202.707,1016.215,201.8925
67,0.66,01:11:57.03:03,202.71099999999998,1016.232,201.8545
68,0.67,01:11:57.04:00,202.7085,1016.2425,201.808
69,0.68,01:11:57.04:01,202.7125,1016.245,201.774
70,0.69,01:11:57.04:02,202.7165,1016.24,201.767
71,0.7,01:11:57.04:03,202.71400000000003,1016.2355,201.7425
72,0.71,01:11:57.05:00,202.7045,1016.2165,201.72099999999998
73,0.72,01:11:57.05:01,202.696,1016.2189999999999,201.7
74,0.73,01:11:57.05:02,202.6995,1016.21,201.6895
75,0.74,01:11:57.05:03,202.71599999999998,1016.206,201.6675
76,0.75,01:11:57.06:00,202.747,1016.2115,201.6575
77,0.76,01:11:57.06:01,202.7825,1016.2245,201.66099999999997
78,0.77,01:11:57.06:02,202.827,1016.23,201.6715
79,0.78,01:11:57.06:03,202.87,1016.2395,201.665
80,0.79,01:11:57.07:00,202.92700000000002,1016.2330000000001,201.679
81,0.8,01:11:57.07:01,202.984,1016.242,201.6925
82,0.81,01:11:57.07:02,203.0535,1016.242,201.697
83,0.82,01:11:57.07:03,203.11599999999999,1016.2405,201.71200000000002
84,0.83,01:11:57.08:00,203.179,1016.2465,201.74900000000002
85,0.84,01:11:57.08:01,203.24200000000002,1016.2345,201.7775
