Frame,Time,SMPTE,bar_left_knee_x,bar_left_knee_y,bar_left_knee_z
1,0.0,01:11:56.12:01,256.1855,444.2485,178.75900000000001
2,0.01,01:11:56.12:02,256.0845,444.245,178.771
3,0.02,01:11:56.12:03,256.025,444.25300000000004,178.7585
4,0.03,01:11:56.13:00,255.798,444.2325,178.7915
5,0.04,01:11:56.13:01,255.66299999999998,444.2245,178.676
6,0.05,01:11:56.13:02,255.597,444.217,178.6885
7,0.06,01:11:56.13:03,255.58700000000002,444.2205,178.71
8,0.07,01:11:56.14:00,255.5885,444.215,178.734
9,0.08,01:11:56.14:01,255.6355,444.217,178.766
10,0.09,01:11:56.14:02,255.6885,444.221,178.81099999999998
11,0.1,01:11:56.14:03,255.7585,444.217,178.83900000000003
12,0.11,01:11:56.15:00,255.826,444.211,178.87599999999998
13,0.12,01:11:56.15:01,255.885,444.216,178.89
14,0.13,01:11:56.15:02,255.9155,444.2295,178.888
15,0.14,01:11:56.15:03,255.9115,444.223,178.8665
16,0.15,01:11:56.16:00,255.895,444.214,178.8175
17,0.16,01:11:56.16:01,255.8495,444.22,178.747
18,0.17,01:11:56.16:02,255.787,444.218,178.6595
19,0.18,01:11:56.16:03,255.702,444.2335,178.5565
20,0.19,01:11:56.17:00,255.605,444.236,178.43200000000002
21,0.2,01:11:56.17:01,255.47400000000002,444.2615,178.327
22,0.21,01:11:56.17:02,255.308,444.283,178.2085
23,0.22,01:11:56.17:03,255.1315,444.2975,178.082
24,0.23,01:11:56.18:00,254.9455,444.3105,177.949
25,0.24,01:11:56.18:01,254.762,444.31,177.80599999999998
26,0.25,01:11:56.18:02,254.558,444.31800000000004,177.697
27,0.26,01:11:56.18:03,254.35,444.324,177.584
28,0.27,01:11:56.19:00,254.108,444.32599999999996,177.482
29,0.28,01:11:56.19:01,253.8665,444.3545,177.4025
30,0.29,01:11:56.19:02,253.604,444.3695,177.304
31,0.3,01:11:56.19:03,253.3305,444.404,177.206
32,0.31,01:11:56.20:00,253.06799999999998,444.415,177.1285
33,0.32,01:11:56.20:01,252.81400000000002,444.4135,177.048
34,0.33,01:11:56.20:02,252.5465,444.4455,176.94799999999998
35,0.34,01:11:56.20:03,252.2865,444.4455,176.8335
36,0.35,01:11:56.21:00,252.0465,444.44699999999995,176.7515
37,0.36,01:11:56.21:01,251.828,444.4415,176.66099999999997
38,0.37,01:11:56.21:02,251.6035,444.44199999999995,176.574
39,0.38,01:11:56.21:03,251.3855,444.42900000000003,176.4915
40,0.39,01:11:56.22:00,251.176,444.4205,176.422
41,0.4,01:11:56.22:01,250.9855,444.435,176.361
42,0.41,01:11:56.22:02,250.83599999999998,444.4445,176.2955
43,0.42,01:11:56.22:03,250.6855,444.4475,176.2375
44,0.43,01:11:56.23:00,250.56400000000002,444.4555,176.183
45,0.44,01:11:56.23:01,250.4415,444.4615,176.1295
46,0.45,01:11:56.23:02,250.352,444.46,176.085
47,0.46,01:11:56.23:03,250.27,444.4495,176.0135
48,0.47,01:11:56.24:00,250.19099999999997,444.449,175.97299999999998
49,0.48,01:11:56.24:01,250.1235,444.44300000000004,175.9175
50,0.49,01:11:56.24:02,250.0555,444.43,175.868
51,0.5,01:11:56.24:03,249.9885,444.4255,175.828
52,0.51,01:11:57.00:00,249.912,444.42699999999996,175.7855
53,0.52,01:11:57.00:01,249.828,444.41,175.7395
54,0.53,01:11:57.00:02,249.7585,444.4045,175.679
55,0.54,01:11:57.00:03,249.65599999999998,444.3885,175.6215
56,0.55,01:11:57.01:00,249.554,444.3855,175.56
57,0.56,01:11:57.01:01,249.459,444.3925,175.5185
58,0.57,01:11:57.01:02,249.3335,444.3955,175.489
59,0.58,01:11:57.01:03,249.2135,444.38800000000003,175.46400000000003
60,0.59,01:11:57.02:00,249.092,444.381,175.44799999999998
61,0.6,01:11:57.02:01,248.9585,444.389,175.4195
62,0.61,01:11:57.02:02,248.8165,444.3765,175.407
63,0.62,01:11:57.02:03,248.72099999999998,444.385,175.3765
64,0.63,01:11:57.03:00,248.628,444.37199999999996,175.3605
65,0.64,01:11:57.03:01,248.5685,444.37,175.34599999999998
66,0.65,01:11:57.03:02,248.5155,444.3715,175.3305
67,0.66,01:11:57.03:03,248.4945,444.3655,175.3025
68,0.67,01:11:57.04:00,248.49400000000003,444.36400000000003,175.28400000000002
69,0.68,01:11:57.04:01,248.52900000000002,444.3555,175.2695
70,0.69,01:11:57.04:02,248.584,444.34,175.235
71,0.7,01:11:57.04:03,248.6445,444.3395,175.22
72,0.71,01:11:57.05:00,248.7235,444.3325,175.2
73,0.72,01:11:57.05:01,248.80200000000002,444.32,175.1925
74,0.73,01:11:57.05:02,248.8885,444.3215,175.18099999999998
75,0.74,01:11:57.05:03,248.94,444.32,175.17700000000002
76,0.75,01:11:57.06:00,248.99200000000002,444.311,175.187
77,0.76,01:11:57.06:01,249.028,444.3155,175.1785
78,0.77,01:11:57.06:02,249.05599999999998,444.3245,175.1675
79,0.78,01:11:57.06:03,249.07299999999998,444.3175,175.166
80,0.79,01:11:57.07:00,249.074,444.32199999999995,175.1765
81,0.8,01:11:57.07:01,249.1065,444.3175,175.1925
82,0.81,01:11:57.07:02,249.122,444.31,175.185
83,0.82,01:11:57.07:03,249.13400000000001,444.327,175.1955
84,0.83,01:11:57.08:00,249.1745,444.3085,175.202
85,0.84,01:11:57.08:01,249.1995,444.31300000000005,175.208
86,0.85,01:11:57.08:02,249.25099999999998,444.3145,175.2145
87,0.86,01:11:57.08:03,249.299,444.3195,175.22099999999998
88,0.87,01:11:57.09:00,249.3615,444.30800000000005,175.2305
89,0.88,01:11:57.09:01,249.4175,444.2945,175.2455
90,0.89,01:11:57.09:02,249.481,444.288,175.24400000000003
91,0.9,01:11:57.09:03,249.5325,444.3015,175.2735
92,0.91,01:11:57.10:00,249.59099999999998,444.2895,175.282
93,0.92,01:11:57.10:01,249.6415,444.295,175.292
94,0.93,01:11:57.10:02,249.69400000000002,444.289,175.3135
95,0.94,01:11:57.10:03,249.738,444.274,175.3325
96,0.95,01:11:57.11:00,249.8005,444.2595,175.35299999999998
97,0.96,01:11:57.11:01,249.8555,444.26300000000003,175.3655
98,0.97,01:11:57.11:02,249.9005,444.25300000000004,175.3895
99,0.98,01:11:57.11:03,249.952,444.2405,175.4235
100,0.99,01:11:57.12:00,249.99099999999999,444.24,175.44299999999998
101,1.0,01:11:57.12:01,250.03599999999997,444.236,175.458
102,1.01,01:11:57.12:02,250.0755,444.2375,175.4925
103,1.02,01:11:57.12:03,250.106,444.236,175.52
104,1.03,01:11:57.13:00,250.1445,444.2305,175.551
105,1.04,01:11:57.13:01,250.2,444.219,175.583
106,1.05,01:11:57.13:02,250.2635,444.211,175.606
107,1.06,01:11:57.13:03,250.3255,444.235,175.644
108,1.07,01:11:57.14:00,250.393,444.213,175.6765
109,1.08,01:11:57.14:01,250.4595,444.213,175.7115
110,1.09,01:11:57.14:02,250.5515,444.1965,175.74
111,1.1,01:11:57.14:03,250.6325,444.1895,175.77900000000002
112,1.11,01:11:57.15:00,250.7245,444.1745,175.81599999999997
113,1.12,01:11:57.15:01,250.79,444.1805,175.8605
114,1.13,01:11:57.15:02,250.88,444.1825,175.8905
115,1.14,01:11:57.15:03,250.955,444.1725,175.93400000000003
116,1.15,01:11:57.16:00,251.049,444.167,175.9875
117,1.16,01:11:57.16:01,251.127,444.1685,176.0155
118,1.17,01:11:57.16:02,251.21900000000002,444.163,176.0585
119,1.18,01:11:57.16:03,251.334,444.164,176.0945
120,1.19,01:11:57.17:00,251.438,444.1525,176.137
121,1.2,01:11:57.17:01,251.54,444.1505,176.1745
122,1.21,01:11:57.17:02,251.623,444.1495,176.2255
123,1.22,01:11:57.17:03,251.713,444.1425,176.25099999999998
