Frame,Time,SMPTE,bar_right_ankle_x,bar_right_ankle_y,bar_right_ankle_z
1,0.0,01:34:10.22:02,793.24,40.884,173.16400000000002
2,0.01,01:34:10.22:03,793.2230000000001,40.879,173.176
3,0.02,01:34:10.23:00,793.2130000000001,40.891999999999996,173.2
4,0.03,01:34:10.23:01,792.5160000000001,43.098,172.898
5,0.04,01:34:10.23:02,792.855,43.027,173.03400000000002
6,0.05,01:34:10.23:03,792.845,43.037,173.076
7,0.06,01:34:10.24:00,792.87,43.05,173.051
8,0.07,01:34:10.24:01,792.8610000000001,43.037,173.042
9,0.08,01:34:10.24:02,792.8689999999999,43.027,173.067
10,0.09,01:34:10.24:03,792.855,43.052,173.093
11,0.1,01:34:11.00:00,792.87,43.027,173.078
12,0.11,01:34:11.00:01,792.863,43.00899999999999,173.12599999999998
13,0.12,01:34:11.00:02,792.878,43.008,173.13299999999998
14,0.13,01:34:11.00:03,792.893,42.988,173.11700000000002
15,0.14,01:34:11.01:00,792.8710000000001,42.995,173.157
16,0.15,01:34:11.01:01,792.86,42.979,173.15099999999998
17,0.16,01:34:11.01:02,792.8589999999999,43.004,173.122
18,0.17,01:34:11.01:03,792.847,42.985,173.114
19,0.18,01:34:11.02:00,792.8389999999999,43.005,173.145
20,0.19,01:34:11.02:01,792.829,43.0,173.142
21,0.2,01:34:11.02:02,792.825,42.989,173.15400000000002
22,0.21,01:34:11.02:03,792.816,42.997,173.174
23,0.22,01:34:11.03:00,792.821,43.015,173.176
24,0.23,01:34:11.03:01,792.814,42.994,173.16
25,0.24,01:34:11.03:02,792.8,43.008,173.202
26,0.25,01:34:11.03:03,792.817,42.993,173.183
27,0.26,01:34:11.04:00,792.823,42.989,173.21
28,0.27,01:34:11.04:01,792.818,42.982,173.209
29,0.28,01:34:11.04:02,792.812,43.007,173.208
30,0.29,01:34:11.04:03,792.814,43.001000000000005,173.197
31,0.3,01:34:11.05:00,792.8,43.019,173.225
32,0.31,01:34:11.05:01,792.803,43.003,173.227
33,0.32,01:34:11.05:02,792.802,42.974,173.21099999999998
34,0.33,01:34:11.05:03,792.818,42.968999999999994,173.22
35,0.34,01:34:11.06:00,792.808,42.981,173.234
36,0.35,01:34:11.06:01,792.7860000000001,42.968,173.264
37,0.36,01:34:11.06:02,792.832,42.974,173.243
38,0.37,01:34:11.06:03,792.84,42.961000000000006,173.232
39,0.38,01:34:11.07:00,792.836,42.948,173.267
40,0.39,01:34:11.07:01,792.83,42.964,173.243
41,0.4,01:34:11.07:02,792.834,42.968,173.264
42,0.41,01:34:11.07:03,792.8489999999999,42.973,173.24
43,0.42,01:34:11.08:00,792.836,43.005,173.24900000000002
44,0.43,01:34:11.08:01,792.828,42.978,173.25900000000001
45,0.44,01:34:11.08:02,792.826,43.007,173.273
46,0.45,01:34:11.08:03,792.8,42.988,173.274
47,0.46,01:34:11.09:00,792.824,42.996,173.266
48,0.47,01:34:11.09:01,792.829,42.998000000000005,173.257
49,0.48,01:34:11.09:02,792.822,42.986000000000004,173.27599999999998
50,0.49,01:34:11.09:03,792.802,42.989,173.265
51,0.5,01:34:11.10:00,792.816,42.996,173.293
52,0.51,01:34:11.10:01,792.818,42.983000000000004,173.28799999999998
53,0.52,01:34:11.10:02,792.809,43.0,173.287
54,0.53,01:34:11.10:03,792.809,42.994,173.28400000000002
55,0.54,01:34:11.11:00,792.7769999999999,43.011,173.292
56,0.55,01:34:11.11:01,792.77,43.005,173.287
57,0.56,01:34:11.11:02,792.7769999999999,43.016000000000005,173.299
58,0.57,01:34:11.11:03,792.76,43.013000000000005,173.296
59,0.58,01:34:11.12:00,792.765,43.016000000000005,173.305
60,0.59,01:34:11.12:01,792.752,43.03,173.303
61,0.6,01:34:11.12:02,792.7389999999999,43.028,173.31
62,0.61,01:34:11.12:03,792.763,42.998000000000005,173.293
63,0.62,01:34:11.13:00,792.7669999999999,43.016999999999996,173.283
64,0.63,01:34:11.13:01,792.762,43.023999999999994,173.315
65,0.64,01:34:11.13:02,792.74,42.997,173.30700000000002
66,0.65,01:34:11.13:03,792.745,43.038999999999994,173.30200000000002
67,0.66,01:34:11.14:00,792.737,43.011,173.294
68,0.67,01:34:11.14:01,792.748,42.993,173.294
69,0.68,01:34:11.14:02,792.7330000000001,42.993,173.301
70,0.69,01:34:11.14:03,792.748,43.001000000000005,173.294
71,0.7,01:34:11.14:04,792.745,42.998999999999995,173.299
72,0.71,01:34:11.15:00,792.732,43.019,173.322
73,0.72,01:34:11.15:01,792.745,43.015,173.28
74,0.73,01:34:11.15:02,792.7310000000001,43.012,173.299
75,0.74,01:34:11.15:03,792.7339999999999,43.016000000000005,173.30599999999998
76,0.75,01:34:11.16:00,792.695,43.013999999999996,173.305
77,0.76,01:34:11.16:01,792.701,43.015,173.27200000000002
78,0.77,01:34:11.16:02,792.705,43.018,173.294
79,0.78,01:34:11.16:03,792.702,43.032,173.273
80,0.79,01:34:11.17:00,792.677,43.00899999999999,173.305
81,0.8,01:34:11.17:01,792.682,43.041000000000004,173.301
82,0.81,01:34:11.17:02,792.7230000000001,43.028,173.30200000000002
83,0.82,01:34:11.18:00,792.693,43.036,173.31799999999998
84,0.83,01:34:11.18:01,792.701,43.031000000000006,173.30599999999998
85,0.84,01:34:11.18:02,792.707,43.022,173.328
86,0.85,01:34:11.18:03,792.692,43.053999999999995,173.33700000000002
87,0.86,01:34:11.18:04,792.695,43.052,173.321
88,0.87,01:34:11.19:00,792.689,43.033,173.331
89,0.88,01:34:11.19:01,792.686,43.045,173.294
90,0.89,01:34:11.19:02,792.683,43.026,173.33599999999998
91,0.9,01:34:11.19:03,792.698,43.032,173.308
92,0.91,01:34:11.20:00,792.693,43.053000000000004,173.321
93,0.92,01:34:11.20:01,792.7130000000001,43.04,173.3
94,0.93,01:34:11.20:02,792.698,43.06,173.322
95,0.94,01:34:11.20:03,792.697,43.088,173.31099999999998
96,0.95,01:34:11.21:00,792.677,43.08,173.293
97,0.96,01:34:11.21:01,792.69,43.056999999999995,173.315
98,0.97,01:34:11.21:02,792.707,43.065,173.283
99,0.98,01:34:11.21:03,792.697,43.051,173.305
100,0.99,01:34:11.22:00,792.685,43.053000000000004,173.30700000000002
101,1.0,01:34:11.22:01,792.685,43.052,173.30900000000003
102,1.01,01:34:11.22:02,792.682,43.073,173.298
103,1.02,01:34:11.22:03,792.712,43.056000000000004,173.283
104,1.03,01:34:11.23:00,792.705,43.077,173.27200000000002
105,1.04,01:34:11.23:01,792.686,43.059,173.31099999999998
106,1.05,01:34:11.23:02,792.701,43.077,173.273
107,1.06,01:34:11.23:03,792.688,43.098,173.268
108,1.07,01:34:11.24:00,792.706,43.08,173.292
109,1.08,01:34:11.24:01,792.69,43.088,173.271
110,1.09,01:34:11.24:02,792.69,43.076,173.282
111,1.1,01:34:11.24:03,792.665,43.083999999999996,173.274
112,1.11,01:34:12.00:00,792.659,43.076,173.273
113,1.12,01:34:12.00:01,792.681,43.077,173.257
114,1.13,01:34:12.00:02,792.699,43.104,173.27200000000002
115,1.14,01:34:12.00:03,792.693,43.089,173.271
116,1.15,01:34:12.01:00,792.674,43.102,173.237
117,1.16,01:34:12.01:01,792.71,43.071999999999996,173.24099999999999
118,1.17,01:34:12.01:02,792.712,43.068000000000005,173.25
119,1.18,01:34:12.01:03,792.68,43.086000000000006,173.252
120,1.19,01:34:12.02:00,792.677,43.103,173.25900000000001
121,1.2,01:34:12.02:01,792.697,43.07899999999999,173.25
122,1.21,01:34:12.02:02,792.686,43.096000000000004,173.275
123,1.22,01:34:12.02:03,792.69,43.078,173.25799999999998
124,1.23,01:34:12.03:00,792.692,43.08,173.248
125,1.24,01:34:12.03:01,792.677,43.106,173.24200000000002
126,1.25,01:34:12.03:02,792.685,43.068999999999996,173.25900000000001
127,1.26,01:34:12.03:03,792.689,43.105,173.248
128,1.27,01:34:12.04:00,792.6460000000001,43.101000000000006,173.27599999999998
129,1.28,01:34:12.04:01,792.679,43.071999999999996,173.255
130,1.29,01:34:12.04:02,792.678,43.078,173.263
131,1.3,01:34:12.04:03,792.685,43.07899999999999,173.257
132,1.31,01:34:12.05:00,792.6389999999999,43.075,173.28400000000002
133,1.32,01:34:12.05:01,792.6519999999999,43.062,173.271
134,1.33,01:34:12.05:02,792.62,43.068999999999996,173.263
135,1.34,01:34:12.05:03,792.618,43.088,173.27700000000002
136,1.35,01:34:12.06:00,792.65,43.053999999999995,173.271
137,1.36,01:34:12.06:01,792.584,43.066,173.266
138,1.37,01:34:12.06:02,792.6160000000001,43.074,173.28
139,1.38,01:34:12.06:03,792.5889999999999,43.075,173.28099999999998
140,1.39,01:34:12.07:00,792.597,43.053999999999995,173.275
141,1.4,01:34:12.07:01,792.5989999999999,43.06,173.27599999999998
142,1.41,01:34:12.07:02,792.6110000000001,43.053000000000004,173.268
143,1.42,01:34:12.07:03,792.623,43.056999999999995,173.27900000000002
144,1.43,01:34:12.08:00,792.59,43.066,173.287
145,1.44,01:34:12.08:01,792.602,43.074,173.28099999999998
146,1.45,01:34:12.08:02,792.5889999999999,43.063,173.321
147,1.46,01:34:12.08:03,792.5889999999999,43.071999999999996,173.296
148,1.47,01:34:12.09:00,792.577,43.056000000000004,173.328
149,1.48,01:34:12.09:01,792.579,43.08,173.298
150,1.49,01:34:12.09:02,792.6010000000001,43.071000000000005,173.31599999999997
151,1.5,01:34:12.09:03,792.5880000000001,43.06399999999999,173.31900000000002
152,1.51,01:34:12.10:00,792.6,43.058,173.30900000000003
153,1.52,01:34:12.10:01,792.623,43.09,173.322
154,1.53,01:34:12.10:02,792.597,43.06399999999999,173.313
155,1.54,01:34:12.10:03,792.595,43.068000000000005,173.326
156,1.55,01:34:12.11:00,792.5939999999999,43.071000000000005,173.321
157,1.56,01:34:12.11:01,792.581,43.068999999999996,173.331
158,1.57,01:34:12.11:02,792.5989999999999,43.093999999999994,173.31900000000002
159,1.58,01:34:12.11:03,792.576,43.088,173.34799999999998
160,1.59,01:34:12.12:00,792.5880000000001,43.071000000000005,173.34599999999998
161,1.6,01:34:12.12:01,792.595,43.085,173.34799999999998
162,1.61,01:34:12.12:02,792.612,43.083,173.351
163,1.62,01:34:12.12:03,792.592,43.1,173.352
