Frame,Time,SMPTE,bar_spine_x,bar_spine_y,bar_spine_z
1,0.0,01:34:10.22:02,865.105,1181.3468,294.0277
2,0.01,01:34:10.22:03,865.0065,1181.3465,294.089
3,0.02,01:34:10.23:00,864.9312,1181.3445,294.1322
4,0.03,01:34:10.23:01,864.1828,1181.4542,294.218
5,0.04,01:34:10.23:02,864.2760000000001,1181.4228,294.3368
6,0.05,01:34:10.23:03,864.1902,1181.3978,294.4152
7,0.06,01:34:10.24:00,863.9148,1181.3365,294.3945
8,0.07,01:34:10.24:01,863.811,1181.2948,294.41900000000004
9,0.08,01:34:10.24:02,863.7162,1181.2685,294.4747
10,0.09,01:34:10.24:03,863.6265,1181.2482,294.5003
11,0.1,01:34:11.00:00,863.5445,1181.1998,294.4932
12,0.11,01:34:11.00:01,863.4588,1181.1705,294.532
13,0.12,01:34:11.00:02,863.3915,1181.1152,294.533
14,0.13,01:34:11.00:03,863.3055,1181.0919999999999,294.595
15,0.14,01:34:11.01:00,863.2368,1181.0485,294.60900000000004
16,0.15,01:34:11.01:01,863.185,1181.0333,294.6482
17,0.16,01:34:11.01:02,863.1272,1181.0255,294.71
18,0.17,01:34:11.01:03,863.0652,1180.9968,294.7092
19,0.18,01:34:11.02:00,863.015,1180.9802,294.752
20,0.19,01:34:11.02:01,862.959,1180.9622,294.7842
21,0.2,01:34:11.02:02,862.903,1180.9665,294.8368
22,0.21,01:34:11.02:03,862.842,1180.9662,294.877
23,0.22,01:34:11.03:00,862.7715,1180.9628,294.89799999999997
24,0.23,01:34:11.03:01,862.7032,1180.954,294.9457
25,0.24,01:34:11.03:02,862.6405,1180.9488,294.9722
26,0.25,01:34:11.03:03,862.579,1180.9595,295.0262
27,0.26,01:34:11.04:00,862.5185,1180.9732,295.0648
28,0.27,01:34:11.04:01,862.4412,1180.9518,295.0642
29,0.28,01:34:11.04:02,862.3925,1180.9422,295.0915
30,0.29,01:34:11.04:03,862.3192,1180.9522,295.1335
31,0.3,01:34:11.05:00,862.2613,1180.9518,295.1468
32,0.31,01:34:11.05:01,862.1925,1180.9318,295.1752
33,0.32,01:34:11.05:02,862.1322,1180.9358,295.2208
34,0.33,01:34:11.05:03,862.0892,1180.9148,295.2368
35,0.34,01:34:11.06:00,862.0265,1180.9078,295.2722
36,0.35,01:34:11.06:01,861.9785,1180.9005,295.303
37,0.36,01:34:11.06:02,861.9225,1180.8980000000001,295.3112
38,0.37,01:34:11.06:03,861.8858,1180.8895,295.3702
39,0.38,01:34:11.07:00,861.8255,1180.8765,295.3738
40,0.39,01:34:11.07:01,861.775,1180.8758,295.4132
41,0.4,01:34:11.07:02,861.7222,1180.883,295.4578
42,0.41,01:34:11.07:03,861.6560000000001,1180.8748,295.4632
43,0.42,01:34:11.08:00,861.6092,1180.8625,295.4915
44,0.43,01:34:11.08:01,861.5412,1180.8638,295.5255
45,0.44,01:34:11.08:02,861.4918,1180.854,295.5335
46,0.45,01:34:11.08:03,861.4332,1180.85,295.5682
