Frame,Time,SMPTE,bar_right_elbow_x,bar_right_elbow_y,bar_right_elbow_z
1,0.0,00:34:38.17:01,958.687,1301.4815,-524.8395
2,0.01042,00:34:38.17:02,958.7385,1301.5135,-524.863
3,0.02083,00:34:38.17:03,958.7985,1301.555,-524.885
4,0.03125,00:34:38.18:00,958.832,1301.6005,-524.8995
5,0.04167,00:34:38.18:01,958.8195,1301.5435,-524.83
6,0.052079999999999994,00:34:38.18:02,958.82,1301.729,-524.8645
7,0.0625,00:34:38.18:03,958.8535,1301.786,-524.8795
8,0.07292,00:34:38.19:00,958.8960000000001,1301.8395,-524.9119999999999
9,0.08333,00:34:38.19:01,958.934,1301.899,-524.9315
10,0.09375,00:34:38.19:02,958.9945,1301.951,-524.948
11,0.10417,00:34:38.19:03,959.055,1301.998,-524.9845
12,0.11458,00:34:38.20:00,959.1115,1302.056,-525.02
13,0.125,00:34:38.20:01,959.1445,1302.122,-525.0325
14,0.13542,00:34:38.20:02,959.1825,1302.2089999999998,-525.0715
15,0.14583,00:34:38.20:03,959.2465,1302.2695,-525.095
16,0.15625,00:34:38.21:00,959.3,1302.357,-525.119
17,0.16667,00:34:38.21:01,959.319,1302.463,-525.145
18,0.17708,00:34:38.21:02,959.3535,1302.578,-525.1705
19,0.1875,00:34:38.21:03,959.3755,1302.705,-525.1855
20,0.19792,00:34:38.22:00,959.3805,1302.8485,-525.2180000000001
21,0.20833000000000002,00:34:38.22:01,959.3845,1302.962,-525.237
22,0.21875,00:34:38.22:02,959.377,1303.0810000000001,-525.2815
23,0.22916999999999998,00:34:38.22:03,959.3860000000001,1303.191,-525.308
24,0.23958000000000002,00:34:38.23:00,959.4045,1303.3,-525.3335
25,0.25,00:34:38.23:01,959.419,1303.424,-525.352
26,0.26042,00:34:38.23:02,959.408,1303.5375,-525.3915
27,0.27083,00:34:38.23:03,959.4185,1303.6680000000001,-525.4125
28,0.28125,00:34:38.24:00,959.4295,1303.8115,-525.4335
29,0.29167,00:34:38.24:01,959.424,1303.9555,-525.448
30,0.30208,00:34:38.24:02,959.4075,1304.1265,-525.477
31,0.3125,00:34:38.24:03,959.3755,1304.309,-525.523
32,0.32292,00:34:39.00:00,959.3595,1304.4835,-525.5435
33,0.33333,00:34:39.00:01,959.322,1304.6789999999999,-525.5740000000001
34,0.34375,00:34:39.00:02,959.289,1304.8655,-525.6085
35,0.35417,00:34:39.00:03,959.26,1305.0510000000002,-525.6205
36,0.36458,00:34:39.01:00,959.2130000000001,1305.2425,-525.6775
37,0.375,00:34:39.01:01,959.1765,1305.4135,-525.7085
38,0.38542,00:34:39.01:02,959.0965,1305.5975,-525.7195
39,0.39583,00:34:39.01:03,959.0225,1305.7839999999999,-525.7545
40,0.40625,00:34:39.02:00,958.941,1305.9665,-525.7735
41,0.41667,00:34:39.02:01,958.8515,1306.1105,-525.8085
42,0.42708,00:34:39.02:02,958.7710000000001,1306.241,-525.8335
43,0.4375,00:34:39.02:03,958.692,1306.3110000000001,-525.865
44,0.44792,00:34:39.03:00,958.5985,1306.3495,-525.8955
45,0.45833,00:34:39.03:01,958.4960000000001,1306.3755,-525.9485
46,0.46875,00:34:39.03:02,958.3789999999999,1306.362,-525.9955
47,0.47917,00:34:39.03:03,958.2475,1306.307,-526.0555
48,0.48958,00:34:39.04:00,958.0865,1306.1989999999998,-526.1225
49,0.5,00:34:39.04:01,957.9035,1306.0145,-526.205
50,0.51042,00:34:39.04:02,957.7139999999999,1305.7885,-526.2835
51,0.52083,00:34:39.04:03,957.5055,1305.5115,-526.352
52,0.53125,00:34:39.05:00,957.311,1305.133,-526.4159999999999
53,0.54167,00:34:39.05:01,957.096,1304.7085,-526.4945
54,0.55208,00:34:39.05:02,956.8405,1304.1945,-526.5625
55,0.5625,00:34:39.05:03,956.5665,1303.595,-526.6385
56,0.57292,00:34:39.06:00,956.2655,1302.9560000000001,-526.7695
57,0.58333,00:34:39.06:01,955.9635,1302.18,-526.883
58,0.59375,00:34:39.06:02,955.677,1301.2675,-527.006
59,0.60417,00:34:39.06:03,955.471,1300.1205,-527.0915
60,0.61458,00:34:39.07:00,955.2610000000001,1298.843,-527.198
61,0.625,00:34:39.07:01,955.05,1297.3645,-527.3085
62,0.63542,00:34:39.07:02,954.8235,1295.6845,-527.3695
63,0.64583,00:34:39.07:03,954.5675,1293.8545,-527.4765
64,0.65625,00:34:39.08:00,954.293,1291.705,-527.5525
65,0.66667,00:34:39.08:01,953.926,1289.242,-527.6065
66,0.67708,00:34:39.08:02,953.557,1286.506,-527.6585
67,0.6875,00:34:39.08:03,953.1215,1283.4985,-527.7015
68,0.69792,00:34:39.09:00,952.686,1280.2275,-527.8035
69,0.70833,00:34:39.09:01,952.314,1276.7145,-527.8969999999999
70,0.71875,00:34:39.09:02,952.0039999999999,1272.9095,-527.9445
71,0.72917,00:34:39.09:03,951.7455,1268.76,-527.8775
72,0.73958,00:34:39.10:00,951.5515,1264.2955,-527.7195
73,0.75,00:34:39.10:01,951.53,1259.4585,-527.4915
74,0.76042,00:34:39.10:02,951.5615,1254.1915,-527.0895
75,0.77083,00:34:39.10:03,951.648,1248.6025,-526.52
76,0.78125,00:34:39.11:00,951.5435,1242.6135,-525.752
77,0.79167,00:34:39.11:01,951.2239999999999,1236.308,-524.8475
78,0.80208,00:34:39.11:02,950.6489999999999,1229.7385,-523.8625
79,0.8125,00:34:39.11:03,949.8710000000001,1222.9525,-522.735
80,0.8229200000000001,00:34:39.12:00,948.9985,1215.9605,-521.4545
81,0.8333299999999999,00:34:39.12:01,948.0975,1208.942,-519.997
82,0.84375,00:34:39.12:02,947.1310000000001,1201.906,-518.2455
83,0.8541700000000001,00:34:39.12:03,946.4105,1194.719,-516.2415
84,0.8645799999999999,00:34:39.13:00,945.179,1187.5625,-513.8685
85,0.875,00:34:39.13:01,944.3589999999999,1180.4265,-511.3595
86,0.8854200000000001,00:34:39.13:02,943.6805,1173.5585,-508.8555
87,0.8958299999999999,00:34:39.13:03,943.385,1166.839,-506.32800000000003
88,0.90625,00:34:39.14:00,942.6025,1159.911,-503.3365
89,0.9166700000000001,00:34:39.14:01,941.826,1152.948,-500.0945
90,0.9270799999999999,00:34:39.14:02,941.0465,1145.969,-496.6245
91,0.9375,00:34:39.14:03,940.2675,1138.9815,-492.9775
92,0.9479200000000001,00:34:39.15:00,939.587,1131.9415,-489.0865
93,0.9583299999999999,00:34:39.15:01,938.9475,1125.0135,-485.07800000000003
94,0.96875,00:34:39.15:02,938.33,1118.285,-480.9585
95,0.9791700000000001,00:34:39.15:03,938.074,1111.7145,-476.6405
96,0.9895799999999999,00:34:39.16:00,937.6560000000001,1105.3785,-472.35699999999997
97,1.0,00:34:39.16:01,936.936,1099.1635,-468.00300000000004
98,1.01042,00:34:39.16:02,936.3125,1093.1595,-463.5895
99,1.02083,00:34:39.16:03,935.7485,1087.3385,-459.1235
100,1.03125,00:34:39.17:00,935.3225,1081.7625,-454.6475
101,1.04167,00:34:39.17:01,935.073,1076.4635,-450.1795
102,1.05208,00:34:39.17:02,934.8725,1071.4385,-445.644
103,1.0625,00:34:39.17:03,934.488,1066.628,-441.1915
104,1.07292,00:34:39.18:00,934.4105,1062.049,-436.724
105,1.08333,00:34:39.18:01,934.7460000000001,1057.622,-432.43
106,1.09375,00:34:39.18:02,934.9115,1053.4315,-427.9895
107,1.10417,00:34:39.18:03,935.183,1049.3385,-423.5805
108,1.11458,00:34:39.19:00,935.5945,1045.3975,-419.1375
109,1.125,00:34:39.19:01,936.041,1041.553,-414.663
110,1.13542,00:34:39.19:02,936.5445,1038.0075,-410.18
111,1.14583,00:34:39.19:03,936.8605,1034.6465,-405.719
112,1.15625,00:34:39.20:00,937.035,1031.447,-401.351
