Frame,Time,SMPTE,bar_right_hand_x,bar_right_hand_y,bar_right_hand_z
1,0.0,00:34:38.17:01,934.0073,1366.9657,-891.9857
2,0.01042,00:34:38.17:02,934.37,1366.36,-891.324
3,0.02083,00:34:38.17:03,934.4897,1366.3167,-891.3393
4,0.03125,00:34:38.18:00,933.684,1366.7117,-891.4727
5,0.04167,00:34:38.18:01,933.8510000000001,1365.2923,-891.1577
6,0.052079999999999994,00:34:38.18:02,933.7389999999999,1366.7123,-891.6537
7,0.0625,00:34:38.18:03,934.2243,1367.261,-891.9473
8,0.07292,00:34:38.19:00,934.262,1367.3563,-892.0383
9,0.08333,00:34:38.19:01,934.2943,1367.4029999999998,-892.097
10,0.09375,00:34:38.19:02,934.3663,1367.499,-892.1397
11,0.10417,00:34:38.19:03,934.3910000000001,1367.6533,-892.206
12,0.11458,00:34:38.20:00,934.5577,1367.7797,-892.2139999999999
13,0.125,00:34:38.20:01,936.3053,1368.0683,-892.2793
14,0.13542,00:34:38.20:02,936.4703,1368.265,-892.2787
15,0.14583,00:34:38.20:03,936.579,1368.4417,-892.323
16,0.15625,00:34:38.21:00,936.6563,1368.5857,-892.3373
17,0.16667,00:34:38.21:01,936.663,1368.6783,-892.3243
18,0.17708,00:34:38.21:02,936.7393,1368.7907,-892.345
19,0.1875,00:34:38.21:03,936.779,1368.9293,-892.347
20,0.19792,00:34:38.22:00,936.8463,1369.1203,-892.38
21,0.20833000000000002,00:34:38.22:01,936.8760000000001,1369.3227,-892.403
22,0.21875,00:34:38.22:02,936.9110000000001,1369.5413,-892.3943
23,0.22916999999999998,00:34:38.22:03,936.924,1369.799,-892.3987
24,0.23958000000000002,00:34:38.23:00,936.8873,1370.0143,-892.3987
25,0.25,00:34:38.23:01,936.8710000000001,1370.2979999999998,-892.4203
26,0.26042,00:34:38.23:02,936.825,1370.5383,-892.4087
27,0.27083,00:34:38.23:03,936.7807,1370.751,-892.4113
28,0.28125,00:34:38.24:00,936.7133,1371.0179999999998,-892.4243
29,0.29167,00:34:38.24:01,936.6633,1371.264,-892.404
30,0.30208,00:34:38.24:02,936.5913,1371.5193,-892.43
31,0.3125,00:34:38.24:03,936.555,1371.7567,-892.4367
32,0.32292,00:34:39.00:00,936.5039999999999,1371.9973,-892.4493
33,0.33333,00:34:39.00:01,937.6483,1372.4497,-892.0953
34,0.34375,00:34:39.00:02,937.6410000000001,1372.743,-892.0967
35,0.35417,00:34:39.00:03,937.6253,1373.0903,-892.0817
36,0.36458,00:34:39.01:00,937.5597,1373.4677,-892.0727
37,0.375,00:34:39.01:01,937.4667,1373.7837,-892.048
38,0.38542,00:34:39.01:02,936.41,1373.8763,-892.2719999999999
39,0.39583,00:34:39.01:03,936.5139999999999,1374.255,-892.1963
40,0.40625,00:34:39.02:00,936.2947,1374.6229999999998,-892.2087
41,0.41667,00:34:39.02:01,937.0173,1375.215,-892.0139999999999
42,0.42708,00:34:39.02:02,934.9097,1375.1973,-892.535
43,0.4375,00:34:39.02:03,936.7197,1375.8693,-891.9583
44,0.44792,00:34:39.03:00,936.5169999999999,1376.1983,-891.946
45,0.45833,00:34:39.03:01,935.2633,1376.131,-892.15
46,0.46875,00:34:39.03:02,934.7447,1376.2833,-892.2207
47,0.47917,00:34:39.03:03,935.6610000000001,1376.7153,-891.9553
48,0.48958,00:34:39.04:00,934.1973,1376.3013,-892.2083
49,0.5,00:34:39.04:01,933.762,1376.139,-892.2733
50,0.51042,00:34:39.04:02,933.443,1375.8363,-892.3087
51,0.52083,00:34:39.04:03,932.9933,1375.4147,-892.434
52,0.53125,00:34:39.05:00,932.363,1374.8329999999999,-892.5937
53,0.54167,00:34:39.05:01,931.9093,1374.0827,-892.6783
54,0.55208,00:34:39.05:02,931.4073,1373.2797,-892.8639999999999
55,0.5625,00:34:39.05:03,930.8969999999999,1372.2603,-893.0419999999999
56,0.57292,00:34:39.06:00,930.43,1371.075,-893.263
57,0.58333,00:34:39.06:01,930.154,1369.6833,-893.419
58,0.59375,00:34:39.06:02,929.4733,1368.019,-893.671
59,0.60417,00:34:39.06:03,928.919,1366.1857,-893.9147
60,0.61458,00:34:39.07:00,928.1277,1364.2617,-894.3380000000001
61,0.625,00:34:39.07:01,927.5397,1361.606,-894.569
62,0.63542,00:34:39.07:02,926.688,1359.162,-894.9727
63,0.64583,00:34:39.07:03,925.8467,1356.1453,-895.2853
64,0.65625,00:34:39.08:00,925.112,1352.65,-895.5987
65,0.66667,00:34:39.08:01,924.299,1348.7057,-895.9387
66,0.67708,00:34:39.08:02,923.7227,1344.1417,-896.2517
67,0.6875,00:34:39.08:03,923.1853,1338.9893,-896.6543
68,0.69792,00:34:39.09:00,922.953,1333.0063,-896.8897
69,0.70833,00:34:39.09:01,922.802,1326.4857,-897.2537
70,0.71875,00:34:39.09:02,922.6080000000001,1319.3163,-897.5593
71,0.72917,00:34:39.09:03,923.176,1311.594,-897.5747
72,0.73958,00:34:39.10:00,922.3937,1302.8213,-897.79
73,0.75,00:34:39.10:01,921.268,1293.254,-897.8960000000001
74,0.76042,00:34:39.10:02,919.7823,1282.937,-897.8647
75,0.77083,00:34:39.10:03,917.9630000000001,1271.7373,-897.5597
76,0.78125,00:34:39.11:00,915.8507,1259.6403,-897.198
77,0.79167,00:34:39.11:01,911.3843,1246.683,-896.2593
78,0.80208,00:34:39.11:02,908.4297,1232.6277,-895.6507
79,0.8125,00:34:39.11:03,905.5117,1217.596,-894.7493
80,0.8229200000000001,00:34:39.12:00,904.7667,1201.8593,-892.7719999999999
81,0.8333299999999999,00:34:39.12:01,903.42,1185.3483,-890.4867
82,0.84375,00:34:39.12:02,902.0353,1168.3033,-887.5763
83,0.8541700000000001,00:34:39.12:03,900.4583,1150.6317,-884.015
84,0.8645799999999999,00:34:39.13:00,899.2567,1133.0943,-879.6410000000001
85,0.875,00:34:39.13:01,898.1647,1115.7113,-874.8663
86,0.8854200000000001,00:34:39.13:02,896.2557,1098.0813,-869.9667
87,0.8958299999999999,00:34:39.13:03,895.6833,1080.617,-863.8067
88,0.90625,00:34:39.14:00,894.0853,1063.1003,-857.8927
89,0.9166700000000001,00:34:39.14:01,892.6047,1045.8157,-851.5160000000001
90,0.9270799999999999,00:34:39.14:02,891.1617,1028.1717,-844.8933
91,0.9375,00:34:39.14:03,890.0953,1011.0417,-838.112
92,0.9479200000000001,00:34:39.15:00,888.8713,995.5207,-830.3363
93,0.9583299999999999,00:34:39.15:01,887.2410000000001,980.1310000000001,-823.2803
94,0.96875,00:34:39.15:02,886.5107,964.8043,-815.5419999999999
95,0.9791700000000001,00:34:39.15:03,885.704,949.8053,-807.5017
96,0.9895799999999999,00:34:39.16:00,885.7589999999999,935.3967,-799.1923
97,1.0,00:34:39.16:01,885.678,921.5377,-790.6373
98,1.01042,00:34:39.16:02,885.699,907.6143,-781.9939999999999
99,1.02083,00:34:39.16:03,886.3847,894.3377,-773.125
100,1.03125,00:34:39.17:00,886.8907,881.4717,-764.148
101,1.04167,00:34:39.17:01,887.4007,869.2317,-755.0133
102,1.05208,00:34:39.17:02,887.919,857.0939999999999,-745.6077
103,1.0625,00:34:39.17:03,888.5093,845.3857,-736.1473
104,1.07292,00:34:39.18:00,889.283,834.7760000000001,-726.9717
105,1.08333,00:34:39.18:01,890.1427,823.9813,-717.5089999999999
106,1.09375,00:34:39.18:02,891.1833,813.783,-708.1697
107,1.10417,00:34:39.18:03,892.2877,804.0697,-698.9443
108,1.11458,00:34:39.19:00,893.5507,794.8703,-689.6377
109,1.125,00:34:39.19:01,894.7013,786.0513,-680.6
110,1.13542,00:34:39.19:02,895.572,777.0227,-671.5957
111,1.14583,00:34:39.19:03,896.794,769.058,-662.738
112,1.15625,00:34:39.20:00,897.9839999999999,761.2863,-653.8457
113,1.16667,00:34:39.20:01,899.3727,753.8693,-644.994
114,1.17708,00:34:39.20:02,900.8197,746.574,-636.257
115,1.1875,00:34:39.20:03,902.6457,739.6837,-627.655
116,1.19792,00:34:39.21:00,904.581,733.2003,-619.2437
117,1.20833,00:34:39.21:01,906.4607,727.071,-610.9987
118,1.21875,00:34:39.21:02,908.242,721.3363,-602.9353
119,1.22917,00:34:39.21:03,909.8573,715.954,-595.005
120,1.23958,00:34:39.22:00,911.3177,710.8610000000001,-587.2577
121,1.25,00:34:39.22:01,912.65,706.0937,-579.7153
122,1.26042,00:34:39.22:02,913.9243,701.6357,-572.504
123,1.27083,00:34:39.22:03,915.2037,697.3603,-565.6007
124,1.28125,00:34:39.23:00,916.5143,693.3083,-559.009
125,1.29167,00:34:39.23:01,917.8267,689.4357,-552.731
126,1.30208,00:34:39.23:02,919.0503,685.8607,-546.8103
127,1.3125,00:34:39.23:03,920.1487,682.5260000000001,-541.1783
