Frame,Time,SMPTE,bar_right_knee_x,bar_right_knee_y,bar_right_knee_z
1,0.0,00:34:38.17:01,952.518,417.224,-189.2885
2,0.01042,00:34:38.17:02,952.5645,417.2315,-189.3005
3,0.02083,00:34:38.17:03,952.6025,417.2345,-189.3245
4,0.03125,00:34:38.18:00,952.4025,417.279,-189.3265
5,0.04167,00:34:38.18:01,952.607,417.276,-189.072
6,0.052079999999999994,00:34:38.18:02,952.3439999999999,417.3115,-189.4785
7,0.0625,00:34:38.18:03,952.3795,417.316,-189.54
8,0.07292,00:34:38.19:00,952.4105,417.3245,-189.5955
9,0.08333,00:34:38.19:01,952.448,417.32599999999996,-189.646
10,0.09375,00:34:38.19:02,952.4789999999999,417.32300000000004,-189.68400000000003
11,0.10417,00:34:38.19:03,952.5115,417.3255,-189.7305
12,0.11458,00:34:38.20:00,952.5635,417.33099999999996,-189.7635
13,0.125,00:34:38.20:01,952.6089999999999,417.33,-189.81
14,0.13542,00:34:38.20:02,952.6339999999999,417.32800000000003,-189.8515
15,0.14583,00:34:38.20:03,952.6845,417.333,-189.8765
16,0.15625,00:34:38.21:00,952.7095,417.332,-189.907
17,0.16667,00:34:38.21:01,952.7495,417.3355,-189.947
18,0.17708,00:34:38.21:02,952.7775,417.3515,-189.9625
19,0.1875,00:34:38.21:03,952.8205,417.3525,-189.99099999999999
20,0.19792,00:34:38.22:00,952.842,417.351,-190.0055
21,0.20833000000000002,00:34:38.22:01,952.8755,417.3535,-190.021
22,0.21875,00:34:38.22:02,952.9,417.3595,-190.0365
23,0.22916999999999998,00:34:38.22:03,952.927,417.3555,-190.0495
24,0.23958000000000002,00:34:38.23:00,952.962,417.3525,-190.0495
25,0.25,00:34:38.23:01,952.9795,417.3565,-190.075
26,0.26042,00:34:38.23:02,952.992,417.3555,-190.101
27,0.27083,00:34:38.23:03,953.0089999999999,417.3445,-190.09799999999998
28,0.28125,00:34:38.24:00,953.0025,417.3515,-190.1145
29,0.29167,00:34:38.24:01,953.0155,417.3515,-190.128
30,0.30208,00:34:38.24:02,953.008,417.351,-190.135
31,0.3125,00:34:38.24:03,953.0189999999999,417.35900000000004,-190.14700000000002
32,0.32292,00:34:39.00:00,953.0195,417.3635,-190.145
33,0.33333,00:34:39.00:01,953.0360000000001,417.35699999999997,-190.1575
34,0.34375,00:34:39.00:02,953.0485,417.3555,-190.1615
35,0.35417,00:34:39.00:03,953.0865,417.358,-190.1815
36,0.36458,00:34:39.01:00,953.0915,417.343,-190.1895
37,0.375,00:34:39.01:01,953.1,417.355,-190.1925
38,0.38542,00:34:39.01:02,953.1265,417.352,-190.208
39,0.39583,00:34:39.01:03,953.1439999999999,417.355,-190.2275
40,0.40625,00:34:39.02:00,953.1475,417.36400000000003,-190.2325
41,0.41667,00:34:39.02:01,953.1555,417.35,-190.247
42,0.42708,00:34:39.02:02,953.1675,417.374,-190.26
43,0.4375,00:34:39.02:03,953.187,417.3635,-190.2675
44,0.44792,00:34:39.03:00,953.1995,417.3745,-190.2775
45,0.45833,00:34:39.03:01,953.19,417.38699999999994,-190.2695
46,0.46875,00:34:39.03:02,953.1895,417.3955,-190.268
47,0.47917,00:34:39.03:03,953.1985,417.409,-190.2705
48,0.48958,00:34:39.04:00,953.2225,417.4025,-190.257
49,0.5,00:34:39.04:01,953.2655,417.4,-190.2675
50,0.51042,00:34:39.04:02,953.3045,417.404,-190.237
51,0.52083,00:34:39.04:03,953.3660000000001,417.416,-190.239
52,0.53125,00:34:39.05:00,953.3919999999999,417.41,-190.227
53,0.54167,00:34:39.05:01,953.4525,417.4075,-190.243
54,0.55208,00:34:39.05:02,953.4945,417.4095,-190.245
55,0.5625,00:34:39.05:03,953.54,417.402,-190.2585
56,0.57292,00:34:39.06:00,953.5635,417.4175,-190.265
57,0.58333,00:34:39.06:01,953.61,417.43699999999995,-190.2825
58,0.59375,00:34:39.06:02,953.627,417.43300000000005,-190.3025
59,0.60417,00:34:39.06:03,953.6519999999999,417.44199999999995,-190.31099999999998
60,0.61458,00:34:39.07:00,953.665,417.454,-190.3475
