Frame,Time,SMPTE,bar_right_wrist_x,bar_right_wrist_y,bar_right_wrist_z
1,0.0,00:34:38.17:01,941.9125,1363.184,-747.059
2,0.01042,00:34:38.17:02,942.0005,1363.1979999999999,-747.0865
3,0.02083,00:34:38.17:03,942.1145,1363.2205,-747.115
4,0.03125,00:34:38.18:00,942.704,1363.217,-747.1030000000001
5,0.04167,00:34:38.18:01,942.7775,1363.1995,-747.128
6,0.052079999999999994,00:34:38.18:02,942.8739999999999,1363.1965,-747.1410000000001
7,0.0625,00:34:38.18:03,942.9585,1363.2385,-747.1775
8,0.07292,00:34:38.19:00,943.028,1363.3035,-747.2095
9,0.08333,00:34:38.19:01,943.122,1363.349,-747.2235
10,0.09375,00:34:38.19:02,943.2025,1363.4385,-747.2565
11,0.10417,00:34:38.19:03,943.2845,1363.517,-747.288
12,0.11458,00:34:38.20:00,943.046,1363.5475,-747.2625
13,0.125,00:34:38.20:01,943.431,1363.731,-747.3305
14,0.13542,00:34:38.20:02,943.495,1363.8265,-747.346
15,0.14583,00:34:38.20:03,943.5445,1363.9389999999999,-747.3715
16,0.15625,00:34:38.21:00,943.6065,1364.036,-747.383
17,0.16667,00:34:38.21:01,943.6669999999999,1364.1555,-747.388
18,0.17708,00:34:38.21:02,943.6835,1364.2820000000002,-747.414
19,0.1875,00:34:38.21:03,943.7495,1364.431,-747.413
20,0.19792,00:34:38.22:00,943.7465,1364.5770000000002,-747.438
21,0.20833000000000002,00:34:38.22:01,943.7795,1364.7385,-747.442
22,0.21875,00:34:38.22:02,943.7815,1364.9035,-747.4739999999999
23,0.22916999999999998,00:34:38.22:03,943.7810000000001,1365.0720000000001,-747.4805
24,0.23958000000000002,00:34:38.23:00,943.7755,1365.246,-747.4765
25,0.25,00:34:38.23:01,943.7615,1365.4385,-747.4755
26,0.26042,00:34:38.23:02,943.7445,1365.6455,-747.49
27,0.27083,00:34:38.23:03,943.694,1365.8415,-747.5089999999999
28,0.28125,00:34:38.24:00,943.69,1366.0285,-747.5039999999999
29,0.29167,00:34:38.24:01,943.6455,1366.2855,-747.5219999999999
30,0.30208,00:34:38.24:02,943.625,1366.5185,-747.5395
31,0.3125,00:34:38.24:03,943.5775,1366.7355,-747.571
32,0.32292,00:34:39.00:00,943.528,1366.981,-747.5755
33,0.33333,00:34:39.00:01,943.495,1367.2415,-747.6
34,0.34375,00:34:39.00:02,943.4110000000001,1367.4815,-747.613
35,0.35417,00:34:39.00:03,943.3580000000001,1367.759,-747.6095
36,0.36458,00:34:39.01:00,943.3,1368.035,-747.5989999999999
37,0.375,00:34:39.01:01,943.2310000000001,1368.2839999999999,-747.5805
38,0.38542,00:34:39.01:02,943.1519999999999,1368.5729999999999,-747.567
39,0.39583,00:34:39.01:03,943.034,1368.8729999999998,-747.5785
40,0.40625,00:34:39.02:00,942.92,1369.1505,-747.58
41,0.41667,00:34:39.02:01,942.7355,1369.4379999999999,-747.597
42,0.42708,00:34:39.02:02,942.528,1369.7089999999998,-747.612
43,0.4375,00:34:39.02:03,942.347,1369.8945,-747.6105
44,0.44792,00:34:39.03:00,942.14,1370.025,-747.632
45,0.45833,00:34:39.03:01,941.9125,1370.0755,-747.6575
46,0.46875,00:34:39.03:02,941.64,1370.0745,-747.705
47,0.47917,00:34:39.03:03,941.3495,1369.985,-747.7660000000001
48,0.48958,00:34:39.04:00,941.0419999999999,1369.856,-747.8285
49,0.5,00:34:39.04:01,940.7295,1369.6275,-747.8885
50,0.51042,00:34:39.04:02,940.3505,1369.3729999999998,-748.084
51,0.52083,00:34:39.04:03,939.992,1368.9360000000001,-748.205
52,0.53125,00:34:39.05:00,939.5575,1368.2735,-748.2265
53,0.54167,00:34:39.05:01,939.1355,1367.601,-748.4515
54,0.55208,00:34:39.05:02,938.6845,1366.766,-748.6510000000001
55,0.5625,00:34:39.05:03,938.2365,1365.755,-748.847
56,0.57292,00:34:39.06:00,937.7765,1364.5770000000002,-749.0695
57,0.58333,00:34:39.06:01,937.2810000000001,1363.1895,-749.301
58,0.59375,00:34:39.06:02,936.7395,1361.6235,-749.4835
59,0.60417,00:34:39.06:03,936.1525,1359.763,-749.727
60,0.61458,00:34:39.07:00,935.5089999999999,1357.775,-750.0275
61,0.625,00:34:39.07:01,934.8965,1355.3995,-750.378
62,0.63542,00:34:39.07:02,934.2265,1352.6925,-750.7465
63,0.64583,00:34:39.07:03,933.637,1349.628,-751.1345
64,0.65625,00:34:39.08:00,932.7135,1346.2025,-751.5915
65,0.66667,00:34:39.08:01,932.173,1342.32,-751.929
66,0.67708,00:34:39.08:02,931.6460000000001,1338.0215,-752.3589999999999
67,0.6875,00:34:39.08:03,931.1135,1333.1765,-752.791
68,0.69792,00:34:39.09:00,930.497,1327.786,-753.347
69,0.70833,00:34:39.09:01,929.7439999999999,1321.825,-753.8760000000001
70,0.71875,00:34:39.09:02,928.87,1315.4285,-754.2739999999999
71,0.72917,00:34:39.09:03,928.3965,1308.9389999999999,-754.6015
72,0.73958,00:34:39.10:00,927.3535,1301.482,-755.013
73,0.75,00:34:39.10:01,926.9035,1293.2365,-754.546
74,0.76042,00:34:39.10:02,925.5815,1284.2735,-754.5285
75,0.77083,00:34:39.10:03,924.01,1274.732,-754.342
76,0.78125,00:34:39.11:00,923.6395,1264.671,-753.7475
77,0.79167,00:34:39.11:01,922.2805,1253.8645,-753.171
78,0.80208,00:34:39.11:02,919.446,1242.7665,-753.41
