Frame,Time,SMPTE,bar_left_elbow_x,bar_left_elbow_y,bar_left_elbow_z
1,0.0,00:34:38.17:01,958.37,1295.85,355.3675
2,0.01042,00:34:38.17:02,958.4119999999999,1295.865,355.35
3,0.02083,00:34:38.17:03,958.4580000000001,1295.861,355.337
4,0.03125,00:34:38.18:00,958.502,1295.868,355.31800000000004
5,0.04167,00:34:38.18:01,958.4475,1295.9015,355.463
6,0.052079999999999994,00:34:38.18:02,958.623,1296.12,355.2465
7,0.0625,00:34:38.18:03,958.67,1296.1575,355.1965
8,0.07292,00:34:38.19:00,958.7065,1296.1545,355.176
9,0.08333,00:34:38.19:01,958.76,1296.1955,355.13300000000004
10,0.09375,00:34:38.19:02,958.79,1296.1960000000001,355.1085
11,0.10417,00:34:38.19:03,958.8265,1296.218,355.0925
12,0.11458,00:34:38.20:00,958.8675,1296.267,355.0735
13,0.125,00:34:38.20:01,958.9155,1296.2805,355.0605
14,0.13542,00:34:38.20:02,958.9395,1296.348,355.0415
15,0.14583,00:34:38.20:03,958.9715,1296.407,355.0395
16,0.15625,00:34:38.21:00,959.0065,1296.4505,355.0175
17,0.16667,00:34:38.21:01,959.0269999999999,1296.503,355.017
18,0.17708,00:34:38.21:02,959.0565,1296.552,354.995
19,0.1875,00:34:38.21:03,959.0855,1296.598,354.9805
20,0.19792,00:34:38.22:00,959.113,1296.654,354.958
21,0.20833000000000002,00:34:38.22:01,959.135,1296.714,354.9345
22,0.21875,00:34:38.22:02,959.1325,1296.7785,354.921
23,0.22916999999999998,00:34:38.22:03,959.145,1296.829,354.9035
24,0.23958000000000002,00:34:38.23:00,959.1339999999999,1296.8865,354.88599999999997
25,0.25,00:34:38.23:01,959.132,1296.933,354.869
26,0.26042,00:34:38.23:02,959.1080000000001,1297.035,354.8265
27,0.27083,00:34:38.23:03,959.074,1297.099,354.809
28,0.28125,00:34:38.24:00,959.0285,1297.2185,354.788
29,0.29167,00:34:38.24:01,958.9839999999999,1297.326,354.7815
30,0.30208,00:34:38.24:02,958.9125,1297.4405,354.75800000000004
31,0.3125,00:34:38.24:03,958.8425,1297.542,354.75300000000004
32,0.32292,00:34:39.00:00,958.7769999999999,1297.624,354.7345
33,0.33333,00:34:39.00:01,958.7139999999999,1297.7215,354.7155
34,0.34375,00:34:39.00:02,958.6395,1297.8145,354.7035
35,0.35417,00:34:39.00:03,958.5665,1297.932,354.7
36,0.36458,00:34:39.01:00,958.462,1298.0875,354.709
37,0.375,00:34:39.01:01,958.34,1298.2355,354.70300000000003
38,0.38542,00:34:39.01:02,958.235,1298.3675,354.7185
39,0.39583,00:34:39.01:03,958.095,1298.5230000000001,354.7355
