Frame,Time,SMPTE,bar_head_x,bar_head_y,bar_head_z
1,0.0,00:38:23:12:01,741.7474,1561.6432,-134.506
2,0.01,00:38:23:12:02,741.5138,1561.835,-135.1252
3,0.02,00:38:23:12:03,741.2646,1561.8622,-135.4556
4,0.03,00:38:23:13:00,741.3966,1562.1754,-136.0902
5,0.04,00:38:23:13:01,741.1046,1562.0162,-136.35
6,0.05,00:38:23:13:02,740.8954,1562.011,-136.7262
7,0.06,00:38:23:13:03,740.6972,1562.003,-137.1174
8,0.07,00:38:23:14:00,740.523,1561.9946,-137.4846
9,0.08,00:38:23:14:01,740.36,1561.995,-137.8292
10,0.09,00:38:23:14:02,740.2284,1561.9888,-138.1574
11,0.1,00:38:23:14:03,740.0796,1561.9592,-138.4566
12,0.11,00:38:23:15:00,739.9528,1561.9584,-138.7224
13,0.12,00:38:23:15:01,739.8376,1561.9426,-138.968
14,0.13,00:38:23:15:02,739.7326,1561.9346,-139.1812
15,0.14,00:38:23:15:03,739.6322,1561.9324,-139.3538
16,0.15,00:38:23:16:00,739.558,1561.9192,-139.4958
17,0.16,00:38:23:16:01,739.4994,1561.9046,-139.6128
18,0.17,00:38:23:16:02,739.4278,1561.8874,-139.701
19,0.18,00:38:23:16:03,739.3896,1561.876,-139.7696
20,0.19,00:38:23:17:00,739.35,1561.8676,-139.8172
21,0.2,00:38:23:17:01,739.288,1561.8518,-139.8538
22,0.21,00:38:23:17:02,739.2560000000002,1561.8512,-139.8662
23,0.22,00:38:23:17:03,739.2166,1561.8466,-139.8684
24,0.23,00:38:23:18:00,739.1978,1561.8478,-139.8528
25,0.24,00:38:23:18:01,739.1682,1561.8556,-139.8314
26,0.25,00:38:23:18:02,739.1574,1561.8632,-139.7978
27,0.26,00:38:23:18:03,739.1574,1561.8632,-139.7978
28,0.27,00:38:23:19:00,739.1354,1561.8872,-139.7604
29,0.28,00:38:23:19:01,739.1266,1561.9048,-139.7192
30,0.29,00:38:23:19:02,739.1368,1561.9342,-139.6874
31,0.3,00:38:23:19:03,738.998,1561.852,-139.4064
32,0.31,00:38:23:20:00,738.9892,1561.8802,-139.372
33,0.32,00:38:23:20:01,738.9886,1561.9064,-139.3064
34,0.33,00:38:23:20:02,739.0036,1561.9344,-139.2534
35,0.34,00:38:23:20:03,739.0239999999999,1561.9484,-139.194
36,0.35,00:38:23:21:00,739.0574,1561.9644,-139.1174
37,0.36,00:38:23:21:01,739.063,1561.9754,-139.0676
38,0.37,00:38:23:21:02,739.0906,1561.97,-139.0028
39,0.38,00:38:23:21:03,739.0974,1561.9594,-138.9554
40,0.39,00:38:23:22:00,739.1124,1561.9552,-138.9044
41,0.4,00:38:23:22:01,739.1352,1561.9516,-138.834
42,0.41,00:38:23:22:02,739.1686,1561.9448,-138.7706
43,0.42,00:38:23:22:03,739.1852,1561.9392,-138.6882
44,0.43,00:38:23:23:00,739.2128,1561.9366,-138.6194
45,0.44,00:38:23:23:01,739.2308,1561.9386,-138.55200000000002
46,0.45,00:38:23:23:02,739.2718,1561.9246,-138.4594
47,0.46,00:38:23:23:03,739.2852,1561.9174,-138.3558
48,0.47,00:38:23:24:00,739.2912,1561.902,-138.2602
49,0.48,00:38:23:24:01,739.3242,1561.8856,-138.137
50,0.49,00:38:23:24:02,739.3246,1561.8752,-138.0008
51,0.5,00:38:23:24:03,739.3510000000001,1561.8656,-137.8548
52,0.51,00:38:24:00:00,739.3510000000001,1561.8656,-137.8548
53,0.52,00:38:24:00:01,739.3724,1561.8622,-137.7124
54,0.53,00:38:24:00:02,739.3888,1561.8576,-137.547
55,0.54,00:38:24:00:03,739.3969999999998,1561.8398,-137.38
56,0.55,00:38:24:01:00,739.4138,1561.8338,-137.2292
57,0.56,00:38:24:01:01,739.4092,1561.8,-137.0706
58,0.57,00:38:24:01:02,739.4158,1561.7714,-136.9094
59,0.58,00:38:24:01:03,739.4116,1561.7508,-136.7598
60,0.59,00:38:24:02:00,739.4098,1561.7328,-136.5992
61,0.6,00:38:24:02:01,739.3986,1561.7,-136.454
62,0.61,00:38:24:02:02,739.3684,1561.6706,-136.2766
63,0.62,00:38:24:02:03,739.3489999999998,1561.6402,-136.1104
64,0.63,00:38:24:03:00,739.3264,1561.6224,-135.9298
65,0.64,00:38:24:03:01,739.3058,1561.6058,-135.7506
66,0.65,00:38:24:03:02,739.2686,1561.5929999999996,-135.5608
67,0.66,00:38:24:03:03,739.2518,1561.5834,-135.3442
68,0.67,00:38:24:04:00,739.1248,1561.625,-135.1736
69,0.68,00:38:24:04:01,739.1056,1561.6346,-134.9294
70,0.69,00:38:24:04:02,739.1038,1561.6586,-134.648
71,0.7,00:38:24:04:03,739.0916,1561.6848,-134.3532
72,0.71,00:38:24:05:00,739.0989999999998,1561.6968,-134.0282
73,0.72,00:38:24:05:01,739.1324,1561.7132,-133.6632
74,0.73,00:38:24:05:02,739.1902,1561.7086,-133.2822
75,0.74,00:38:24:05:03,739.2436,1561.7028,-132.8516
76,0.75,00:38:24:06:00,739.3194,1561.7062,-132.3978
77,0.76,00:38:24:06:01,739.3194,1561.7062,-132.3978
