Frame,Time,SMPTE,bar_hip_centre_x,bar_hip_centre_y,bar_hip_centre_z
1,0.0,00:38:23:12:01,759.0178,950.9865,-148.6288
2,0.01,00:38:23:12:02,759.3005,950.997,-148.5425
3,0.02,00:38:23:12:03,759.5673,951.0145,-148.489
4,0.03,00:38:23:13:00,759.7092,950.9818,-148.0527
5,0.04,00:38:23:13:01,760.0298,951.02,-147.9965
6,0.05,00:38:23:13:02,760.1385,951.0282,-148.0922
7,0.06,00:38:23:13:03,760.3610000000001,950.9125,-148.0415
8,0.07,00:38:23:14:00,760.581,950.8910000000001,-148.1207
9,0.08,00:38:23:14:01,760.8062,950.8652,-148.19899999999998
10,0.09,00:38:23:14:02,761.0175,950.8475,-148.3232
11,0.1,00:38:23:14:03,761.211,950.8475,-148.4305
12,0.11,00:38:23:15:00,761.3860000000001,950.8515,-148.5285
13,0.12,00:38:23:15:01,761.554,950.8660000000001,-148.65
14,0.13,00:38:23:15:02,761.7105,950.8802,-148.765
15,0.14,00:38:23:15:03,761.8810000000001,950.8765,-148.8892
16,0.15,00:38:23:16:00,762.03,950.8848,-149.0255
17,0.16,00:38:23:16:01,762.1785,950.8802,-149.1805
18,0.17,00:38:23:16:02,762.3223,950.8772,-149.3248
19,0.18,00:38:23:16:03,762.4472,950.9483,-149.5815
20,0.19,00:38:23:17:00,762.5322,950.8578,-149.7145
21,0.2,00:38:23:17:01,762.6525,950.9148,-149.9087
22,0.21,00:38:23:17:02,762.7415,950.9002,-150.06
23,0.22,00:38:23:17:03,762.8102,950.88,-150.21200000000002
24,0.23,00:38:23:18:00,762.842,950.7838,-150.328
25,0.24,00:38:23:18:01,762.9075,950.7598,-150.44899999999998
26,0.25,00:38:23:18:02,762.988,950.8408,-150.7102
27,0.26,00:38:23:18:03,762.988,950.8408,-150.7102
28,0.27,00:38:23:19:00,763.0239999999999,950.7410000000001,-150.8155
29,0.28,00:38:23:19:01,763.1312,950.8045,-150.9795
30,0.29,00:38:23:19:02,763.1795,950.7875,-151.0938
31,0.3,00:38:23:19:03,763.2545,950.7618,-151.1468
32,0.31,00:38:23:20:00,763.2588,950.7912,-151.3287
33,0.32,00:38:23:20:01,763.295,950.7592,-151.3442
34,0.33,00:38:23:20:02,763.308,950.7688,-151.4425
35,0.34,00:38:23:20:03,763.3042,950.7567,-151.5342
36,0.35,00:38:23:21:00,763.299,950.7510000000001,-151.6222
37,0.36,00:38:23:21:01,763.2795,950.7322,-151.7058
38,0.37,00:38:23:21:02,763.2539999999999,950.6922,-151.7778
39,0.38,00:38:23:21:03,763.2368,950.6542,-151.87
40,0.39,00:38:23:22:00,763.2035,950.6195,-151.9482
41,0.4,00:38:23:22:01,763.1695,950.5878,-152.02100000000002
42,0.41,00:38:23:22:02,763.1282,950.569,-152.0838
43,0.42,00:38:23:22:03,763.0895,950.5712,-152.1345
44,0.43,00:38:23:23:00,763.0463,950.5655,-152.1722
45,0.44,00:38:23:23:01,763.0015,950.5645,-152.2085
46,0.45,00:38:23:23:02,762.988,950.5772,-152.2768
47,0.46,00:38:23:23:03,762.9478,950.5585,-152.2965
48,0.47,00:38:23:24:00,762.9125,950.5472,-152.293
49,0.48,00:38:23:24:01,762.865,950.5215,-152.2908
50,0.49,00:38:23:24:02,762.8178,950.5010000000001,-152.274
51,0.5,00:38:23:24:03,762.753,950.4865,-152.2468
52,0.51,00:38:24:00:00,762.753,950.4865,-152.2468
53,0.52,00:38:24:00:01,762.6942,950.477,-152.22299999999998
54,0.53,00:38:24:00:02,762.6338,950.4625,-152.2023
55,0.54,00:38:24:00:03,762.571,950.442,-152.1843
56,0.55,00:38:24:01:00,762.5045,950.4252,-152.1553
57,0.56,00:38:24:01:01,762.4425,950.4055,-152.1365
58,0.57,00:38:24:01:02,762.375,950.3672,-152.1023
59,0.58,00:38:24:01:03,762.3023,950.3568,-152.0578
60,0.59,00:38:24:02:00,762.197,950.3675,-152.0965
61,0.6,00:38:24:02:01,762.0989999999999,950.3475,-152.0435
62,0.61,00:38:24:02:02,761.9835,950.3437,-151.9605
63,0.62,00:38:24:02:03,761.875,950.33,-151.8812
64,0.63,00:38:24:03:00,761.7505,950.323,-151.773
65,0.64,00:38:24:03:01,761.6389999999999,950.3182,-151.667
66,0.65,00:38:24:03:02,761.5265,950.3148,-151.558
67,0.66,00:38:24:03:03,761.431,950.3065,-151.44799999999998
68,0.67,00:38:24:04:00,761.3298,950.328,-151.3092
69,0.68,00:38:24:04:01,761.2008,950.3338,-151.1073
70,0.69,00:38:24:04:02,761.0735,950.3560000000001,-150.861
71,0.7,00:38:24:04:03,760.9225,950.3688,-150.5912
72,0.71,00:38:24:05:00,760.7802,950.383,-150.3037
73,0.72,00:38:24:05:01,760.6418,950.3889999999999,-150.01
74,0.73,00:38:24:05:02,760.5005,950.3777,-149.6882
75,0.74,00:38:24:05:03,760.3725,950.357,-149.3448
76,0.75,00:38:24:06:00,760.2372,950.3302,-148.9735
77,0.76,00:38:24:06:01,760.2372,950.3302,-148.9735
78,0.77,00:38:24:06:02,760.0889999999999,950.335,-148.5398
79,0.78,00:38:24:06:03,759.8998,950.3278,-148.043
80,0.79,00:38:24:07:00,759.7032,950.3165,-147.5158
81,0.8,00:38:24:07:01,759.4939999999999,950.306,-146.9368
82,0.81,00:38:24:07:02,759.2925,950.297,-146.4045
83,0.82,00:38:24:07:03,759.113,950.2919999999999,-145.8425
84,0.83,00:38:24:08:00,758.9092,950.2892,-145.2435
85,0.84,00:38:24:08:01,758.7275,950.2975,-144.6632
86,0.85,00:38:24:08:02,758.5419999999999,950.293,-144.0552
87,0.86,00:38:24:08:03,758.3875,950.2815,-143.4635
88,0.87,00:38:24:09:00,758.2448,950.2622,-142.8788
89,0.88,00:38:24:09:01,758.1127,950.2452,-142.261
90,0.89,00:38:24:09:02,758.0072,950.2410000000001,-141.6428
91,0.9,00:38:24:09:03,757.931,950.2275,-141.009
92,0.91,00:38:24:10:00,757.8688,950.204,-140.3908
93,0.92,00:38:24:10:01,757.795,950.172,-139.8347
94,0.93,00:38:24:10:02,757.7635,950.148,-139.2598
