Frame,Time,SMPTE,bar_spine_x,bar_spine_y,bar_spine_z
1,0.0,00:38:23:12:01,844.5868,1128.4228,-141.7702
2,0.01,00:38:23:12:02,844.727,1128.5638,-141.8885
3,0.02,00:38:23:12:03,844.883,1128.6722,-142.0015
4,0.03,00:38:23:13:00,845.2368,1128.77,-142.14700000000002
5,0.04,00:38:23:13:01,845.591,1128.983,-142.24
6,0.05,00:38:23:13:02,845.4462,1128.9038,-142.2642
7,0.06,00:38:23:13:03,845.5582,1128.9262,-142.3252
8,0.07,00:38:23:14:00,845.6808,1128.9275,-142.384
9,0.08,00:38:23:14:01,845.802,1128.9605,-142.409
10,0.09,00:38:23:14:02,845.9218,1128.987,-142.4488
11,0.1,00:38:23:14:03,846.0382,1129.0312,-142.4688
12,0.11,00:38:23:15:00,846.1252,1129.093,-142.4612
13,0.12,00:38:23:15:01,846.2258,1129.1538,-142.459
14,0.13,00:38:23:15:02,846.3158,1129.1985,-142.4352
15,0.14,00:38:23:15:03,846.4152,1129.2625,-142.4125
16,0.15,00:38:23:16:00,846.5388,1129.309,-142.3968
17,0.16,00:38:23:16:01,846.658,1129.3272,-142.4195
18,0.17,00:38:23:16:02,846.778,1129.3578,-142.4568
19,0.18,00:38:23:16:03,846.9048,1129.3608,-142.4715
20,0.19,00:38:23:17:00,847.0205,1129.373,-142.535
21,0.2,00:38:23:17:01,847.1275,1129.3642,-142.5972
22,0.21,00:38:23:17:02,847.2388,1129.3635,-142.6745
23,0.22,00:38:23:17:03,847.3375,1129.3682,-142.7568
24,0.23,00:38:23:18:00,847.4408,1129.349,-142.8128
25,0.24,00:38:23:18:01,847.5405,1129.3178,-142.8915
26,0.25,00:38:23:18:02,847.654,1129.2725,-142.9978
27,0.26,00:38:23:18:03,847.654,1129.2725,-142.9978
28,0.27,00:38:23:19:00,847.7539999999999,1129.2155,-143.0862
29,0.28,00:38:23:19:01,847.8525,1129.1765,-143.1755
30,0.29,00:38:23:19:02,847.9357,1129.1592,-143.2397
31,0.3,00:38:23:19:03,848.028,1129.1345,-143.2948
32,0.31,00:38:23:20:00,848.1128,1129.1192,-143.3425
33,0.32,00:38:23:20:01,848.1815,1129.1145,-143.371
34,0.33,00:38:23:20:02,848.2368,1129.1142,-143.3918
35,0.34,00:38:23:20:03,848.3085,1129.108,-143.4208
36,0.35,00:38:23:21:00,848.3495,1129.0878,-143.4342
37,0.36,00:38:23:21:01,848.4132,1129.0442,-143.4695
38,0.37,00:38:23:21:02,848.4712,1128.9792,-143.5045
39,0.38,00:38:23:21:03,848.525,1128.9082,-143.5488
40,0.39,00:38:23:22:00,848.5662,1128.85,-143.583
41,0.4,00:38:23:22:01,848.5945,1128.8118,-143.606
42,0.41,00:38:23:22:02,848.6185,1128.7845,-143.6085
43,0.42,00:38:23:22:03,848.6378,1128.7715,-143.6098
44,0.43,00:38:23:23:00,848.6575,1128.7518,-143.6018
45,0.44,00:38:23:23:01,848.6688,1128.748,-143.5875
46,0.45,00:38:23:23:02,848.689,1128.7395,-143.5988
47,0.46,00:38:23:23:03,848.7152,1128.7258,-143.591
48,0.47,00:38:23:24:00,848.7218,1128.703,-143.572
49,0.48,00:38:23:24:01,848.7472,1128.6747,-143.5528
50,0.49,00:38:23:24:02,848.763,1128.6455,-143.5292
51,0.5,00:38:23:24:03,848.7625,1128.6175,-143.497
52,0.51,00:38:24:00:00,848.7625,1128.6175,-143.497
53,0.52,00:38:24:00:01,848.7472,1128.6015,-143.4868
54,0.53,00:38:24:00:02,848.7518,1128.5772,-143.4585
55,0.54,00:38:24:00:03,848.722,1128.547,-143.44
56,0.55,00:38:24:01:00,848.696,1128.5088,-143.4122
57,0.56,00:38:24:01:01,848.6695,1128.4605,-143.3738
58,0.57,00:38:24:01:02,848.6435,1128.4155,-143.3195
59,0.58,00:38:24:01:03,848.627,1128.3602,-143.27
60,0.59,00:38:24:02:00,848.5943,1128.3202,-143.2088
61,0.6,00:38:24:02:01,848.566,1128.3105,-143.1518
62,0.61,00:38:24:02:02,848.5398,1128.317,-143.0717
63,0.62,00:38:24:02:03,848.508,1128.315,-142.9832
64,0.63,00:38:24:03:00,848.487,1128.3242,-142.8637
65,0.64,00:38:24:03:01,848.4645,1128.3205,-142.752
