Frame,Time,SMPTE,bar_left_foot_x,bar_left_foot_y,bar_left_foot_z
1,0.0,00:38:23:12:01,724.3908,5.9738,-43.7812
2,0.01,00:38:23:12:02,724.3695,6.0008,-43.7943
3,0.02,00:38:23:12:03,724.3533,5.9992,-43.791000000000004
4,0.03,00:38:23:13:00,724.2810000000001,6.0115,-43.8892
5,0.04,00:38:23:13:01,724.2445,5.9777,-43.9345
6,0.05,00:38:23:13:02,724.2382,5.9992,-43.928000000000004
7,0.06,00:38:23:13:03,724.2465,5.9922,-43.9133
8,0.07,00:38:23:14:00,724.275,5.9507,-43.9242
9,0.08,00:38:23:14:01,724.2855,5.9395,-43.9202
10,0.09,00:38:23:14:02,724.2958,5.9235,-43.9248
11,0.1,00:38:23:14:03,724.3062,5.9117,-43.9232
12,0.11,00:38:23:15:00,724.3038,5.9110000000000005,-43.9312
13,0.12,00:38:23:15:01,724.3412,5.9315,-43.8758
14,0.13,00:38:23:15:02,724.3463,5.9148,-43.8748
15,0.14,00:38:23:15:03,724.3518,5.905,-43.882
16,0.15,00:38:23:16:00,724.3298,5.8893,-43.9415
17,0.16,00:38:23:16:01,724.3478,5.8732,-43.9512
18,0.17,00:38:23:16:02,724.3567,5.8548,-43.9643
19,0.18,00:38:23:16:03,724.3655,5.8408,-43.981
20,0.19,00:38:23:17:00,724.3689999999999,5.8295,-43.9832
21,0.2,00:38:23:17:01,724.3778,5.8283,-43.9958
22,0.21,00:38:23:17:02,724.3698,5.8328,-44.0042
23,0.22,00:38:23:17:03,724.3698,5.8327,-44.018
24,0.23,00:38:23:18:00,724.3695,5.8298,-44.0308
25,0.24,00:38:23:18:01,724.3682,5.8245,-44.0448
26,0.25,00:38:23:18:02,724.3747,5.8085,-44.0525
27,0.26,00:38:23:18:03,724.3747,5.8085,-44.0525
28,0.27,00:38:23:19:00,724.3789999999999,5.7863,-44.073
29,0.28,00:38:23:19:01,724.3838,5.7738,-44.097
30,0.29,00:38:23:19:02,724.3947,5.7602,-44.1158
31,0.3,00:38:23:19:03,724.3960000000001,5.752000000000001,-44.1368
32,0.31,00:38:23:20:00,724.4018,5.7428,-44.1595
33,0.32,00:38:23:20:01,724.405,5.7362,-44.183
34,0.33,00:38:23:20:02,724.3988,5.7355,-44.2045
35,0.34,00:38:23:20:03,724.3978,5.7327,-44.22
36,0.35,00:38:23:21:00,724.4019999999999,5.73,-44.2293
37,0.36,00:38:23:21:01,724.4115,5.7183,-44.2475
38,0.37,00:38:23:21:02,724.4277,5.6952,-44.2742
39,0.38,00:38:23:21:03,724.4425,5.676,-44.29
40,0.39,00:38:23:22:00,724.4493,5.6552,-44.326
41,0.4,00:38:23:22:01,724.4592,5.648,-44.3332
42,0.41,00:38:23:22:02,724.4658,5.6342,-44.3528
43,0.42,00:38:23:22:03,724.461,5.6413,-44.3595
44,0.43,00:38:23:23:00,724.4622,5.6368,-44.3685
45,0.44,00:38:23:23:01,724.477,5.6298,-44.3948
46,0.45,00:38:23:23:02,724.4885,5.6137,-44.41
47,0.46,00:38:23:23:03,724.5025,5.6002,-44.4312
48,0.47,00:38:23:24:00,724.5219999999999,5.5817,-44.4482
49,0.48,00:38:23:24:01,724.5392,5.559,-44.45399999999999
50,0.49,00:38:23:24:02,724.555,5.5395,-44.472
51,0.5,00:38:23:24:03,724.5655,5.5405,-44.4772
52,0.51,00:38:24:00:00,724.5655,5.5405,-44.4772
53,0.52,00:38:24:00:01,724.5673,5.5422,-44.4845
54,0.53,00:38:24:00:02,724.5788,5.5328,-44.5
55,0.54,00:38:24:00:03,724.5898,5.5265,-44.525
56,0.55,00:38:24:01:00,724.5932,5.518,-44.5405
57,0.56,00:38:24:01:01,724.6128,5.504,-44.559
58,0.57,00:38:24:01:02,724.6215,5.4855,-44.5722
59,0.58,00:38:24:01:03,724.6398,5.4738,-44.6062
60,0.59,00:38:24:02:00,724.665,5.4473,-44.6415
61,0.6,00:38:24:02:01,724.6698,5.4387,-44.6622
62,0.61,00:38:24:02:02,724.6855,5.4178,-44.688
63,0.62,00:38:24:02:03,724.6955,5.412999999999999,-44.7248
64,0.63,00:38:24:03:00,724.71,5.4142,-44.747
65,0.64,00:38:24:03:01,724.7185,5.4068,-44.7988
66,0.65,00:38:24:03:02,724.7192,5.4055,-44.843999999999994
67,0.66,00:38:24:03:03,724.7382,5.3832,-44.8968
