Frame,Time,SMPTE,bar_left_shoulder_x,bar_left_shoulder_y,bar_left_shoulder_z
1,0.0,00:38:23:12:01,751.6619999999999,1352.5510000000002,-6.755
2,0.01,00:38:23:12:02,751.674,1352.717,-7.122000000000001
3,0.02,00:38:23:12:03,751.668,1352.8310000000001,-7.486000000000001
4,0.03,00:38:23:13:00,752.061,1353.0870000000002,-7.718999999999999
5,0.04,00:38:23:13:01,751.92,1353.0339999999999,-8.099
6,0.05,00:38:23:13:02,751.925,1353.05,-8.422
7,0.06,00:38:23:13:03,751.924,1353.1329999999998,-8.68
8,0.07,00:38:23:14:00,751.933,1353.21,-8.877
9,0.08,00:38:23:14:01,751.9739999999999,1353.32,-9.082
10,0.09,00:38:23:14:02,751.965,1353.4289999999999,-9.249
11,0.1,00:38:23:14:03,751.985,1353.521,-9.412
12,0.11,00:38:23:15:00,751.9689999999999,1353.642,-9.555
13,0.12,00:38:23:15:01,752.003,1353.76,-9.635
14,0.13,00:38:23:15:02,752.0110000000001,1353.8410000000001,-9.72
15,0.14,00:38:23:15:03,752.053,1353.941,-9.765
16,0.15,00:38:23:16:00,752.137,1354.015,-9.818999999999999
17,0.16,00:38:23:16:01,752.2139999999999,1354.08,-9.853
18,0.17,00:38:23:16:02,752.294,1354.106,-9.882
19,0.18,00:38:23:16:03,752.442,1354.121,-9.923
20,0.19,00:38:23:17:00,752.581,1354.118,-9.956
21,0.2,00:38:23:17:01,752.748,1354.109,-9.934
22,0.21,00:38:23:17:02,752.929,1354.098,-9.921
23,0.22,00:38:23:17:03,753.105,1354.057,-9.908
24,0.23,00:38:23:18:00,753.273,1353.9879999999998,-9.912
25,0.24,00:38:23:18:01,753.462,1353.9270000000001,-9.895
26,0.25,00:38:23:18:02,753.67,1353.8629999999998,-9.885
27,0.26,00:38:23:18:03,753.67,1353.8629999999998,-9.885
28,0.27,00:38:23:19:00,753.865,1353.8029999999999,-9.873
29,0.28,00:38:23:19:01,754.075,1353.765,-9.847000000000001
30,0.29,00:38:23:19:02,754.268,1353.7179999999998,-9.785
31,0.3,00:38:23:19:03,754.493,1353.6879999999999,-9.718
32,0.31,00:38:23:20:00,754.7139999999999,1353.651,-9.674
33,0.32,00:38:23:20:01,754.8789999999999,1353.616,-9.618
34,0.33,00:38:23:20:02,755.1010000000001,1353.59,-9.56
35,0.34,00:38:23:20:03,755.285,1353.556,-9.493
36,0.35,00:38:23:21:00,755.4580000000001,1353.504,-9.427999999999999
37,0.36,00:38:23:21:01,755.664,1353.477,-9.356
38,0.37,00:38:23:21:02,755.913,1353.47,-9.276
39,0.38,00:38:23:21:03,756.1139999999999,1353.4470000000001,-9.207
40,0.39,00:38:23:22:00,756.325,1353.432,-9.119
41,0.4,00:38:23:22:01,756.533,1353.414,-9.014
42,0.41,00:38:23:22:02,756.7280000000001,1353.396,-8.917
43,0.42,00:38:23:22:03,756.921,1353.38,-8.815
44,0.43,00:38:23:23:00,757.0939999999999,1353.3829999999998,-8.68
45,0.44,00:38:23:23:01,757.253,1353.3670000000002,-8.543
46,0.45,00:38:23:23:02,757.438,1353.338,-8.408
47,0.46,00:38:23:23:03,757.632,1353.306,-8.244
