Frame,Time,SMPTE,bar_left_wrist_x,bar_left_wrist_y,bar_left_wrist_z
1,0.0,00:47:38.09:01,441.4645,1348.141,573.7715
2,0.01,00:47:38.09:02,441.35900000000004,1348.1165,573.835
3,0.02,00:47:38.09:03,441.2465,1348.0815,573.855
4,0.03,00:47:38.10:00,441.0515,1348.0315,573.0905
5,0.04,00:47:38.10:01,440.8335,1347.9955,573.013
6,0.05,00:47:38.10:02,440.746,1348.005,573.0575
7,0.06,00:47:38.10:03,440.6725,1347.9785,573.054
8,0.07,00:47:38.11:00,440.60900000000004,1347.9635,573.0575
9,0.08,00:47:38.11:01,440.561,1347.9485,573.105
10,0.09,00:47:38.11:02,440.5,1347.9285,573.1065
11,0.1,00:47:38.11:03,440.45300000000003,1347.9425,573.112
12,0.11,00:47:38.12:00,440.44199999999995,1348.0,573.0985
13,0.12,00:47:38.12:01,440.3995,1348.0135,573.135
14,0.13,00:47:38.12:02,440.3575,1348.0225,573.185
15,0.14,00:47:38.12:03,440.3345,1348.0075,573.185
16,0.15,00:47:38.13:00,440.334,1347.9979999999998,573.2090000000001
17,0.16,00:47:38.13:01,440.3085,1348.0065,573.2305
18,0.17,00:47:38.13:02,440.32800000000003,1347.9865,573.2475
19,0.18,00:47:38.13:03,440.33,1347.9225,573.2575
20,0.19,00:47:38.14:00,440.36199999999997,1347.885,573.2945
21,0.2,00:47:38.14:01,440.385,1347.8405,573.311
22,0.21,00:47:38.14:02,440.43,1347.773,573.3395
23,0.22,00:47:38.14:03,440.465,1347.7285,573.3655
24,0.23,00:47:38.15:00,440.5135,1347.639,573.441
25,0.24,00:47:38.15:01,440.548,1347.5325,573.4490000000001
26,0.25,00:47:38.15:02,440.6515,1347.4365,573.469
27,0.26,00:47:38.15:03,440.702,1347.3145,573.5295
28,0.27,00:47:38.16:00,440.7745,1347.194,573.5625
29,0.28,00:47:38.16:01,440.8065,1347.0585,573.632
30,0.29,00:47:38.16:02,440.9095,1346.942,573.6669999999999
31,0.3,00:47:38.16:03,441.0385,1346.849,573.707
32,0.31,00:47:38.17:00,441.1495,1346.7279999999998,573.7665
33,0.32,00:47:38.17:01,441.2625,1346.588,573.854
34,0.33,00:47:38.17:02,441.404,1346.454,573.911
35,0.34,00:47:38.17:03,441.50800000000004,1346.2715,573.9780000000001
36,0.35,00:47:38.18:00,441.667,1346.1165,574.0219999999999
37,0.36,00:47:38.18:01,441.843,1345.9820000000002,574.082
38,0.37,00:47:38.18:02,442.0075,1345.8915,574.1325
39,0.38,00:47:38.18:03,442.218,1345.7895,574.2225
40,0.39,00:47:38.19:00,442.4145,1345.691,574.2715
41,0.4,00:47:38.19:01,442.605,1345.604,574.3285
42,0.41,00:47:38.19:02,442.7845,1345.5195,574.4165
43,0.42,00:47:38.19:03,442.99699999999996,1345.4260000000002,574.4685
44,0.43,00:47:38.20:00,443.1925,1345.3665,574.54
45,0.44,00:47:38.20:01,443.38,1345.285,574.5505
46,0.45,00:47:38.20:02,443.6095,1345.237,574.5930000000001
47,0.46,00:47:38.20:03,443.871,1345.2785,574.5980000000001
48,0.47,00:47:38.21:00,444.0555,1345.2375,574.6765
49,0.48,00:47:38.21:01,444.291,1345.24,574.6825
50,0.49,00:47:38.21:02,444.5275,1345.265,574.7385
51,0.5,00:47:38.21:03,444.746,1345.2945,574.7595
52,0.51,00:47:38.22:00,444.962,1345.3165,574.7885
53,0.52,00:47:38.22:01,445.1785,1345.339,574.806
54,0.53,00:47:38.22:02,445.3815,1345.3565,574.817
55,0.54,00:47:38.22:03,445.5745,1345.3665,574.8655
56,0.55,00:47:38.23:00,445.776,1345.4125,574.8415
57,0.56,00:47:38.23:01,445.9545,1345.47,574.8425
58,0.57,00:47:38.23:02,446.1555,1345.4995,574.8505
59,0.58,00:47:38.23:03,446.342,1345.5379999999998,574.8455
60,0.59,00:47:38.24:00,446.5305,1345.5905,574.8505
61,0.6,00:47:38.24:01,446.715,1345.6385,574.8705
62,0.61,00:47:38.24:02,446.898,1345.6860000000001,574.859
63,0.62,00:47:38.24:03,447.08,1345.7225,574.876
64,0.63,00:47:39.00:00,447.267,1345.7575,574.828
65,0.64,00:47:39.00:01,447.4405,1345.7779999999998,574.797
66,0.65,00:47:39.00:02,447.639,1345.793,574.7715
67,0.66,00:47:39.00:03,447.8225,1345.8229999999999,574.7755
68,0.67,00:47:39.01:00,448.0155,1345.86,574.738
69,0.68,00:47:39.01:01,448.151,1345.868,574.7545
70,0.69,00:47:39.01:02,448.3685,1345.9225,574.7545
71,0.7,00:47:39.01:03,448.5255,1345.9229999999998,574.725
72,0.71,00:47:39.02:00,448.699,1345.9435,574.712
73,0.72,00:47:39.02:01,448.903,1345.953,574.7245
74,0.73,00:47:39.02:02,449.0595,1345.9285,574.7595
75,0.74,00:47:39.02:03,449.236,1345.9455,574.7415
76,0.75,00:47:39.03:00,449.42199999999997,1345.9520000000002,574.766
77,0.76,00:47:39.03:01,449.6235,1345.9785,574.748
78,0.77,00:47:39.03:02,449.8205,1346.027,574.749
79,0.78,00:47:39.03:03,450.023,1346.0810000000001,574.763
80,0.79,00:47:39.04:00,450.209,1346.1555,574.7545
81,0.8,00:47:39.04:01,450.3985,1346.247,574.755
82,0.81,00:47:39.04:02,450.6585,1346.366,574.7705
83,0.82,00:47:39.04:03,450.871,1346.4585,574.7885
