Frame,Time,SMPTE,bar_right_hip_x,bar_right_hip_y,bar_right_hip_z
1,0.0,00:47:38.09:01,402.9495,952.8535,-217.92
2,0.01,00:47:38.09:02,402.8635,952.8439999999999,-217.9105
3,0.02,00:47:38.09:03,402.7655,952.822,-217.9015
4,0.03,00:47:38.10:00,402.2655,953.1255,-217.951
5,0.04,00:47:38.10:01,402.3495,953.049,-218.142
6,0.05,00:47:38.10:02,402.298,953.048,-218.1425
7,0.06,00:47:38.10:03,402.207,953.0319999999999,-218.146
8,0.07,00:47:38.11:00,402.1525,953.0015,-218.155
9,0.08,00:47:38.11:01,402.04900000000004,952.9789999999999,-218.1575
10,0.09,00:47:38.11:02,401.959,952.944,-218.18
11,0.1,00:47:38.11:03,401.851,952.929,-218.187
12,0.11,00:47:38.12:00,401.74,952.9165,-218.2195
13,0.12,00:47:38.12:01,401.6385,952.908,-218.2165
14,0.13,00:47:38.12:02,401.5315,952.9019999999999,-218.2155
15,0.14,00:47:38.12:03,401.4195,952.9075,-218.19799999999998
16,0.15,00:47:38.13:00,401.33,952.9065,-218.1875
17,0.16,00:47:38.13:01,401.215,952.8975,-218.185
18,0.17,00:47:38.13:02,401.1085,952.8939999999999,-218.1905
19,0.18,00:47:38.13:03,401.087,952.813,-218.1945
20,0.19,00:47:38.14:00,400.86300000000006,952.8560000000001,-218.235
21,0.2,00:47:38.14:01,400.73400000000004,952.8335,-218.2565
22,0.21,00:47:38.14:02,400.685,952.773,-218.25
23,0.22,00:47:38.14:03,400.548,952.7769999999999,-218.2565
24,0.23,00:47:38.15:00,400.4165,952.7835,-218.273
25,0.24,00:47:38.15:01,400.2665,952.785,-218.2795
26,0.25,00:47:38.15:02,400.1135,952.7805,-218.282
27,0.26,00:47:38.15:03,399.971,952.7860000000001,-218.3075
28,0.27,00:47:38.16:00,399.7225,952.8335,-218.3125
29,0.28,00:47:38.16:01,399.57300000000004,952.8225,-218.3355
30,0.29,00:47:38.16:02,399.499,952.7605,-218.328
31,0.3,00:47:38.16:03,399.2605,952.7975,-218.36
32,0.31,00:47:38.17:00,399.18300000000005,952.7439999999999,-218.3685
33,0.32,00:47:38.17:01,399.0415,952.755,-218.395
34,0.33,00:47:38.17:02,398.9025,952.7495,-218.4225
35,0.34,00:47:38.17:03,398.7615,952.7545,-218.4645
36,0.35,00:47:38.18:00,398.6345,952.7525,-218.4835
37,0.36,00:47:38.18:01,398.5,952.7585,-218.513
38,0.37,00:47:38.18:02,398.3585,952.7719999999999,-218.54
39,0.38,00:47:38.18:03,398.2285,952.7735,-218.5565
40,0.39,00:47:38.19:00,398.0985,952.7669999999999,-218.579
41,0.4,00:47:38.19:01,397.958,952.7635,-218.59400000000002
42,0.41,00:47:38.19:02,397.836,952.7685,-218.623
43,0.42,00:47:38.19:03,397.6275,952.8145,-218.66299999999998
44,0.43,00:47:38.20:00,397.505,952.8065,-218.6855
45,0.44,00:47:38.20:01,397.4345,952.818,-218.7045
46,0.45,00:47:38.20:02,397.3565,952.8330000000001,-218.738
47,0.46,00:47:38.20:03,397.2925,952.8330000000001,-218.762
48,0.47,00:47:38.21:00,397.222,952.8425,-218.775
49,0.48,00:47:38.21:01,397.1645,952.8380000000001,-218.794
50,0.49,00:47:38.21:02,397.116,952.846,-218.801
51,0.5,00:47:38.21:03,397.0545,952.841,-218.8165
52,0.51,00:47:38.22:00,397.01199999999994,952.8355,-218.8435
53,0.52,00:47:38.22:01,396.966,952.8330000000001,-218.8595
54,0.53,00:47:38.22:02,396.93,952.8255,-218.8635
55,0.54,00:47:38.22:03,396.89300000000003,952.825,-218.882
56,0.55,00:47:38.23:00,396.865,952.8185,-218.9075
57,0.56,00:47:38.23:01,396.8365,952.8195,-218.92
58,0.57,00:47:38.23:02,396.8385,952.803,-218.921
59,0.58,00:47:38.23:03,396.809,952.799,-218.9305
60,0.59,00:47:38.24:00,396.788,952.7865,-218.952
61,0.6,00:47:38.24:01,396.7875,952.7760000000001,-218.94299999999998
62,0.61,00:47:38.24:02,396.7705,952.765,-218.94299999999998
63,0.62,00:47:38.24:03,396.775,952.7439999999999,-218.9435
64,0.63,00:47:39.00:00,396.7605,952.7265,-218.942
65,0.64,00:47:39.00:01,396.773,952.7239999999999,-218.9555
66,0.65,00:47:39.00:02,396.7745,952.7130000000001,-218.9305
67,0.66,00:47:39.00:03,396.76800000000003,952.709,-218.923
68,0.67,00:47:39.01:00,396.77,952.7125,-218.9215
69,0.68,00:47:39.01:01,396.75699999999995,952.7165,-218.892
70,0.69,00:47:39.01:02,396.7655,952.7260000000001,-218.8645
71,0.7,00:47:39.01:03,396.7585,952.7285,-218.84599999999998
72,0.71,00:47:39.02:00,396.744,952.712,-218.8275
73,0.72,00:47:39.02:01,396.7465,952.72,-218.81
74,0.73,00:47:39.02:02,396.744,952.7139999999999,-218.808
75,0.74,00:47:39.02:03,396.733,952.7,-218.7915
76,0.75,00:47:39.03:00,396.745,952.6905,-218.7635
77,0.76,00:47:39.03:01,396.7575,952.6865,-218.768
78,0.77,00:47:39.03:02,396.79,952.697,-218.7645
79,0.78,00:47:39.03:03,396.8875,952.6385,-218.7265
80,0.79,00:47:39.04:00,396.936,952.6435,-218.695
81,0.8,00:47:39.04:01,396.967,952.6465,-218.6655
82,0.81,00:47:39.04:02,397.026,952.6569999999999,-218.645
83,0.82,00:47:39.04:03,397.0675,952.678,-218.6125
84,0.83,00:47:39.05:00,397.12300000000005,952.6855,-218.576
85,0.84,00:47:39.05:01,397.1735,952.6715,-218.5495
86,0.85,00:47:39.05:02,397.2435,952.668,-218.5225
87,0.86,00:47:39.05:03,397.29400000000004,952.6515,-218.5045
88,0.87,00:47:39.06:00,397.343,952.6489999999999,-218.493
89,0.88,00:47:39.06:01,397.3095,952.709,-218.477
90,0.89,00:47:39.06:02,397.3645,952.698,-218.423
91,0.9,00:47:39.06:03,397.43,952.6955,-218.3755
92,0.91,00:47:39.07:00,397.49300000000005,952.703,-218.3225
93,0.92,00:47:39.07:01,397.564,952.7095,-218.2525
94,0.93,00:47:39.07:02,397.63599999999997,952.7125,-218.18900000000002
95,0.94,00:47:39.07:03,397.70599999999996,952.707,-218.11900000000003
96,0.95,00:47:39.08:00,397.769,952.7230000000001,-218.053
97,0.96,00:47:39.08:01,397.82800000000003,952.7239999999999,-217.975
98,0.97,00:47:39.08:02,397.99800000000005,952.666,-217.8925
99,0.98,00:47:39.08:03,397.95599999999996,952.7485,-217.8375
100,0.99,00:47:39.09:00,398.03,952.7565,-217.761
101,1.0,00:47:39.09:01,398.0795,952.7710000000001,-217.6945
102,1.01,00:47:39.09:02,398.1495,952.79,-217.6345
103,1.02,00:47:39.09:03,398.2005,952.7819999999999,-217.5585
104,1.03,00:47:39.10:00,398.23,952.7819999999999,-217.507
105,1.04,00:47:39.10:01,398.28,952.7905,-217.4475
106,1.05,00:47:39.10:02,398.3415,952.7975,-217.386
107,1.06,00:47:39.10:03,398.3805,952.785,-217.315
