Frame,Time,SMPTE,bar_shoulder_centre_x,bar_shoulder_centre_y,bar_shoulder_centre_z
1,0.0,00:47:38.09:01,419.57599999999996,1354.7375,-90.92299999999999
2,0.01,00:47:38.09:02,419.44300000000004,1354.725,-90.8575
3,0.02,00:47:38.09:03,419.3275,1354.7065,-90.8165
4,0.03,00:47:38.10:00,418.8815,1354.9675,-90.791
5,0.04,00:47:38.10:01,418.793,1355.011,-90.75399999999999
6,0.05,00:47:38.10:02,418.6585,1354.9885,-90.709
7,0.06,00:47:38.10:03,418.51099999999997,1354.986,-90.684
8,0.07,00:47:38.11:00,418.39099999999996,1354.9865,-90.6505
9,0.08,00:47:38.11:01,418.256,1354.9715,-90.598
10,0.09,00:47:38.11:02,418.097,1354.954,-90.5695
11,0.1,00:47:38.11:03,417.9225,1354.951,-90.537
12,0.11,00:47:38.12:00,417.7635,1354.9285,-90.5
13,0.12,00:47:38.12:01,417.60400000000004,1354.925,-90.4515
14,0.13,00:47:38.12:02,417.4365,1354.9055,-90.3985
15,0.14,00:47:38.12:03,417.2785,1354.8875,-90.34899999999999
16,0.15,00:47:38.13:00,417.1455,1354.8655,-90.3095
17,0.16,00:47:38.13:01,416.9905,1354.836,-90.27799999999999
18,0.17,00:47:38.13:02,416.874,1354.8145,-90.228
19,0.18,00:47:38.13:03,416.76099999999997,1354.774,-90.1935
20,0.19,00:47:38.14:00,416.666,1354.756,-90.15
21,0.2,00:47:38.14:01,416.56699999999995,1354.711,-90.118
22,0.21,00:47:38.14:02,416.5,1354.6889999999999,-90.0715
23,0.22,00:47:38.14:03,416.4175,1354.6615,-90.0285
24,0.23,00:47:38.15:00,416.347,1354.638,-89.98100000000001
25,0.24,00:47:38.15:01,416.2675,1354.6195,-89.943
26,0.25,00:47:38.15:02,416.1945,1354.598,-89.9
27,0.26,00:47:38.15:03,416.119,1354.58,-89.8595
28,0.27,00:47:38.16:00,416.0595,1354.5635,-89.79
29,0.28,00:47:38.16:01,415.97,1354.536,-89.73200000000001
30,0.29,00:47:38.16:02,415.902,1354.529,-89.6725
31,0.3,00:47:38.16:03,415.8135,1354.5225,-89.595
32,0.31,00:47:38.17:00,415.7555,1354.5075,-89.5315
33,0.32,00:47:38.17:01,415.6945,1354.5020000000002,-89.47
34,0.33,00:47:38.17:02,415.649,1354.4845,-89.4095
35,0.34,00:47:38.17:03,415.5925,1354.4775,-89.3495
36,0.35,00:47:38.18:00,415.5635,1354.465,-89.2825
37,0.36,00:47:38.18:01,415.5205,1354.4475,-89.2005
38,0.37,00:47:38.18:02,415.4825,1354.4405,-89.1195
39,0.38,00:47:38.18:03,415.449,1354.435,-89.042
40,0.39,00:47:38.19:00,415.4205,1354.4229999999998,-88.9555
41,0.4,00:47:38.19:01,415.39300000000003,1354.4135,-88.8825
42,0.41,00:47:38.19:02,415.36300000000006,1354.4070000000002,-88.8095
43,0.42,00:47:38.19:03,415.3495,1354.3975,-88.7315
44,0.43,00:47:38.20:00,415.3265,1354.3885,-88.6695
45,0.44,00:47:38.20:01,415.31199999999995,1354.3725,-88.6155
46,0.45,00:47:38.20:02,415.2945,1354.3655,-88.5495
47,0.46,00:47:38.20:03,415.286,1354.355,-88.4825
48,0.47,00:47:38.21:00,415.2645,1354.3435,-88.4165
49,0.48,00:47:38.21:01,415.25699999999995,1354.3435,-88.369
50,0.49,00:47:38.21:02,415.2405,1354.335,-88.2975
51,0.5,00:47:38.21:03,415.2235,1354.319,-88.2455
52,0.51,00:47:38.22:00,415.2125,1354.315,-88.193
53,0.52,00:47:38.22:01,415.194,1354.2995,-88.141
54,0.53,00:47:38.22:02,415.1865,1354.3029999999999,-88.096
55,0.54,00:47:38.22:03,415.1775,1354.2835,-88.0675
56,0.55,00:47:38.23:00,415.1585,1354.2839999999999,-88.025
57,0.56,00:47:38.23:01,415.1375,1354.2865,-87.9965
58,0.57,00:47:38.23:02,415.1145,1354.2825,-87.9715
59,0.58,00:47:38.23:03,415.1105,1354.297,-87.9485
60,0.59,00:47:38.24:00,415.092,1354.2995,-87.9215
61,0.6,00:47:38.24:01,415.0605,1354.3135,-87.9085
62,0.61,00:47:38.24:02,415.0495,1354.3165,-87.902
