Frame,Time,SMPTE,bar_left_ankle_x,bar_left_ankle_y,bar_left_ankle_z
1,0.0,00:47:38.09:01,436.84,76.29,24.189
2,0.01,00:47:38.09:02,436.842,76.301,24.193
3,0.02,00:47:38.09:03,436.843,76.30199999999999,24.204
4,0.03,00:47:38.10:00,436.965,76.191,24.385
5,0.04,00:47:38.10:01,436.869,76.20100000000001,24.386
6,0.05,00:47:38.10:02,436.853,76.199,24.412
7,0.06,00:47:38.10:03,436.69300000000004,76.279,24.569000000000003
8,0.07,00:47:38.11:00,436.845,76.234,24.421
9,0.08,00:47:38.11:01,436.837,76.226,24.421
10,0.09,00:47:38.11:02,436.825,76.227,24.430999999999997
11,0.1,00:47:38.11:03,436.796,76.222,24.410999999999998
12,0.11,00:47:38.12:00,436.79900000000004,76.232,24.430999999999997
13,0.12,00:47:38.12:01,436.76800000000003,76.23899999999999,24.441999999999997
14,0.13,00:47:38.12:02,436.787,76.23899999999999,24.45
15,0.14,00:47:38.12:03,436.776,76.245,24.458000000000002
16,0.15,00:47:38.13:00,436.76099999999997,76.245,24.462
17,0.16,00:47:38.13:01,436.754,76.253,24.463
18,0.17,00:47:38.13:02,436.76,76.259,24.463
19,0.18,00:47:38.13:03,436.745,76.266,24.444000000000003
20,0.19,00:47:38.14:00,436.73699999999997,76.274,24.451999999999998
21,0.2,00:47:38.14:01,436.727,76.265,24.453000000000003
22,0.21,00:47:38.14:02,436.72,76.268,24.453000000000003
23,0.22,00:47:38.14:03,436.718,76.273,24.455
24,0.23,00:47:38.15:00,436.55699999999996,76.324,24.604
25,0.24,00:47:38.15:01,436.70300000000003,76.27,24.465999999999998
26,0.25,00:47:38.15:02,436.68199999999996,76.274,24.461
27,0.26,00:47:38.15:03,436.67900000000003,76.26899999999999,24.471999999999998
28,0.27,00:47:38.16:00,436.531,76.329,24.62
29,0.28,00:47:38.16:01,436.647,76.26899999999999,24.46
30,0.29,00:47:38.16:02,436.63300000000004,76.265,24.475
31,0.3,00:47:38.16:03,436.642,76.277,24.458000000000002
32,0.31,00:47:38.17:00,436.63699999999994,76.26899999999999,24.451
33,0.32,00:47:38.17:01,436.485,76.339,24.607
34,0.33,00:47:38.17:02,436.621,76.274,24.449
35,0.34,00:47:38.17:03,436.603,76.262,24.436
36,0.35,00:47:38.18:00,436.593,76.264,24.425
37,0.36,00:47:38.18:01,436.426,76.336,24.59
38,0.37,00:47:38.18:02,436.57300000000004,76.265,24.438000000000002
39,0.38,00:47:38.18:03,436.55699999999996,76.262,24.435
