Frame,Time,SMPTE,bar_left_hand_x,bar_left_hand_y,bar_left_hand_z
1,0.0,00:47:38.09:01,474.3683333333333,1340.0553333333335,716.5300000000002
2,0.01,00:47:38.09:02,474.115,1340.1773333333333,716.7513333333333
3,0.02,00:47:38.09:03,473.0100000000001,1339.8346666666666,717.2883333333333
4,0.03,00:47:38.10:00,472.08200000000005,1343.1073333333334,715.8536666666665
5,0.04,00:47:38.10:01,472.3193333333333,1344.006,717.084
6,0.05,00:47:38.10:02,472.1696666666666,1344.0970000000002,717.2053333333333
7,0.06,00:47:38.10:03,472.0276666666666,1344.1746666666666,717.3456666666666
8,0.07,00:47:38.11:00,471.9263333333333,1344.2136666666665,717.4003333333334
9,0.08,00:47:38.11:01,470.80733333333336,1344.7473333333335,715.6959999999998
10,0.09,00:47:38.11:02,470.74766666666665,1344.799,715.701
11,0.1,00:47:38.11:03,470.6873333333333,1344.8339999999996,715.6909999999998
12,0.11,00:47:38.12:00,470.6516666666666,1344.839,715.7106666666667
13,0.12,00:47:38.12:01,470.608,1344.8390000000004,715.721
14,0.13,00:47:38.12:02,473.8253333333333,1339.9986666666666,716.518
15,0.14,00:47:38.12:03,473.81,1339.9943333333333,716.5496666666667
16,0.15,00:47:38.13:00,473.854,1340.0213333333334,716.5606666666667
17,0.16,00:47:38.13:01,473.88000000000005,1340.0093333333332,716.6
18,0.17,00:47:38.13:02,473.8986666666667,1339.9866666666667,716.6086666666665
19,0.18,00:47:38.13:03,473.91566666666665,1339.9683333333332,716.6330000000003
20,0.19,00:47:38.14:00,473.91733333333326,1339.9253333333334,716.6663333333332
21,0.2,00:47:38.14:01,473.92333333333335,1339.8623333333335,716.695
22,0.21,00:47:38.14:02,473.949,1339.7093333333332,716.7393333333333
23,0.22,00:47:38.14:03,473.9856666666667,1339.5763333333332,716.7293333333333
24,0.23,00:47:38.15:00,474.0596666666667,1339.3686666666665,716.7816666666668
25,0.24,00:47:38.15:01,474.14,1339.1313333333335,716.8603333333334
26,0.25,00:47:38.15:02,473.55800000000005,1339.49,718.2233333333335
27,0.26,00:47:38.15:03,473.61933333333326,1339.3063333333332,718.2933333333334
28,0.27,00:47:38.16:00,473.80300000000005,1339.0253333333333,718.2753333333334
29,0.28,00:47:38.16:01,473.9313333333334,1338.797,718.313
30,0.29,00:47:38.16:02,474.126,1338.5353333333333,717.6006666666667
31,0.3,00:47:38.16:03,474.1856666666667,1338.4316666666666,718.4113333333335
32,0.31,00:47:38.17:00,474.42666666666673,1338.2043333333334,717.672
33,0.32,00:47:38.17:01,474.46600000000007,1338.21,718.5316666666668
34,0.33,00:47:38.17:02,475.3866666666667,1337.599,717.0893333333332
35,0.34,00:47:38.17:03,475.53466666666674,1337.504333333333,717.1403333333334
36,0.35,00:47:38.18:00,475.63633333333325,1337.4656666666667,717.9753333333334
37,0.36,00:47:38.18:01,475.84566666666666,1337.2789999999998,718.0386666666667
38,0.37,00:47:38.18:02,476.05433333333326,1337.0796666666668,718.1066666666667
39,0.38,00:47:38.18:03,476.30800000000005,1336.87,718.1360000000001
40,0.39,00:47:38.19:00,476.58533333333327,1336.6953333333333,718.186
41,0.4,00:47:38.19:01,476.8856666666666,1336.5216666666668,718.2373333333335
42,0.41,00:47:38.19:02,477.1463333333333,1336.3946666666668,718.2596666666667
43,0.42,00:47:38.19:03,477.425,1336.2126666666668,718.3463333333333
44,0.43,00:47:38.20:00,477.6903333333333,1336.102,718.3563333333333
45,0.44,00:47:38.20:01,477.93199999999996,1336.0273333333334,718.3969999999999
46,0.45,00:47:38.20:02,477.527,1336.4076666666667,719.1410000000002
47,0.46,00:47:38.20:03,478.5236666666667,1335.8276666666666,718.4739999999999
48,0.47,00:47:38.21:00,478.8503333333333,1335.764,718.4609999999999
49,0.48,00:47:38.21:01,479.14933333333335,1335.7279999999996,718.4730000000001
50,0.49,00:47:38.21:02,479.474,1335.6976666666667,718.4976666666668
51,0.5,00:47:38.21:03,479.76599999999996,1335.669,718.5176666666665
52,0.51,00:47:38.22:00,480.037,1335.6696666666667,718.5126666666665
53,0.52,00:47:38.22:01,480.26666666666665,1335.6723333333334,718.4826666666668
54,0.53,00:47:38.22:02,480.53600000000006,1335.7043333333334,718.4953333333333
55,0.54,00:47:38.22:03,480.7676666666666,1335.775,718.444
56,0.55,00:47:38.23:00,481.0266666666666,1335.7946666666667,718.4826666666668
57,0.56,00:47:38.23:01,480.6876666666667,1336.2966666666666,719.0716666666667
58,0.57,00:47:38.23:02,480.9066666666667,1336.358,719.0256666666667
59,0.58,00:47:38.23:03,481.15533333333326,1336.408,719.0106666666666
