Frame,Time,SMPTE,bar_left_knee_x,bar_left_knee_y,bar_left_knee_z
1,0.0,00:47:38.09:01,421.795,412.077,3.1
2,0.01,00:47:38.09:02,421.76599999999996,412.0795,3.108
3,0.02,00:47:38.09:03,421.755,412.08,3.127
4,0.03,00:47:38.10:00,422.505,411.9655,2.7995
5,0.04,00:47:38.10:01,421.548,411.95300000000003,3.003
6,0.05,00:47:38.10:02,422.2295,411.971,2.8289999999999997
7,0.06,00:47:38.10:03,421.4835,411.9655,3.0405
8,0.07,00:47:38.11:00,422.1335,411.972,2.8485
9,0.08,00:47:38.11:01,421.3935,411.9765,3.057
10,0.09,00:47:38.11:02,421.915,411.9675,2.8925
11,0.1,00:47:38.11:03,421.29,411.961,3.0665
12,0.11,00:47:38.12:00,421.79699999999997,411.9685,2.9219999999999997
13,0.12,00:47:38.12:01,421.157,411.964,3.0725
14,0.13,00:47:38.12:02,421.6985,411.9775,2.9410000000000003
15,0.14,00:47:38.12:03,421.0615,411.9665,3.0905
16,0.15,00:47:38.13:00,421.592,411.9775,2.9335
17,0.16,00:47:38.13:01,420.9655,411.967,3.0895
18,0.17,00:47:38.13:02,421.49199999999996,411.991,2.9189999999999996
19,0.18,00:47:38.13:03,420.8785,411.9655,3.074
20,0.19,00:47:38.14:00,421.3905,411.991,2.918
21,0.2,00:47:38.14:01,420.775,411.969,3.076
22,0.21,00:47:38.14:02,421.3115,411.97900000000004,2.9219999999999997
23,0.22,00:47:38.14:03,420.71,411.966,3.0789999999999997
24,0.23,00:47:38.15:00,421.227,411.9585,2.9385
25,0.24,00:47:38.15:01,420.6145,411.9415,3.0905
26,0.25,00:47:38.15:02,421.134,411.9635,2.9455
27,0.26,00:47:38.15:03,420.49699999999996,411.94599999999997,3.0869999999999997
28,0.27,00:47:38.16:00,421.031,411.9645,2.935
29,0.28,00:47:38.16:01,420.37800000000004,411.9445,3.076
30,0.29,00:47:38.16:02,421.0055,411.9715,2.8895
31,0.3,00:47:38.16:03,420.2575,411.9265,3.045
32,0.31,00:47:38.17:00,420.8615,411.9535,2.863
33,0.32,00:47:38.17:01,420.1265,411.9305,3.0185
34,0.33,00:47:38.17:02,420.7665,411.9445,2.8385
35,0.34,00:47:38.17:03,419.9845,411.9345,2.9965
36,0.35,00:47:38.18:00,420.6115,411.944,2.8255
37,0.36,00:47:38.18:01,419.837,411.913,2.978
38,0.37,00:47:38.18:02,420.4795,411.9275,2.7955
39,0.38,00:47:38.18:03,419.69599999999997,411.9075,2.95
40,0.39,00:47:38.19:00,420.344,411.9105,2.7745
41,0.4,00:47:38.19:01,419.584,411.895,2.9339999999999997
42,0.41,00:47:38.19:02,420.222,411.89099999999996,2.76
43,0.42,00:47:38.19:03,419.462,411.8825,2.9160000000000004
44,0.43,00:47:38.20:00,420.1125,411.89300000000003,2.7325
45,0.44,00:47:38.20:01,419.37199999999996,411.866,2.898
46,0.45,00:47:38.20:02,420.0305,411.879,2.73
47,0.46,00:47:38.20:03,419.30699999999996,411.8495,2.8855
48,0.47,00:47:38.21:00,419.9815,411.8515,2.6975
49,0.48,00:47:38.21:01,419.225,411.83099999999996,2.8765
50,0.49,00:47:38.21:02,419.9025,411.836,2.6895
51,0.5,00:47:38.21:03,419.173,411.83,2.8585
52,0.51,00:47:38.22:00,419.845,411.833,2.6665
53,0.52,00:47:38.22:01,419.0825,411.8195,2.8265
54,0.53,00:47:38.22:02,419.76800000000003,411.8275,2.6455
55,0.54,00:47:38.22:03,419.019,411.8075,2.8110000000000004
56,0.55,00:47:38.23:00,419.7235,411.8155,2.6275
57,0.56,00:47:38.23:01,418.972,411.8045,2.8115
58,0.57,00:47:38.23:02,419.6515,411.8075,2.6265
59,0.58,00:47:38.23:03,418.8945,411.8055,2.798
60,0.59,00:47:38.24:00,419.5905,411.8165,2.627
61,0.6,00:47:38.24:01,418.8405,411.8055,2.8105
62,0.61,00:47:38.24:02,419.542,411.81699999999995,2.6435
63,0.62,00:47:38.24:03,418.8205,411.8085,2.8205
64,0.63,00:47:39.00:00,419.5155,411.82199999999995,2.676
65,0.64,00:47:39.00:01,418.841,411.8105,2.8405
66,0.65,00:47:39.00:02,419.56699999999995,411.8265,2.696
67,0.66,00:47:39.00:03,418.875,411.793,2.8705
68,0.67,00:47:39.01:00,419.596,411.8235,2.7085
69,0.68,00:47:39.01:01,418.9505,411.79699999999997,2.8745
70,0.69,00:47:39.01:02,419.6565,411.839,2.7285
71,0.7,00:47:39.01:03,418.986,411.81699999999995,2.8825
72,0.71,00:47:39.02:00,419.69800000000004,411.844,2.7430000000000003
73,0.72,00:47:39.02:01,419.0355,411.809,2.9185
74,0.73,00:47:39.02:02,419.74199999999996,411.8415,2.786
75,0.74,00:47:39.02:03,419.0785,411.80800000000005,2.9575
76,0.75,00:47:39.03:00,419.8005,411.8255,2.8125
77,0.76,00:47:39.03:01,419.1445,411.8135,2.975
78,0.77,00:47:39.03:02,419.8935,411.8265,2.842
79,0.78,00:47:39.03:03,419.2185,411.8055,3.0065
80,0.79,00:47:39.04:00,419.9435,411.842,2.8685
81,0.8,00:47:39.04:01,419.2705,411.8155,3.0239999999999996
82,0.81,00:47:39.04:02,419.9965,411.849,2.888
83,0.82,00:47:39.04:03,419.319,411.833,3.042
84,0.83,00:47:39.05:00,420.0345,411.85,2.9055
85,0.84,00:47:39.05:01,419.3715,411.82099999999997,3.0725
86,0.85,00:47:39.05:02,420.0905,411.8345,2.917
87,0.86,00:47:39.05:03,419.4265,411.8055,3.1165
88,0.87,00:47:39.06:00,420.142,411.8185,2.965
89,0.88,00:47:39.06:01,419.4605,411.795,3.1710000000000003
90,0.89,00:47:39.06:02,420.2025,411.8045,3.0060000000000002
91,0.9,00:47:39.06:03,419.525,411.7875,3.2460000000000004
92,0.91,00:47:39.07:00,420.256,411.7935,3.0575
93,0.92,00:47:39.07:01,419.5515,411.7675,3.3075
94,0.93,00:47:39.07:02,420.298,411.778,3.1010000000000004
95,0.94,00:47:39.07:03,419.592,411.744,3.361
96,0.95,00:47:39.08:00,420.3765,411.751,3.185
97,0.96,00:47:39.08:01,419.6785,411.7265,3.4339999999999997
98,0.97,00:47:39.08:02,420.4665,411.731,3.2430000000000003
99,0.98,00:47:39.08:03,419.79400000000004,411.7255,3.5165
100,0.99,00:47:39.09:00,420.59,411.7435,3.3105
101,1.0,00:47:39.09:01,419.907,411.736,3.5789999999999997
102,1.01,00:47:39.09:02,420.70300000000003,411.7255,3.3710000000000004
103,1.02,00:47:39.09:03,420.077,411.714,3.654
104,1.03,00:47:39.10:00,420.8645,411.7295,3.44
105,1.04,00:47:39.10:01,420.2015,411.7265,3.7155
106,1.05,00:47:39.10:02,420.98199999999997,411.73699999999997,3.514
107,1.06,00:47:39.10:03,420.343,411.7175,3.7965
108,1.07,00:47:39.11:00,421.1055,411.733,3.593
109,1.08,00:47:39.11:01,420.4615,411.7175,3.8445
110,1.09,00:47:39.11:02,421.2395,411.7285,3.6685
111,1.1,00:47:39.11:03,420.569,411.73199999999997,3.8960000000000004
112,1.11,00:47:39.12:00,421.33099999999996,411.7335,3.7319999999999998
113,1.12,00:47:39.12:01,420.6975,411.7375,3.9365
114,1.13,00:47:39.12:02,421.4625,411.7425,3.773
115,1.14,00:47:39.12:03,420.8385,411.7375,3.9810000000000003
116,1.15,00:47:39.13:00,421.57199999999995,411.7355,3.8339999999999996
