Frame,Time,SMPTE,bar_right_ankle_x,bar_right_ankle_y,bar_right_ankle_z
1,0.0,00:50:56.07:01,747.456,84.646,374.204
2,0.01,00:50:56.07:02,747.445,84.65700000000001,374.191
3,0.02,00:50:56.07:03,747.455,84.63,374.208
4,0.03,00:50:56.08:00,747.9019999999999,84.59899999999999,373.94
5,0.04,00:50:56.08:01,747.79,84.37100000000001,373.86
6,0.05,00:50:56.08:02,747.8710000000001,84.64299999999999,374.031
7,0.06,00:50:56.08:03,747.888,84.665,374.04400000000004
8,0.07,00:50:56.09:00,747.904,84.663,374.082
9,0.08,00:50:56.09:01,747.923,84.65100000000001,374.124
10,0.09,00:50:56.09:02,747.966,84.64399999999999,374.176
11,0.1,00:50:56.09:03,747.9689999999999,84.649,374.20599999999996
12,0.11,00:50:56.10:00,747.977,84.648,374.226
13,0.12,00:50:56.10:01,747.988,84.64299999999999,374.25300000000004
14,0.13,00:50:56.10:02,747.985,84.666,374.279
15,0.14,00:50:56.10:03,747.988,84.682,374.293
16,0.15,00:50:56.11:00,747.985,84.67299999999999,374.33099999999996
17,0.16,00:50:56.11:01,748.015,84.67299999999999,374.376
18,0.17,00:50:56.11:02,748.025,84.694,374.399
19,0.18,00:50:56.11:03,748.034,84.68299999999999,374.43
20,0.19,00:50:56.12:00,748.051,84.663,374.477
21,0.2,00:50:56.12:01,748.077,84.661,374.54
22,0.21,00:50:56.12:02,748.082,84.63600000000001,374.51800000000003
23,0.22,00:50:56.12:03,748.071,84.613,374.569
24,0.23,00:50:56.13:00,748.1089999999999,84.626,374.57099999999997
25,0.24,00:50:56.13:01,748.1139999999999,84.654,374.57199999999995
26,0.25,00:50:56.13:02,748.135,84.65,374.592
27,0.26,00:50:56.13:03,748.127,84.65,374.606
28,0.27,00:50:56.14:00,748.1289999999999,84.66,374.615
29,0.28,00:50:56.14:01,748.133,84.667,374.64599999999996
30,0.29,00:50:56.14:02,748.128,84.678,374.631
31,0.3,00:50:56.14:03,748.135,84.677,374.658
32,0.31,00:50:56.15:00,748.1289999999999,84.686,374.68800000000005
33,0.32,00:50:56.15:01,748.12,84.67,374.704
34,0.33,00:50:56.15:02,748.1260000000001,84.691,374.70099999999996
35,0.34,00:50:56.15:03,748.123,84.67299999999999,374.7
36,0.35,00:50:56.16:00,748.1189999999999,84.677,374.727
37,0.36,00:50:56.16:01,748.1419999999999,84.678,374.719
38,0.37,00:50:56.16:02,748.1360000000001,84.65899999999999,374.745
39,0.38,00:50:56.16:03,748.133,84.669,374.736
40,0.39,00:50:56.17:00,748.143,84.671,374.744
41,0.4,00:50:56.17:01,748.143,84.671,374.754
42,0.41,00:50:56.17:02,748.128,84.665,374.733
43,0.42,00:50:56.17:03,748.1469999999999,84.664,374.767
44,0.43,00:50:56.18:00,748.1460000000001,84.68700000000001,374.79
45,0.44,00:50:56.18:01,748.15,84.695,374.788
46,0.45,00:50:56.18:02,748.1419999999999,84.713,374.787
47,0.46,00:50:56.18:03,748.1239999999999,84.699,374.783
48,0.47,00:50:56.19:00,748.132,84.721,374.786
49,0.48,00:50:56.19:01,748.132,84.735,374.786
50,0.49,00:50:56.19:02,748.12,84.738,374.79900000000004
51,0.5,00:50:56.19:03,748.1489999999999,84.729,374.79900000000004
52,0.51,00:50:56.20:00,748.138,84.69200000000001,374.82
53,0.52,00:50:56.20:01,748.1419999999999,84.708,374.816
54,0.53,00:50:56.20:02,748.1389999999999,84.684,374.827
55,0.54,00:50:56.20:03,748.1410000000001,84.686,374.83099999999996
56,0.55,00:50:56.21:00,748.1410000000001,84.68,374.85400000000004
57,0.56,00:50:56.21:01,748.1439999999999,84.685,374.846
58,0.57,00:50:56.21:02,748.14,84.695,374.834
59,0.58,00:50:56.21:03,748.1460000000001,84.669,374.849
60,0.59,00:50:56.22:00,748.1360000000001,84.7,374.836
61,0.6,00:50:56.22:01,748.148,84.706,374.838
62,0.61,00:50:56.22:02,748.1610000000001,84.69200000000001,374.88
63,0.62,00:50:56.22:03,748.18,84.69200000000001,374.88
64,0.63,00:50:56.23:00,748.182,84.68700000000001,374.86300000000006
65,0.64,00:50:56.23:01,748.212,84.70100000000001,374.866
66,0.65,00:50:56.23:02,748.227,84.671,374.869
67,0.66,00:50:56.23:03,748.2239999999999,84.67200000000001,374.85699999999997
68,0.67,00:50:56.24:00,748.2389999999999,84.649,374.855
69,0.68,00:50:56.24:01,748.2460000000001,84.63,374.80699999999996
70,0.69,00:50:56.24:02,748.258,84.64399999999999,374.769
71,0.7,00:50:56.24:03,748.262,84.631,374.769
72,0.71,00:50:57.00:00,748.2760000000001,84.62799999999999,374.778
73,0.72,00:50:57.00:01,748.295,84.639,374.784
74,0.73,00:50:57.00:02,748.306,84.633,374.773
75,0.74,00:50:57.00:03,748.3389999999999,84.64,374.788
76,0.75,00:50:57.01:00,748.331,84.609,374.834
77,0.76,00:50:57.01:01,748.388,84.579,374.843
78,0.77,00:50:57.01:02,748.365,84.61200000000001,374.83
79,0.78,00:50:57.01:03,748.4069999999999,84.613,374.81800000000004
80,0.79,00:50:57.02:00,748.432,84.57700000000001,374.845
81,0.8,00:50:57.02:01,748.438,84.56700000000001,374.82199999999995
82,0.81,00:50:57.02:02,748.454,84.596,374.79699999999997
83,0.82,00:50:57.02:03,748.465,84.57700000000001,374.80400000000003
84,0.83,00:50:57.03:00,748.4680000000001,84.58200000000001,374.81
85,0.84,00:50:57.03:01,748.465,84.57799999999999,374.809
86,0.85,00:50:57.03:02,748.48,84.54799999999999,374.82300000000004
87,0.86,00:50:57.03:03,748.475,84.538,374.848
88,0.87,00:50:57.04:00,748.4739999999999,84.568,374.82599999999996
89,0.88,00:50:57.04:01,748.4760000000001,84.545,374.86
90,0.89,00:50:57.04:02,748.4680000000001,84.56200000000001,374.824
91,0.9,00:50:57.04:03,748.461,84.596,374.798
92,0.91,00:50:57.05:00,748.4830000000001,84.565,374.853
93,0.92,00:50:57.05:01,748.4830000000001,84.559,374.852
94,0.93,00:50:57.05:02,748.487,84.575,374.861
95,0.94,00:50:57.05:03,748.502,84.56299999999999,374.88
96,0.95,00:50:57.06:00,748.525,84.531,374.89300000000003
97,0.96,00:50:57.06:01,748.541,84.523,374.918
98,0.97,00:50:57.06:02,748.543,84.50200000000001,374.93199999999996
99,0.98,00:50:57.06:03,748.585,84.50299999999999,374.913
100,0.99,00:50:57.07:00,748.561,84.51,374.901
101,1.0,00:50:57.07:01,748.58,84.49600000000001,374.917
102,1.01,00:50:57.07:02,748.571,84.48899999999999,374.89599999999996
103,1.02,00:50:57.07:03,748.568,84.51100000000001,374.91
104,1.03,00:50:57.08:00,748.576,84.51799999999999,374.89599999999996
105,1.04,00:50:57.08:01,748.587,84.51299999999999,374.88800000000003
106,1.05,00:50:57.08:02,748.596,84.514,374.88599999999997
107,1.06,00:50:57.08:03,748.5930000000001,84.51700000000001,374.905
108,1.07,00:50:57.09:00,748.607,84.523,374.912
109,1.08,00:50:57.09:01,748.61,84.524,374.93699999999995
110,1.09,00:50:57.09:02,748.6160000000001,84.53,374.909
111,1.1,00:50:57.09:03,748.595,84.529,374.89
112,1.11,00:50:57.10:00,748.605,84.505,374.88699999999994
113,1.12,00:50:57.10:01,748.62,84.52,374.87300000000005
114,1.13,00:50:57.10:02,748.59,84.51100000000001,374.86400000000003
115,1.14,00:50:57.10:03,748.605,84.506,374.856
116,1.15,00:50:57.11:00,748.6039999999999,84.501,374.88199999999995
117,1.16,00:50:57.11:01,748.6,84.508,374.88199999999995
118,1.17,00:50:57.11:02,748.6080000000001,84.49799999999999,374.869
119,1.18,00:50:57.11:03,748.613,84.493,374.87800000000004
120,1.19,00:50:57.12:00,748.595,84.488,374.884
121,1.2,00:50:57.12:01,748.5880000000001,84.493,374.87800000000004
122,1.21,00:50:57.12:02,748.585,84.50399999999999,374.874
123,1.22,00:50:57.12:03,748.6010000000001,84.51700000000001,374.865
124,1.23,00:50:57.13:00,748.57,84.54799999999999,374.884
125,1.24,00:50:57.13:01,748.561,84.538,374.85699999999997
126,1.25,00:50:57.13:02,748.562,84.54,374.85900000000004
127,1.26,00:50:57.13:03,748.547,84.554,374.849
128,1.27,00:50:57.14:00,748.578,84.515,374.851
129,1.28,00:50:57.14:01,748.57,84.51299999999999,374.85
130,1.29,00:50:57.14:02,748.564,84.525,374.86400000000003
131,1.3,00:50:57.14:03,748.572,84.53399999999999,374.848
132,1.31,00:50:57.15:00,748.582,84.521,374.879
133,1.32,00:50:57.15:01,748.565,84.527,374.85900000000004
134,1.33,00:50:57.15:02,748.547,84.525,374.838
135,1.34,00:50:57.15:03,748.5310000000001,84.541,374.829
136,1.35,00:50:57.16:00,748.51,84.55799999999999,374.829
137,1.36,00:50:57.16:01,748.5160000000001,84.59100000000001,374.82199999999995
138,1.37,00:50:57.16:02,748.498,84.58,374.83099999999996
139,1.38,00:50:57.16:03,748.5039999999999,84.61,374.871
140,1.39,00:50:57.17:00,748.523,84.587,374.87
141,1.4,00:50:57.17:01,748.523,84.59200000000001,374.87699999999995
142,1.41,00:50:57.17:02,748.4939999999999,84.584,374.884
143,1.42,00:50:57.17:03,748.507,84.611,374.86300000000006
144,1.43,00:50:57.18:00,748.502,84.57700000000001,374.885
145,1.44,00:50:57.18:01,748.518,84.55,374.916
146,1.45,00:50:57.18:02,748.502,84.553,374.858
147,1.46,00:50:57.18:03,748.4960000000001,84.566,374.86800000000005
148,1.47,00:50:57.19:00,748.4810000000001,84.594,374.84
149,1.48,00:50:57.19:01,748.47,84.551,374.876
150,1.49,00:50:57.19:02,748.4730000000001,84.573,374.87199999999996
151,1.5,00:50:57.19:03,748.471,84.613,374.85699999999997
152,1.51,00:50:57.20:00,748.454,84.62100000000001,374.86800000000005
153,1.52,00:50:57.20:01,748.472,84.64399999999999,374.87300000000005
154,1.53,00:50:57.20:02,748.441,84.64299999999999,374.89099999999996
155,1.54,00:50:57.20:03,748.456,84.655,374.86199999999997
156,1.55,00:50:57.21:00,748.426,84.637,374.88199999999995
157,1.56,00:50:57.21:01,748.431,84.663,374.89300000000003
158,1.57,00:50:57.21:02,748.413,84.678,374.851
159,1.58,00:50:57.21:03,748.4,84.67299999999999,374.85699999999997
160,1.59,00:50:57.22:00,748.3910000000001,84.665,374.85900000000004
161,1.6,00:50:57.22:01,748.3860000000001,84.632,374.849
162,1.61,00:50:57.22:02,748.377,84.648,374.835
163,1.62,00:50:57.22:03,748.3789999999999,84.648,374.845
164,1.63,00:50:57.23:00,748.382,84.65299999999999,374.829
165,1.64,00:50:57.23:01,748.375,84.645,374.824
166,1.65,00:50:57.23:02,748.342,84.65,374.82
167,1.66,00:50:57.23:03,748.323,84.68700000000001,374.819
168,1.67,00:50:57.24:00,748.316,84.712,374.809
169,1.68,00:50:57.24:01,748.296,84.71,374.829
170,1.69,00:50:57.24:02,748.291,84.73299999999999,374.806
171,1.7,00:50:57.24:03,748.2769999999999,84.73700000000001,374.80400000000003
172,1.71,00:50:58.00:00,748.278,84.73,374.82199999999995
173,1.72,00:50:58.00:01,748.2760000000001,84.75399999999999,374.805
174,1.73,00:50:58.00:02,748.245,84.73100000000001,374.796
175,1.74,00:50:58.00:03,748.2410000000001,84.755,374.774
176,1.75,00:50:58.01:00,748.206,84.742,374.74699999999996
177,1.76,00:50:58.01:01,748.189,84.741,374.73400000000004
178,1.77,00:50:58.01:02,748.168,84.743,374.736
179,1.78,00:50:58.01:03,748.1460000000001,84.74799999999999,374.709
180,1.79,00:50:58.02:00,748.1360000000001,84.766,374.70300000000003
181,1.8,00:50:58.02:01,748.1260000000001,84.766,374.69199999999995
182,1.81,00:50:58.02:02,748.113,84.757,374.68300000000005
183,1.82,00:50:58.02:03,748.112,84.779,374.69199999999995
184,1.83,00:50:58.03:00,748.0930000000001,84.794,374.686
185,1.84,00:50:58.03:01,748.102,84.794,374.69300000000004
186,1.85,00:50:58.03:02,748.069,84.811,374.7
187,1.86,00:50:58.03:03,748.084,84.802,374.70099999999996
188,1.87,00:50:58.04:00,748.07,84.829,374.694
189,1.88,00:50:58.04:01,748.06,84.85700000000001,374.694
190,1.89,00:50:58.04:02,748.044,84.84100000000001,374.668
191,1.9,00:50:58.04:03,748.033,84.84299999999999,374.69199999999995
192,1.91,00:50:58.05:00,748.0210000000001,84.853,374.67699999999996
193,1.92,00:50:58.05:01,748.0010000000001,84.84,374.68
194,1.93,00:50:58.05:02,747.995,84.829,374.676
195,1.94,00:50:58.05:03,748.003,84.84200000000001,374.667
196,1.95,00:50:58.06:00,747.985,84.81700000000001,374.666
197,1.96,00:50:58.06:01,747.987,84.833,374.667
198,1.97,00:50:58.06:02,748.0060000000001,84.821,374.658
199,1.98,00:50:58.06:03,747.9960000000001,84.851,374.654
200,1.99,00:50:58.07:00,748.0039999999999,84.853,374.675
201,2.0,00:50:58.07:01,748.025,84.866,374.665
202,2.01,00:50:58.07:02,748.0060000000001,84.85600000000001,374.65
203,2.02,00:50:58.07:03,748.0310000000001,84.84299999999999,374.634
204,2.03,00:50:58.08:00,748.044,84.84700000000001,374.659
205,2.04,00:50:58.08:01,748.067,84.866,374.662
206,2.05,00:50:58.08:02,748.074,84.82600000000001,374.668
207,2.06,00:50:58.08:03,748.08,84.82,374.634
208,2.07,00:50:58.09:00,748.081,84.825,374.602
209,2.08,00:50:58.09:01,748.074,84.806,374.579
210,2.09,00:50:58.09:02,748.091,84.79700000000001,374.565
211,2.1,00:50:58.09:03,748.091,84.78,374.56
212,2.11,00:50:58.10:00,748.0989999999999,84.81700000000001,374.55699999999996
213,2.12,00:50:58.10:01,748.1030000000001,84.792,374.561
214,2.13,00:50:58.10:02,748.125,84.773,374.577
215,2.14,00:50:58.10:03,748.125,84.779,374.579
216,2.15,00:50:58.11:00,748.1460000000001,84.78399999999999,374.597
217,2.16,00:50:58.11:01,748.171,84.76899999999999,374.63800000000003
218,2.17,00:50:58.11:02,748.174,84.79299999999999,374.62699999999995
219,2.18,00:50:58.11:03,748.178,84.772,374.61300000000006
220,2.19,00:50:58.12:00,748.2239999999999,84.792,374.64099999999996
221,2.2,00:50:58.12:01,748.199,84.762,374.658
222,2.21,00:50:58.12:02,748.2139999999999,84.73899999999999,374.661
223,2.22,00:50:58.12:03,748.2339999999999,84.757,374.662
224,2.23,00:50:58.13:00,748.247,84.75,374.662
225,2.24,00:50:58.13:01,748.2389999999999,84.73100000000001,374.66
226,2.25,00:50:58.13:02,748.2539999999999,84.712,374.67900000000003
227,2.26,00:50:58.13:03,748.25,84.70100000000001,374.676
228,2.27,00:50:58.14:00,748.28,84.70700000000001,374.694
229,2.28,00:50:58.14:01,748.273,84.689,374.727
230,2.29,00:50:58.14:02,748.268,84.706,374.73699999999997
231,2.3,00:50:58.14:03,748.2860000000001,84.719,374.772
232,2.31,00:50:58.15:00,748.2710000000001,84.713,374.772
233,2.32,00:50:58.15:01,748.289,84.725,374.814
234,2.33,00:50:58.15:02,748.294,84.73899999999999,374.84
235,2.34,00:50:58.15:03,748.332,84.723,374.86800000000005
236,2.35,00:50:58.16:00,748.341,84.734,374.87300000000005
237,2.36,00:50:58.16:01,748.3439999999999,84.73299999999999,374.874
238,2.37,00:50:58.16:02,748.363,84.723,374.916
239,2.38,00:50:58.16:03,748.365,84.72399999999999,374.905
240,2.39,00:50:58.17:00,748.36,84.70200000000001,374.906
241,2.4,00:50:58.17:01,748.3660000000001,84.704,374.91
242,2.41,00:50:58.17:02,748.3639999999999,84.694,374.904
243,2.42,00:50:58.17:03,748.383,84.699,374.901
244,2.43,00:50:58.18:00,748.3989999999999,84.68799999999999,374.89
245,2.44,00:50:58.18:01,748.388,84.712,374.889
246,2.45,00:50:58.18:02,748.404,84.708,374.884
247,2.46,00:50:58.18:03,748.408,84.721,374.898
248,2.47,00:50:58.19:00,748.393,84.71799999999999,374.907
249,2.48,00:50:58.19:01,748.408,84.699,374.914
250,2.49,00:50:58.19:02,748.421,84.70100000000001,374.92800000000005
251,2.5,00:50:58.19:03,748.424,84.684,374.94300000000004
252,2.51,00:50:58.20:00,748.437,84.68799999999999,374.93699999999995
253,2.52,00:50:58.20:01,748.448,84.696,374.93699999999995
254,2.53,00:50:58.20:02,748.439,84.695,374.908
255,2.54,00:50:58.20:03,748.43,84.675,374.89300000000003
256,2.55,00:50:58.21:00,748.45,84.69,374.899
257,2.56,00:50:58.21:01,748.4689999999999,84.637,374.898
258,2.57,00:50:58.21:02,748.482,84.667,374.894
259,2.58,00:50:58.21:03,748.492,84.616,374.914
260,2.59,00:50:58.22:00,748.498,84.632,374.895
261,2.6,00:50:58.22:01,748.502,84.662,374.894
262,2.61,00:50:58.22:02,748.513,84.65100000000001,374.92
263,2.62,00:50:58.22:03,748.515,84.648,374.916
264,2.63,00:50:58.23:00,748.518,84.677,374.913
265,2.64,00:50:58.23:01,748.513,84.68299999999999,374.898
