Frame,Time,SMPTE,bar_right_foot_x,bar_right_foot_y,bar_right_foot_z
1,0.0,00:50:56.07:01,724.8392,6.6412,288.4865
2,0.01,00:50:56.07:02,724.8332,6.6388,288.476
3,0.02,00:50:56.07:03,724.8513,6.65,288.4778
4,0.03,00:50:56.08:00,724.552,6.8322,288.35400000000004
5,0.04,00:50:56.08:01,724.5958,6.686,288.3562
6,0.05,00:50:56.08:02,724.5598,6.732,288.3665
7,0.06,00:50:56.08:03,724.5418,6.7182,288.3815
8,0.07,00:50:56.09:00,724.5585,6.7255,288.392
9,0.08,00:50:56.09:01,724.564,6.734,288.3968
10,0.09,00:50:56.09:02,724.557,6.7225,288.4098
11,0.1,00:50:56.09:03,724.5445,6.7072,288.4282
12,0.11,00:50:56.10:00,724.5139999999999,6.7695,288.3918
13,0.12,00:50:56.10:01,724.5038,6.797000000000001,288.3742
14,0.13,00:50:56.10:02,724.525,6.8048,288.3652
15,0.14,00:50:56.10:03,724.539,6.8113,288.3667
16,0.15,00:50:56.11:00,724.5287,6.808,288.3628
17,0.16,00:50:56.11:01,724.5325,6.8105,288.367
18,0.17,00:50:56.11:02,724.5402,6.8188,288.3688
19,0.18,00:50:56.11:03,724.5127,6.7945,288.39
20,0.19,00:50:56.12:00,724.5355,6.7968,288.3935
21,0.2,00:50:56.12:01,724.5592,6.7973,288.4003
22,0.21,00:50:56.12:02,724.5658,6.7928,288.4075
23,0.22,00:50:56.12:03,724.571,6.7915,288.406
24,0.23,00:50:56.13:00,724.5775,6.7783,288.4108
25,0.24,00:50:56.13:01,724.58,6.7925,288.4005
26,0.25,00:50:56.13:02,724.5822,6.7885,288.4065
27,0.26,00:50:56.13:03,724.5872,6.7915,288.4055
28,0.27,00:50:56.14:00,724.5928,6.7932,288.4085
29,0.28,00:50:56.14:01,724.5778,6.8035,288.4125
30,0.29,00:50:56.14:02,724.5908,6.8058,288.4205
31,0.3,00:50:56.14:03,724.6110000000001,6.8028,288.4168
32,0.31,00:50:56.15:00,724.6065,6.809,288.4208
33,0.32,00:50:56.15:01,724.5992,6.7989999999999995,288.41900000000004
34,0.33,00:50:56.15:02,724.6155,6.8028,288.4147
35,0.34,00:50:56.15:03,724.6052,6.7989999999999995,288.4168
36,0.35,00:50:56.16:00,724.6052,6.8020000000000005,288.4118
37,0.36,00:50:56.16:01,724.5992,6.8023,288.4072
38,0.37,00:50:56.16:02,724.6053,6.81,288.4127
39,0.38,00:50:56.16:03,724.6057,6.8135,288.4145
40,0.39,00:50:56.17:00,724.6012,6.8133,288.4125
41,0.4,00:50:56.17:01,724.6142,6.812,288.4165
42,0.41,00:50:56.17:02,724.6160000000001,6.811,288.4158
43,0.42,00:50:56.17:03,724.6145,6.8155,288.413
44,0.43,00:50:56.18:00,724.6112,6.809,288.414
45,0.44,00:50:56.18:01,724.6182,6.8098,288.4075
46,0.45,00:50:56.18:02,724.6072,6.81,288.4062
47,0.46,00:50:56.18:03,724.6098,6.8147,288.411
48,0.47,00:50:56.19:00,724.6178,6.8212,288.41200000000003
49,0.48,00:50:56.19:01,724.5922,6.8212,288.399
50,0.49,00:50:56.19:02,724.5975,6.8185,288.4068
