Frame,Time,SMPTE,bar_right_shoulder_x,bar_right_shoulder_y,bar_right_shoulder_z
1,0.0,00:50:56.07:01,759.2660000000001,1359.069,338.934
2,0.01,00:50:56.07:02,759.322,1359.102,339.01599999999996
3,0.02,00:50:56.07:03,759.377,1359.139,339.115
4,0.03,00:50:56.08:00,759.529,1359.829,340.05
5,0.04,00:50:56.08:01,759.623,1359.851,340.06699999999995
6,0.05,00:50:56.08:02,759.689,1359.884,340.108
7,0.06,00:50:56.08:03,759.7339999999999,1359.915,340.17900000000003
8,0.07,00:50:56.09:00,759.76,1359.9589999999998,340.23800000000006
9,0.08,00:50:56.09:01,759.7919999999999,1360.013,340.306
10,0.09,00:50:56.09:02,759.816,1360.066,340.366
11,0.1,00:50:56.09:03,759.8330000000001,1360.12,340.412
12,0.11,00:50:56.10:00,759.8389999999999,1360.171,340.457
13,0.12,00:50:56.10:01,759.8610000000001,1360.211,340.48199999999997
14,0.13,00:50:56.10:02,759.893,1360.253,340.528
15,0.14,00:50:56.10:03,759.909,1360.28,340.54400000000004
16,0.15,00:50:56.11:00,759.933,1360.3220000000001,340.57300000000004
17,0.16,00:50:56.11:01,759.938,1360.354,340.584
18,0.17,00:50:56.11:02,759.93,1360.388,340.57099999999997
19,0.18,00:50:56.11:03,759.946,1360.4029999999998,340.55699999999996
20,0.19,00:50:56.12:00,759.931,1360.443,340.526
21,0.2,00:50:56.12:01,759.929,1360.465,340.50300000000004
22,0.21,00:50:56.12:02,759.934,1360.4979999999998,340.43800000000005
23,0.22,00:50:56.12:03,759.938,1360.536,340.394
24,0.23,00:50:56.13:00,759.926,1360.5629999999999,340.356
25,0.24,00:50:56.13:01,759.9060000000001,1360.614,340.293
26,0.25,00:50:56.13:02,759.9,1360.664,340.241
27,0.26,00:50:56.13:03,759.8939999999999,1360.7020000000002,340.18300000000005
28,0.27,00:50:56.14:00,759.872,1360.743,340.121
29,0.28,00:50:56.14:01,759.8530000000001,1360.7920000000001,340.055
30,0.29,00:50:56.14:02,759.836,1360.8310000000001,340.0
31,0.3,00:50:56.14:03,759.8330000000001,1360.866,339.93
32,0.31,00:50:56.15:00,759.8430000000001,1360.864,339.846
33,0.32,00:50:56.15:01,759.8430000000001,1360.8670000000002,339.77099999999996
34,0.33,00:50:56.15:02,759.8539999999999,1360.872,339.69
35,0.34,00:50:56.15:03,759.857,1360.876,339.599
36,0.35,00:50:56.16:00,759.8580000000001,1360.86,339.515
37,0.36,00:50:56.16:01,759.8510000000001,1360.86,339.441
38,0.37,00:50:56.16:02,759.85,1360.858,339.351
39,0.38,00:50:56.16:03,759.8639999999999,1360.852,339.272
40,0.39,00:50:56.17:00,759.8510000000001,1360.846,339.19300000000004
41,0.4,00:50:56.17:01,759.836,1360.844,339.12199999999996
42,0.41,00:50:56.17:02,759.855,1360.8220000000001,339.025
43,0.42,00:50:56.17:03,759.8510000000001,1360.805,338.93199999999996
44,0.43,00:50:56.18:00,759.85,1360.8,338.82800000000003
45,0.44,00:50:56.18:01,759.8839999999999,1360.783,338.704
46,0.45,00:50:56.18:02,759.8810000000001,1360.755,338.583
47,0.46,00:50:56.18:03,759.898,1360.746,338.474
48,0.47,00:50:56.19:00,759.91,1360.726,338.329
49,0.48,00:50:56.19:01,759.931,1360.704,338.223
50,0.49,00:50:56.19:02,759.9639999999999,1360.6770000000001,338.116
51,0.5,00:50:56.19:03,760.005,1360.649,338.00199999999995
52,0.51,00:50:56.20:00,760.0419999999999,1360.622,337.895
53,0.52,00:50:56.20:01,760.0880000000001,1360.6,337.773
54,0.53,00:50:56.20:02,760.1210000000001,1360.576,337.665
55,0.54,00:50:56.20:03,760.1569999999999,1360.543,337.56
56,0.55,00:50:56.21:00,760.188,1360.517,337.459
57,0.56,00:50:56.21:01,760.212,1360.507,337.356
58,0.57,00:50:56.21:02,760.25,1360.4879999999998,337.264
59,0.58,00:50:56.21:03,760.306,1360.4679999999998,337.167
60,0.59,00:50:56.22:00,760.345,1360.4370000000001,337.06699999999995
61,0.6,00:50:56.22:01,760.352,1360.4189999999999,336.96
62,0.61,00:50:56.22:02,760.3660000000001,1360.404,336.848
63,0.62,00:50:56.22:03,760.3760000000001,1360.391,336.754
64,0.63,00:50:56.23:00,760.377,1360.379,336.655
65,0.64,00:50:56.23:01,760.383,1360.352,336.57
66,0.65,00:50:56.23:02,760.424,1360.338,336.483
67,0.66,00:50:56.23:03,760.44,1360.3410000000001,336.39099999999996
68,0.67,00:50:56.24:00,760.437,1360.33,336.298
69,0.68,00:50:56.24:01,760.444,1360.3229999999999,336.226
70,0.69,00:50:56.24:02,760.457,1360.3,336.164
