Frame,Time,SMPTE,bar_left_hip_x,bar_left_hip_y,bar_left_hip_z
1,0.0,00:50:56.07:01,486.6995,944.797,325.17
2,0.01,00:50:56.07:02,486.7275,944.7955,325.2555
3,0.02,00:50:56.07:03,486.776,944.808,325.3185
4,0.03,00:50:56.08:00,486.7935,944.8739999999999,325.4725
5,0.04,00:50:56.08:01,486.9505,944.855,325.305
6,0.05,00:50:56.08:02,486.8045,944.8889999999999,325.4425
7,0.06,00:50:56.08:03,486.82099999999997,944.9045,325.498
8,0.07,00:50:56.09:00,486.8555,944.9019999999999,325.5385
9,0.08,00:50:56.09:01,486.876,944.8919999999999,325.5805
10,0.09,00:50:56.09:02,486.913,944.904,325.621
11,0.1,00:50:56.09:03,486.93199999999996,944.916,325.64799999999997
12,0.11,00:50:56.10:00,486.9655,944.9325,325.67400000000004
13,0.12,00:50:56.10:01,487.00800000000004,944.9485,325.7075
14,0.13,00:50:56.10:02,487.039,944.9680000000001,325.741
15,0.14,00:50:56.10:03,487.0835,944.9755,325.764
16,0.15,00:50:56.11:00,487.1335,944.9785,325.7695
17,0.16,00:50:56.11:01,487.163,944.9855,325.7825
18,0.17,00:50:56.11:02,487.1915,944.9795,325.7925
19,0.18,00:50:56.11:03,487.233,944.9855,325.80400000000003
20,0.19,00:50:56.12:00,487.255,944.9775,325.811
21,0.2,00:50:56.12:01,487.3025,944.985,325.8255
22,0.21,00:50:56.12:02,487.3155,944.9760000000001,325.8625
23,0.22,00:50:56.12:03,487.3335,944.9605,325.8925
24,0.23,00:50:56.13:00,487.3575,944.97,325.9225
25,0.24,00:50:56.13:01,487.3715,944.9615,325.9545
26,0.25,00:50:56.13:02,487.3895,944.9795,326.0045
27,0.26,00:50:56.13:03,487.4065,944.9855,326.0155
28,0.27,00:50:56.14:00,487.4175,945.0010000000001,326.052
29,0.28,00:50:56.14:01,487.4215,945.0225,326.1015
30,0.29,00:50:56.14:02,487.4395,945.025,326.111
31,0.3,00:50:56.14:03,487.454,945.0345,326.1545
32,0.31,00:50:56.15:00,487.4435,945.0235,326.2
33,0.32,00:50:56.15:01,487.44800000000004,945.0315,326.235
34,0.33,00:50:56.15:02,487.452,945.02,326.2675
35,0.34,00:50:56.15:03,487.44800000000004,945.0025,326.2805
36,0.35,00:50:56.16:00,487.4655,945.0005,326.316
37,0.36,00:50:56.16:01,487.4495,945.012,326.357
38,0.37,00:50:56.16:02,487.4545,945.0089999999999,326.363
39,0.38,00:50:56.16:03,487.4525,944.9939999999999,326.3985
40,0.39,00:50:56.17:00,487.45300000000003,945.0015,326.4285
41,0.4,00:50:56.17:01,487.4555,944.993,326.44599999999997
42,0.41,00:50:56.17:02,487.4485,944.992,326.4685
43,0.42,00:50:56.17:03,487.461,944.9975,326.5075
44,0.43,00:50:56.18:00,487.468,945.0010000000001,326.5485
45,0.44,00:50:56.18:01,487.481,945.0035,326.5625
46,0.45,00:50:56.18:02,487.4765,945.003,326.6055
47,0.46,00:50:56.18:03,487.48900000000003,945.0189999999999,326.624
48,0.47,00:50:56.19:00,487.49800000000005,945.0165,326.64799999999997
